Date,Open,High,Low,Close,Volume
2006-09-11,73.50,73.50,60.08,67.65,79494
2006-09-18,67.50,68.90,65.00,66.70,22156
2006-09-25,66.03,74.50,64.60,68.40,119232
2006-10-03,70.00,72.75,68.28,71.62,54516
2006-10-09,71.00,72.75,68.75,70.47,81356
2006-10-16,71.00,71.50,67.57,68.62,37498
2006-10-23,70.25,80.00,66.00,70.18,48206
2006-10-30,69.97,71.50,68.05,68.60,87920
2006-11-06,69.97,70.50,63.90,64.15,78248
2006-11-13,65.00,66.18,61.00,62.55,46714
2006-11-20,62.25,64.90,54.50,62.05,52794
2006-11-27,62.48,66.50,59.02,65.03,61262
2006-12-04,65.00,67.40,59.05,59.65,68132
2006-12-11,63.70,64.25,57.50,62.00,63170
2006-12-18,63.27,63.27,59.50,59.92,25774
2006-12-26,60.00,62.50,58.00,61.65,41114
2007-01-02,61.00,68.60,60.90,65.95,128864
2007-01-08,64.50,68.50,60.00,61.88,288450
2007-01-15,64.00,71.00,63.00,66.03,771136
2007-01-22,66.50,67.25,63.05,63.73,190970
2007-01-29,65.00,67.45,61.75,63.65,156504
2007-02-05,62.00,70.55,62.00,66.62,247796
2007-02-12,65.00,70.80,62.20,64.50,87212
2007-02-19,67.50,68.50,62.00,62.62,192548
2007-02-26,69.00,69.00,62.05,63.30,126382
2007-03-05,63.75,63.75,58.25,60.77,75742
2007-03-12,61.10,61.92,58.15,58.92,49724
2007-03-19,60.98,61.25,56.50,56.77,66560
2007-03-26,57.45,57.50,55.25,55.98,64864
2007-04-02,55.25,64.65,53.00,55.05,49500
2007-04-09,56.10,62.98,56.10,61.65,1436612
2007-04-16,63.25,63.45,60.00,60.85,88496
2007-04-23,60.75,67.45,60.52,65.25,142600
2007-04-30,64.50,65.93,63.30,63.75,43552
2007-05-07,65.50,66.50,61.88,62.75,56412
2007-05-14,63.50,70.00,61.02,66.20,137784
2007-05-21,66.47,74.45,64.50,72.62,153456
2007-05-28,72.00,74.50,66.75,67.25,71216
2007-06-04,65.90,74.00,65.90,69.25,183066
2007-06-11,68.03,74.35,68.00,72.62,177880
2007-06-18,71.95,77.00,71.53,74.57,857674
2007-06-25,75.50,76.60,72.50,72.50,68880
2007-07-02,71.62,73.72,69.00,70.57,54544
2007-07-09,70.07,77.00,69.62,72.03,471720
2007-07-16,72.45,73.35,69.03,71.68,571044
2007-07-23,72.00,73.03,67.53,67.85,152562
2007-07-30,67.00,70.00,66.00,66.32,120376
2007-08-06,67.00,77.00,66.00,68.50,127920
2007-08-13,68.53,72.00,68.00,70.03,94950
2007-08-20,72.50,80.75,68.00,72.25,320840
2007-08-27,74.90,76.38,70.32,72.62,615032
2007-09-03,73.05,75.00,72.00,72.45,80274
2007-09-10,71.55,73.20,71.50,72.50,78946
2007-09-17,71.53,74.38,71.50,71.55,59108
2007-09-24,72.00,73.85,70.72,73.22,237984
2007-10-01,74.43,76.00,72.50,73.07,88856
2007-10-08,73.50,74.43,72.00,72.65,66998
2007-10-15,72.10,74.40,66.50,66.78,49716
2007-10-22,68.00,73.35,67.50,71.00,75564
2007-10-29,70.75,72.00,66.50,67.35,85278
2007-11-05,68.00,69.25,62.05,63.65,104994
2007-11-12,61.50,68.50,61.33,67.57,135300
2007-11-19,69.50,74.05,67.80,71.38,78204
2007-11-26,71.75,78.75,71.00,77.90,187732
2007-12-03,78.00,98.75,76.53,84.82,436406
2007-12-10,87.88,90.72,81.50,83.12,196356
2007-12-17,83.00,85.97,68.00,78.30,96082
2007-12-24,78.25,82.00,75.60,81.07,109420
2007-12-31,82.50,94.97,81.60,91.43,315180
2008-01-07,89.50,94.95,80.50,82.15,130406
2008-01-14,89.25,89.25,75.57,76.78,27052
2008-01-21,75.50,84.00,62.55,74.32,141450
2008-01-28,70.10,72.50,65.65,66.22,417928
2008-02-04,67.18,72.00,65.00,67.18,23950
2008-02-11,67.50,68.45,61.50,66.68,48120
2008-02-18,67.22,71.38,65.07,70.40,53062
2008-02-25,71.50,73.00,67.25,68.62,55910
2008-03-03,69.43,72.45,64.15,66.25,58402
2008-03-10,66.50,72.00,64.00,66.35,49816
2008-03-17,70.68,70.68,59.00,60.08,22542
2008-03-24,61.50,80.05,58.05,77.00,263174
2008-03-31,76.00,77.75,67.50,68.38,124654
2008-04-07,68.00,70.50,65.68,68.53,12324
2008-04-15,71.45,71.45,68.03,69.85,5212
2008-04-21,71.50,71.50,60.00,64.40,53090
2008-04-28,69.97,69.97,66.50,67.75,335520
2008-05-05,67.78,69.90,61.62,63.05,23702
2008-05-12,62.00,67.40,62.00,63.42,17880
2008-05-20,64.88,64.90,61.75,62.27,15772
2008-05-26,62.27,66.00,61.55,62.52,41704
2008-06-02,64.00,64.00,58.00,59.25,8080
2008-06-09,59.50,62.55,56.50,60.23,221208
2008-06-16,62.85,62.85,57.35,57.48,19604
2008-06-23,56.75,56.95,53.02,54.48,13120
2008-06-30,54.12,57.20,48.78,50.00,24792
2008-07-07,52.50,52.50,47.12,50.00,24858
2008-07-14,50.00,51.50,47.50,49.12,14596
2008-07-21,48.05,52.50,46.80,52.23,26694
2008-07-28,54.00,54.40,51.00,51.38,22930
2008-08-04,52.48,52.95,51.00,52.00,47568
2008-08-11,54.00,55.00,52.62,52.70,31606
2008-08-18,52.90,53.85,49.55,49.83,27086
2008-08-25,50.25,50.50,46.50,48.88,552662
2008-09-01,49.00,52.20,47.00,49.97,22804
2008-09-08,51.50,51.50,48.05,48.60,13058
2008-09-15,48.05,49.95,45.03,49.50,33724
2008-09-22,48.03,50.00,46.03,46.38,16786
2008-09-29,46.00,47.50,43.45,45.05,12892
2008-10-06,42.55,45.95,37.50,38.95,27968
2008-10-13,37.75,47.00,37.75,40.35,37870
2008-10-20,38.50,46.50,38.50,46.03,32932
2008-10-27,46.50,47.95,41.50,46.28,193484
2008-11-03,47.50,47.50,41.55,42.67,12362
2008-11-10,41.55,43.42,40.60,41.03,19754
2008-11-17,40.60,42.50,38.53,40.28,7846
2008-11-24,40.75,41.50,38.15,40.00,1800
2008-12-01,40.25,41.45,39.03,40.72,11536
2008-12-08,39.65,43.00,39.65,40.92,5300
2008-12-15,41.30,45.00,39.85,41.50,21744
2008-12-22,42.00,42.97,40.65,40.67,2182
2008-12-29,40.50,42.92,40.50,42.38,4170
2009-01-05,42.55,44.47,40.00,40.55,6478
2009-01-12,41.00,42.45,39.62,41.78,4628
2009-01-19,41.75,41.75,39.03,39.60,4424
2009-01-27,40.00,40.00,37.62,39.50,8928
2009-02-02,39.25,40.00,38.38,39.47,2022
2009-02-09,38.50,40.75,37.62,39.55,14668
2009-02-16,38.85,41.00,37.80,38.50,19416
2009-02-24,38.50,39.42,37.75,38.05,6498
2009-03-02,37.28,38.80,35.20,35.97,6396
2009-03-09,37.25,40.25,35.70,38.53,20776
2009-03-16,39.50,41.35,37.50,37.88,21220
2009-03-23,37.75,39.00,34.80,37.95,20696
2009-03-30,38.50,40.00,37.50,39.53,11728
2009-04-06,40.00,41.45,39.50,41.08,15828
2009-04-13,42.53,50.00,40.00,44.60,87890
2009-04-20,43.58,47.62,41.50,43.50,79720
2009-04-27,44.00,47.85,42.12,42.53,45180
2009-05-04,41.75,44.25,41.12,43.00,21286
2009-05-11,43.00,45.70,42.00,45.00,30384
2009-05-18,45.50,53.95,45.28,53.15,61344
2009-05-25,52.45,54.00,49.05,52.20,52766
2009-06-01,53.98,62.50,52.50,59.30,185082
2009-06-08,60.00,60.00,53.67,54.50,43930
2009-06-15,58.98,58.98,43.08,50.65,31540
2009-06-22,51.00,52.45,47.55,49.00,24630
2009-06-29,50.48,50.50,48.50,48.75,23842
2009-07-06,50.50,50.58,45.00,46.03,18016
2009-07-13,45.10,47.03,43.50,46.35,20734
2009-07-20,47.95,52.50,47.00,52.27,27586
2009-07-27,54.00,54.00,50.00,51.23,15798
2009-08-03,51.00,59.00,51.00,54.75,115830
2009-08-10,56.00,57.92,46.50,53.48,43564
2009-08-17,53.50,54.20,51.52,53.00,43748
2009-08-24,53.35,61.95,53.15,56.30,178338
2009-08-31,56.00,57.50,53.27,54.62,37302
2009-09-07,64.90,64.90,56.00,58.02,256482
2009-09-14,56.75,59.75,56.05,58.15,45768
2009-09-22,56.52,66.18,56.52,61.73,836826
2009-09-29,62.85,63.75,60.98,61.98,66162
2009-10-05,62.00,62.48,58.08,59.10,64450
2009-10-12,60.00,64.35,58.75,62.92,99558
2009-10-20,66.05,71.40,60.55,67.97,295592
2009-10-26,67.50,68.00,60.00,61.12,42984
2009-11-03,61.60,63.40,57.73,62.15,30864
2009-11-09,64.50,65.50,61.75,63.85,37740
2009-11-16,64.50,65.00,61.52,63.58,25760
2009-11-23,64.00,81.85,63.00,68.03,1469968
2009-11-30,70.50,73.32,67.47,69.25,197426
2009-12-07,68.50,82.68,66.05,72.85,1435114
2009-12-14,72.95,79.00,70.80,71.90,592780
2009-12-21,66.15,79.90,66.15,75.90,1172712
2009-12-29,75.90,77.93,73.40,73.65,143674
2010-01-04,75.10,81.50,73.55,78.35,1042362
2010-01-11,79.65,79.65,71.35,76.45,167152
2010-01-18,77.47,79.45,73.53,74.85,383632
2010-01-25,73.00,78.45,70.00,73.00,255448
2010-02-01,72.50,77.32,70.32,70.53,90626
2010-02-08,75.00,77.45,72.05,74.25,505368
2010-02-15,74.05,75.50,71.25,71.55,80290
2010-02-22,71.93,73.75,69.82,72.47,65630
2010-03-02,73.35,78.05,72.75,77.15,127774
2010-03-08,77.50,84.22,76.50,79.68,1154832
2010-03-15,79.50,79.50,74.72,76.80,81788
2010-03-22,75.00,78.00,69.55,77.68,94648
2010-03-29,78.50,83.90,78.50,83.22,533264
2010-04-05,84.43,97.95,82.50,88.78,831414
2010-04-12,90.80,98.18,88.28,95.15,463048
2010-04-19,94.00,102.55,92.15,98.70,920612
2010-04-26,99.50,102.75,96.28,99.95,536638
2010-05-03,98.38,100.00,93.05,94.18,343992
2010-05-10,95.00,101.70,93.78,98.22,175772
2010-05-17,97.50,104.35,92.50,94.60,505854
2010-05-24,95.50,96.57,91.53,94.32,523560
2010-05-31,94.32,97.75,93.07,96.85,119328
2010-06-07,95.00,98.50,94.03,97.85,203862
2010-06-14,98.50,106.50,98.10,100.20,487050
2010-06-21,101.57,104.00,98.62,101.57,145944
2010-06-28,103.50,104.22,99.00,101.93,82328
2010-07-05,101.00,107.47,100.15,104.05,1129656
2010-07-12,105.40,105.40,101.00,101.45,115092
2010-07-19,103.50,105.97,99.50,103.30,211394
2010-07-26,102.75,108.62,100.50,105.70,530238
2010-08-02,107.45,109.70,103.50,105.20,433356
2010-08-09,105.03,112.80,103.53,105.28,1044204
2010-08-16,105.50,112.47,104.00,109.78,388684
2010-08-23,108.75,112.25,102.50,106.55,148650
2010-08-30,109.50,109.50,102.50,108.62,112242
2010-09-06,109.05,118.95,108.80,112.28,1485088
2010-09-13,113.50,114.90,107.00,109.68,225840
2010-09-20,108.95,124.45,106.25,110.88,159838
2010-09-27,111.30,112.40,106.75,107.95,100882
2010-10-04,108.00,113.62,104.47,109.95,189572
2010-10-11,110.60,121.05,110.00,112.40,469418
2010-10-18,112.50,116.25,107.55,113.72,121814
2010-10-25,115.00,117.55,110.90,115.25,80142
2010-11-01,114.50,114.55,107.00,112.55,212814
2010-11-08,115.00,115.00,107.50,108.32,63298
2010-11-15,107.65,111.50,105.50,106.45,69526
2010-11-22,107.43,107.50,103.05,105.00,112228
2010-11-29,103.53,116.43,103.53,113.18,178662
2010-12-06,113.18,115.93,102.50,112.03,139688
2010-12-13,114.85,117.45,109.55,115.38,101362
2010-12-20,115.00,117.00,110.45,116.38,115602
2010-12-27,116.38,122.40,115.03,121.40,77532
2011-01-03,122.45,125.75,118.00,120.90,98842
2011-01-10,120.07,122.50,116.00,120.70,135412
2011-01-17,119.75,120.50,112.85,117.78,128274
2011-01-24,116.55,118.90,110.00,113.18,81168
2011-01-31,111.50,112.50,105.00,106.22,52874
2011-02-07,107.00,107.00,96.50,104.93,73428
2011-02-14,103.00,117.20,102.50,114.47,128200
2011-02-21,114.97,115.00,107.50,111.95,29624
2011-02-28,110.00,112.50,109.10,112.15,23368
2011-03-07,109.20,113.00,107.68,111.38,52730
2011-03-14,110.03,111.70,103.95,106.15,16202
2011-03-21,106.50,107.47,103.85,106.55,25810
2011-03-28,107.50,112.50,106.05,110.80,627434
2011-04-04,111.00,113.97,109.25,111.72,435012
2011-04-11,110.60,117.25,107.53,112.22,195994
2011-04-18,112.55,114.90,110.00,111.70,28032
2011-04-25,113.88,120.45,110.60,114.95,281696
2011-05-02,115.03,117.50,111.50,112.82,29690
2011-05-09,112.30,117.47,112.30,113.00,23388
2011-05-16,114.00,117.00,112.20,113.03,18656
2011-05-23,113.97,119.50,112.53,119.28,79344
2011-05-30,120.00,120.72,115.15,118.00,40688
2011-06-06,118.00,120.00,116.50,118.95,35340
2011-06-13,119.50,122.50,117.80,121.05,61134
2011-06-20,119.62,122.35,114.07,121.25,114420
2011-06-27,120.10,122.00,117.53,118.50,39028
2011-07-04,119.72,120.72,117.53,119.03,39680
2011-07-11,120.97,132.38,118.50,130.52,366106
2011-07-18,132.00,134.25,127.00,130.38,121916
2011-07-25,130.98,132.98,127.00,129.35,81906
2011-08-01,127.50,129.75,117.60,123.22,104228
2011-08-08,120.60,125.00,115.75,122.80,65540
2011-08-16,122.80,127.00,113.05,119.40,29356
2011-08-22,121.50,124.50,115.50,117.93,713812
2011-08-29,118.75,122.50,116.50,118.12,14862
2011-09-05,119.95,119.95,115.00,115.53,50290
2011-09-12,114.60,117.40,113.00,115.00,37050
2011-09-19,116.97,121.43,115.53,117.93,267464
2011-09-26,117.03,119.00,114.00,116.65,12976
2011-10-03,116.18,125.90,115.50,116.00,10242
