Date,Open,High,Low,Close,Volume
2003-06-16,31.10,36.75,31.10,34.25,378043
2003-06-23,35.50,35.90,31.75,32.00,1182475
2003-06-30,31.75,40.25,31.30,39.55,4736241
2003-07-07,40.05,40.90,35.25,36.30,1769429
2003-07-14,36.75,37.80,33.95,34.75,1115045
2003-07-21,35.60,35.65,30.00,32.85,1327573
2003-07-28,33.00,34.50,31.05,33.65,1391437
2003-08-04,34.20,37.20,33.00,34.15,1936360
2003-08-11,34.20,41.00,33.95,40.25,3852295
2003-08-18,41.30,58.00,41.30,50.30,8746053
2003-08-25,51.35,62.80,43.15,58.55,6076044
2003-09-01,59.50,64.00,56.50,59.05,5375304
2003-09-08,59.50,60.85,53.75,56.55,2373048
2003-09-15,55.25,65.50,54.50,64.00,5544001
2003-09-22,67.50,67.90,63.55,65.10,2729087
2003-09-29,65.45,76.90,64.05,75.00,2798156
2003-10-06,75.25,85.00,75.00,81.35,3171427
2003-10-13,82.30,83.25,73.00,73.45,3159384
2003-10-20,74.00,79.60,67.20,79.10,1873352
2003-10-27,80.00,82.00,76.25,81.15,1112133
2003-11-03,81.00,95.60,81.00,92.05,2619935
2003-11-10,92.25,98.80,86.50,87.90,1010848
2003-11-17,93.60,102.00,90.40,94.70,1640224
2003-11-24,95.45,98.50,92.05,92.95,681054
2003-12-01,93.90,94.90,88.45,91.05,997322
2003-12-08,91.80,96.85,89.80,92.10,921052
2003-12-15,93.70,98.10,89.60,95.90,1406711
2003-12-22,97.10,100.40,88.00,97.40,1012361
2003-12-29,97.90,101.00,92.20,92.95,1001009
2004-01-05,93.60,94.90,89.50,90.15,662203
2004-01-12,91.00,109.70,90.25,103.75,3082899
2004-01-19,105.90,105.90,74.25,87.30,2378321
2004-01-27,89.10,91.90,77.00,77.95,639242
2004-02-03,79.85,79.85,72.25,75.65,406054
2004-02-09,75.75,86.95,75.00,83.95,508858
2004-02-16,86.00,92.40,78.00,79.85,750830
2004-02-23,82.00,82.00,71.00,72.00,331821
2004-03-01,74.45,77.40,71.00,73.50,398535
2004-03-08,74.20,75.00,68.20,69.20,450360
2004-03-15,70.00,70.70,62.80,63.65,492419
2004-03-22,63.00,74.25,60.60,72.90,664163
2004-03-29,72.25,75.40,67.10,71.75,551467
2004-04-05,72.75,75.40,72.15,73.00,595720
2004-04-12,74.00,74.75,67.25,68.10,494387
2004-04-19,69.80,71.00,66.00,66.55,879838
2004-04-26,65.10,66.75,57.75,58.35,782757
2004-05-03,56.55,66.40,56.00,61.60,1751833
2004-05-10,62.00,63.80,52.00,57.55,1236839
2004-05-17,55.00,59.70,46.20,55.65,952761
2004-05-24,58.30,61.70,53.50,53.85,776677
2004-05-31,53.35,55.80,51.05,54.80,393500
2004-06-07,55.00,58.05,54.00,54.10,322965
2004-06-14,53.90,53.90,49.60,50.45,263443
2004-06-21,50.10,51.40,46.35,48.25,258168
2004-06-28,50.90,51.35,48.00,49.40,514703
2004-07-05,50.00,54.70,47.25,54.15,798058
2004-07-12,54.45,56.75,51.55,55.80,1072042
2004-07-19,56.60,65.50,56.00,59.05,4582344
2004-07-26,59.30,61.40,56.15,59.45,1851675
2004-08-02,60.15,67.50,59.75,65.80,4124834
2004-08-09,57.35,65.75,57.35,62.30,919360
2004-08-16,62.75,64.80,61.50,62.20,451020
2004-08-23,62.80,64.40,50.00,63.85,542524
2004-08-30,64.80,71.40,63.50,69.00,2351592
2004-09-06,69.65,72.80,69.00,70.70,1509193
2004-09-13,71.00,72.00,68.30,70.05,735692
2004-09-20,70.50,74.90,69.75,71.55,1263190
2004-09-27,72.20,73.90,69.95,72.25,563025
2004-10-04,73.10,74.85,72.10,72.45,611842
2004-10-11,72.90,74.45,67.50,69.15,368395
2004-10-18,70.00,72.40,63.10,63.90,939477
2004-10-25,63.00,63.75,59.50,60.95,441592
2004-11-01,61.50,65.60,60.50,64.85,512228
2004-11-08,65.00,66.60,61.50,64.75,902175
2004-11-16,65.50,67.90,64.15,64.75,842036
2004-11-22,64.40,76.45,64.00,72.80,1701619
2004-11-29,73.90,75.15,69.00,70.35,1140879
2004-12-06,71.25,72.70,63.55,69.00,670484
2004-12-13,70.45,76.50,70.00,71.60,1469034
2004-12-20,72.00,76.00,71.20,75.10,1319353
2004-12-27,74.90,81.75,74.00,76.30,1965666
2005-01-03,78.00,80.30,69.00,71.75,887745
2005-01-10,73.00,73.95,65.10,67.85,504526
2005-01-17,67.80,68.80,58.05,59.90,704978
2005-01-24,60.70,61.50,55.20,61.20,481550
2005-01-31,61.50,74.10,61.50,71.20,1315620
2005-02-07,71.95,73.40,68.00,71.90,901142
2005-02-14,72.00,75.00,70.25,72.10,894550
2005-02-21,72.10,80.85,71.50,80.15,2893037
2005-02-28,81.10,83.80,72.50,75.65,3701421
2005-03-07,76.25,76.25,71.90,73.25,981513
2005-03-14,73.25,73.80,67.65,69.40,456200
2005-03-21,69.40,70.90,60.10,62.50,271025
2005-03-28,65.65,67.00,61.25,64.95,321858
2005-04-04,66.50,66.80,62.10,65.35,399389
2005-04-11,66.45,68.75,63.90,65.55,220767
2005-04-18,65.55,69.45,64.00,67.05,500876
2005-04-25,67.00,70.00,63.35,64.55,399768
2005-05-02,64.60,66.55,63.55,66.15,138870
2005-05-09,66.50,70.85,66.40,69.25,361909
2005-05-16,69.25,77.25,67.60,75.30,1291268
2005-05-23,75.00,76.75,70.75,70.95,322385
2005-05-30,71.00,75.80,69.35,74.30,458108
2005-06-06,74.75,75.00,72.00,72.40,453565
2005-06-13,72.00,74.45,65.55,71.15,358098
2005-06-20,71.00,72.75,63.55,71.15,319994
2005-06-27,72.50,73.80,66.50,66.75,325697
2005-07-04,68.00,71.95,66.80,71.30,598054
2005-07-11,71.90,74.80,69.20,70.25,831087
2005-07-18,71.90,73.90,69.90,72.60,674967
2005-07-25,73.90,83.80,72.90,73.10,1015164
2005-08-01,72.50,75.80,71.15,74.80,471901
2005-08-08,74.00,75.00,71.00,72.95,496945
2005-08-16,72.00,76.70,72.00,73.95,547218
2005-08-22,75.00,75.90,69.50,72.10,430865
2005-08-29,72.10,74.90,69.50,73.10,479623
2005-09-05,73.65,94.75,73.00,89.60,6432652
2005-09-12,91.00,94.90,85.00,92.80,2286016
