Date,Open,High,Low,Close,Volume
2011-08-01,2.81,5.41,2.19,4.11,2909555928
2011-08-08,4.16,5.95,3.97,4.66,1503985327
2011-08-16,4.48,6.18,3.98,3.98,1148068913
2011-08-22,3.84,4.16,3.03,3.20,902017926
2011-08-29,3.27,3.75,3.27,3.47,186935367
2011-09-05,3.37,3.71,3.23,3.58,72339239
2011-09-12,3.45,3.67,3.44,3.54,16329537
2011-09-19,3.50,3.66,3.43,3.54,13153499
2011-09-26,3.54,3.71,3.29,3.64,18215300
2011-10-03,3.56,3.78,3.39,3.61,26542376
2011-10-10,3.62,3.74,3.37,3.61,4658172
2011-10-17,3.67,3.95,3.49,3.87,10343475
2011-10-24,3.83,4.01,3.76,3.85,4284136
2011-10-31,3.83,3.97,3.71,3.84,1819427
2011-11-08,3.85,4.52,3.85,4.12,7692559
2011-11-14,4.11,4.28,3.57,3.65,3610299
2011-11-21,3.62,3.77,3.56,3.61,26985574
2011-11-28,3.59,3.73,3.58,3.64,9094391
2011-12-05,3.61,3.75,3.58,3.64,3095528
2011-12-12,3.66,3.78,3.56,3.61,5182628
2011-12-19,3.61,3.71,3.56,3.61,2242383
2011-12-26,3.59,3.71,3.56,3.59,2190968
2012-01-02,3.58,3.68,3.56,3.59,1448176
2012-01-09,3.58,4.30,3.58,3.74,11190967
2012-01-16,3.71,4.25,3.39,3.87,22031425
2012-01-23,3.85,5.27,3.61,4.66,34953454
2012-01-30,4.61,5.15,4.50,4.89,14652176
2012-02-06,4.45,5.63,4.45,5.27,13958596
2012-02-13,5.40,6.01,4.86,5.59,11127208
2012-02-21,4.96,6.37,4.96,5.71,11064405
2012-02-27,5.73,6.06,5.53,5.62,5324361
2012-03-05,5.70,5.89,5.29,5.63,1869553
2012-03-12,5.75,5.75,5.37,5.50,4116217
2012-03-19,5.41,5.70,4.96,5.53,13264683
2012-03-26,5.52,7.82,5.17,7.07,112327684
2012-04-02,7.10,8.15,6.88,7.11,81193098
2012-04-09,7.22,7.99,6.30,6.50,168981214
2012-04-16,6.61,6.77,5.11,5.34,111417763
2012-04-23,5.30,5.56,4.76,5.01,67074730
2012-04-30,5.02,5.19,4.81,4.87,19052069
2012-05-07,4.91,5.82,4.81,5.18,27661989
2012-05-14,5.18,5.99,5.03,5.22,35101380
2012-05-21,5.17,5.49,4.03,4.22,36428096
2012-05-28,4.13,5.19,4.09,4.82,43314010
2012-06-04,4.76,5.65,4.63,5.59,39985526
2012-06-11,5.63,5.94,5.48,5.65,22477750
2012-06-18,5.76,5.94,5.29,5.81,3334947
2012-06-25,5.75,6.57,5.75,6.48,15030711
2012-07-02,6.56,6.91,5.22,5.33,35729487
2012-07-09,5.29,5.49,3.60,3.60,44695081
2012-07-16,3.24,3.65,2.77,2.88,82070683
2012-07-23,2.74,2.93,2.25,2.48,16324580
2012-07-30,2.48,2.54,1.94,1.94,8687468
2012-08-06,1.84,1.92,1.51,1.51,1220800
2012-08-13,1.43,1.50,1.30,1.50,4121330
2012-08-21,1.57,1.73,1.53,1.53,5981417
2012-08-27,1.46,1.52,1.35,1.46,18296142
2012-09-03,1.46,1.51,1.31,1.37,15800842
2012-09-10,1.42,1.43,1.34,1.35,951859
2012-09-17,1.35,1.53,1.35,1.49,3491104
2012-09-24,1.52,1.54,1.34,1.48,6910437
2012-10-01,1.59,1.63,1.46,1.53,9087076
2012-10-08,1.54,1.68,1.48,1.53,5770562
2012-10-15,1.58,1.58,1.41,1.41,1552585
2012-10-22,1.43,1.43,1.35,1.39,737004
2012-10-29,1.34,1.39,1.30,1.35,2539276
2012-11-05,1.31,1.49,1.28,1.30,36589749
2012-11-12,1.34,1.52,1.25,1.35,30180856
2012-11-19,1.34,1.43,1.30,1.31,1521693
2012-11-26,1.31,1.37,1.30,1.33,1032857
2012-12-03,1.34,1.57,1.32,1.41,7675029
2012-12-10,1.44,1.47,1.31,1.34,2210701
2012-12-17,1.33,1.39,1.32,1.33,751271
2012-12-24,1.33,1.39,1.29,1.31,2940608
2012-12-31,1.30,1.39,1.30,1.32,3312628
2013-01-07,1.37,1.37,1.29,1.30,1360227
2013-01-14,1.31,1.34,1.26,1.29,775534
2013-01-21,1.28,1.30,1.07,1.09,1792192
2013-01-28,1.10,1.15,0.96,1.11,1972029
2013-02-04,1.14,1.14,0.85,0.96,2701001
2013-02-11,0.98,0.98,0.87,0.90,497231
2013-02-18,0.90,0.96,0.85,0.88,393799
2013-02-25,0.89,0.95,0.82,0.85,3713846
2013-03-04,0.80,0.83,0.53,0.72,13624597
2013-03-11,0.70,0.73,0.64,0.67,526451
2013-03-18,0.67,0.67,0.51,0.53,2726646
2013-03-25,0.54,0.55,0.47,0.48,354324
2013-04-01,0.49,0.53,0.48,0.50,1535544
2013-04-08,0.48,0.49,0.45,0.49,661378
2013-04-15,0.51,0.59,0.51,0.59,140788
2013-04-22,0.62,0.62,0.53,0.55,565469
2013-04-29,0.57,0.59,0.53,0.56,284413
2013-05-06,0.58,0.62,0.48,0.55,256201
2013-05-13,0.53,0.60,0.50,0.53,200090
2013-05-20,0.57,0.57,0.48,0.53,1301216
2013-05-27,0.52,0.55,0.50,0.51,1368290
2013-06-03,0.51,0.56,0.44,0.49,208725
2013-06-10,0.48,0.56,0.45,0.52,712284
2013-06-17,0.50,0.55,0.48,0.49,317747
2013-06-24,0.52,0.52,0.46,0.50,1326279
2013-07-01,0.50,0.56,0.48,0.55,439873
2013-07-08,0.55,0.58,0.48,0.55,114686
2013-07-15,0.53,0.57,0.53,0.57,96782
2013-07-22,0.58,0.63,0.53,0.57,529506
2013-07-29,0.54,0.57,0.51,0.55,305039
2013-08-05,0.51,0.57,0.48,0.51,190779
2013-08-12,0.51,0.61,0.51,0.58,170704
2013-08-19,0.57,0.77,0.52,0.77,1064862
2013-08-26,0.72,0.76,0.63,0.65,322444
2013-09-02,0.65,0.69,0.63,0.66,139001
2013-09-10,0.65,0.71,0.64,0.67,783940
2013-09-16,0.67,0.71,0.66,0.67,106113
2013-09-23,0.67,0.70,0.65,0.67,265543
2013-09-30,0.65,0.70,0.64,0.70,204828
2013-10-07,0.70,0.77,0.67,0.72,168418
2013-10-14,0.70,0.73,0.67,0.73,225537
2013-10-21,0.70,0.76,0.70,0.73,233455
2013-10-28,0.72,0.74,0.68,0.68,76509
2013-11-05,0.75,0.81,0.71,0.81,8376984
2013-11-11,0.85,0.93,0.85,0.86,326860
2013-11-18,0.82,0.94,0.82,0.87,331370
2013-11-25,0.87,0.96,0.87,0.92,1008200
2013-12-02,0.90,0.96,0.89,0.92,239648
2013-12-09,0.90,0.96,0.84,0.91,1114811
2013-12-16,0.87,0.96,0.83,0.94,7812960
2013-12-23,0.95,0.98,0.90,0.96,7948885
2013-12-30,0.94,0.99,0.91,0.97,1953752
2014-01-06,0.96,1.01,0.92,1.01,9459459
2014-01-13,0.95,1.01,0.92,0.94,12298235
2014-01-20,0.90,0.96,0.90,0.93,10667582
2014-01-27,0.96,0.97,0.83,0.83,4054661
2014-02-03,0.80,0.86,0.73,0.74,138783
2014-02-10,0.71,0.82,0.71,0.77,3759358
2014-02-17,0.75,0.87,0.75,0.81,3035520
2014-02-24,0.78,0.83,0.78,0.80,2564785
2014-03-03,0.77,0.88,0.77,0.82,2090809
2014-03-10,0.81,0.86,0.73,0.81,327868
2014-03-18,0.78,0.85,0.72,0.80,396231
2014-03-24,0.75,0.91,0.75,0.89,3949743
2014-03-31,0.96,0.99,0.82,0.92,3827607
2014-04-07,0.99,0.99,0.88,0.88,53981
2014-04-15,0.89,0.92,0.79,0.84,71293
2014-04-21,0.83,0.97,0.82,0.93,3827783
2014-04-28,0.90,0.97,0.86,0.95,2282721
2014-05-05,0.95,0.96,0.89,0.94,424214
2014-05-12,0.92,0.97,0.88,0.96,667945
2014-05-19,0.92,1.14,0.87,1.04,4543756
2014-05-26,1.00,1.25,0.94,0.96,3906755
2014-06-02,0.96,1.08,0.89,1.05,1300115
2014-06-09,1.12,1.38,1.01,1.01,6433177
2014-06-16,0.94,1.12,0.93,1.06,2327538
2014-06-23,1.04,1.19,1.03,1.17,1212924
2014-06-30,1.13,1.20,1.07,1.10,596528
2014-07-07,1.07,1.15,1.06,1.07,1185886
2014-07-14,1.04,1.11,0.97,1.08,324730
2014-07-21,1.03,1.14,1.00,1.03,551472
2014-07-28,1.03,1.15,1.02,1.13,250652
2014-08-04,1.08,1.30,1.08,1.11,902668
2014-08-11,1.09,1.21,1.08,1.15,212798
2014-08-18,1.20,1.54,1.00,1.22,56781433
2014-08-25,1.25,1.25,1.05,1.11,10898034
2014-09-01,1.06,1.24,1.04,1.12,3443149
2014-09-08,1.08,1.23,1.08,1.16,685974
2014-09-15,1.19,1.21,1.11,1.12,341657
2014-09-22,1.12,1.21,1.04,1.14,403608
2014-09-29,1.11,1.17,1.10,1.12,134190
2014-10-07,1.08,1.15,1.06,1.14,266010
2014-10-13,1.12,1.14,0.98,0.99,6515495
2014-10-20,0.97,1.11,0.94,1.00,12555984
2014-10-27,1.00,1.02,0.93,1.01,111818
2014-11-03,0.96,1.05,0.96,1.03,155117
2014-11-10,1.03,1.17,1.01,1.16,627015
2014-11-17,1.24,1.35,1.09,1.30,9185219
2014-11-24,1.31,1.34,1.12,1.15,2642167
2014-12-01,1.11,1.40,1.11,1.24,2927443
2014-12-08,1.25,1.25,1.11,1.14,669909
2014-12-15,1.14,1.20,1.13,1.19,603552
2014-12-22,1.14,1.21,1.11,1.14,1143158
2014-12-29,1.11,1.15,1.11,1.12,3816010
2015-01-05,1.14,1.15,1.10,1.11,284724
2015-01-12,1.12,1.30,1.02,1.25,659726
2015-01-19,1.27,1.27,1.08,1.14,284735
2015-01-27,1.12,1.25,1.12,1.19,672164
