Date,Open,High,Low,Close,Volume
2021-02-15,4.34,4.34,4.34,4.34,76186
2021-02-22,5.20,9.06,4.58,9.06,8831601
2021-03-01,9.92,10.46,8.12,8.12,1564051
2021-03-08,7.72,7.95,6.63,7.31,3895543
2021-03-15,7.57,7.57,6.19,6.39,942439
2021-03-22,6.39,6.82,6.09,6.63,434629
2021-03-30,6.91,6.91,6.33,6.62,142060
2021-04-05,6.55,6.74,6.28,6.57,132238
2021-04-12,6.22,6.98,6.00,6.76,3289358
2021-04-19,6.35,6.98,6.35,6.89,2971158
2021-04-26,6.90,8.41,6.55,8.25,7196194
2021-05-03,8.45,9.37,7.43,8.56,9418603
2021-05-10,9.40,9.41,8.02,8.65,1062078
2021-05-17,8.24,8.89,8.24,8.54,448289
2021-05-24,8.46,8.67,7.81,8.22,465485
2021-05-31,8.41,8.82,7.98,8.41,636659
2021-06-07,8.81,9.09,7.57,8.40,555167
2021-06-14,8.01,9.18,8.01,8.61,764149
2021-06-21,9.11,9.54,7.89,8.71,10864198
2021-06-28,8.54,9.16,8.54,9.01,559425
2021-07-05,9.01,11.17,9.01,10.98,1959390
2021-07-12,11.65,11.65,10.71,10.97,973348
2021-07-19,10.82,11.47,10.81,11.39,1451867
2021-07-26,10.97,14.14,10.97,13.68,2528720
2021-08-02,14.04,14.52,12.72,13.27,743456
2021-08-09,13.82,13.82,11.32,12.33,581302
2021-08-16,12.86,13.71,12.42,13.20,251333
2021-08-23,13.24,13.36,12.35,12.66,161120
2021-08-30,12.64,13.31,12.20,13.16,154685
2021-09-06,12.86,13.30,12.51,12.90,114048
2021-09-13,13.22,13.59,12.68,13.08,1268883
2021-09-20,13.52,13.74,12.52,12.73,313207
2021-09-27,13.16,13.38,12.57,13.33,849668
2021-10-04,13.52,15.81,12.97,15.34,1817044
2021-10-11,16.08,16.65,14.86,16.22,745198
2021-10-18,16.22,16.87,14.13,14.93,866511
2021-10-25,15.64,16.93,15.07,16.01,709594
2021-11-01,15.61,17.57,15.61,16.92,408440
2021-11-08,17.42,17.53,15.86,17.06,566078
2021-11-15,17.06,17.42,15.51,15.63,516747
2021-11-22,15.11,16.35,14.48,14.95,500912
2021-11-29,15.35,16.10,14.48,15.12,289875
2021-12-06,14.86,16.46,14.86,15.29,96702
2021-12-13,15.51,16.45,14.89,15.42,219580
2021-12-20,15.80,15.80,14.83,15.13,410590
2021-12-27,14.94,15.43,14.33,14.77,462791
2022-01-03,14.91,15.29,13.70,15.22,428861
2022-01-10,15.43,16.16,14.82,15.31,236545
2022-01-17,15.04,15.58,14.50,14.75,196547
2022-01-24,14.37,15.18,13.62,14.27,108892
2022-01-31,14.70,14.99,13.47,14.19,249415
2022-02-07,15.33,15.33,12.86,13.56,579601
2022-02-14,13.56,15.00,12.32,12.93,551929
2022-02-21,12.66,13.66,11.69,11.96,379898
2022-02-28,12.34,12.79,10.88,12.13,207118
