Date,Open,High,Low,Close,Volume
2007-12-17,44.75,44.75,37.06,39.08,13877760
2007-12-24,39.50,43.00,39.31,42.81,30536121
2007-12-31,42.00,48.00,42.00,43.84,14284360
2008-01-07,43.55,44.50,42.45,43.02,5047320
2008-01-14,43.00,46.50,42.75,45.15,2564020
2008-01-21,43.05,44.05,32.45,38.17,851480
2008-01-28,35.65,40.75,35.25,39.71,470760
2008-02-04,39.00,41.00,31.90,36.48,2001080
2008-02-11,36.75,37.40,32.60,34.95,813240
2008-02-18,35.00,37.00,32.50,36.37,812500
2008-02-25,36.00,38.00,35.13,37.77,433760
2008-03-03,36.00,38.00,34.15,34.71,1343980
2008-03-10,33.00,35.00,31.00,32.53,350440
2008-03-17,30.90,32.50,25.00,30.75,1585280
2008-03-24,30.25,38.75,28.15,37.50,2082120
2008-03-31,35.61,40.00,32.55,32.86,605720
2008-04-07,30.60,34.00,30.60,32.93,190020
2008-04-15,34.40,34.70,32.65,33.06,25560
2008-04-21,34.50,34.50,32.50,33.16,59380
2008-04-28,33.00,34.40,31.05,31.34,190980
2008-05-05,31.50,31.50,28.10,28.51,520480
2008-05-12,27.55,29.25,24.42,25.77,1438500
2008-05-20,27.55,27.65,25.10,27.01,3282640
2008-05-26,25.45,27.25,25.45,26.00,120960
2008-06-02,25.05,27.50,25.05,25.36,190120
2008-06-09,24.00,25.70,24.00,25.22,71760
2008-06-16,25.55,26.25,24.52,24.72,61300
2008-06-23,24.05,27.45,23.00,24.71,657520
2008-06-30,25.90,25.90,20.30,21.79,58120
2008-07-07,21.68,22.83,20.25,21.84,108980
2008-07-14,21.25,24.24,21.20,21.27,81400
2008-07-21,21.11,23.15,21.07,22.88,90720
2008-07-28,22.95,23.25,21.25,22.17,37380
2008-08-04,22.72,23.62,21.50,23.16,52160
2008-08-11,23.49,23.50,21.41,23.00,33940
2008-08-18,22.55,24.59,22.55,23.41,167400
2008-08-25,24.20,24.99,21.95,22.24,1195520
2008-09-01,22.25,23.00,20.45,22.28,300840
2008-09-08,23.05,23.80,21.62,21.81,309580
2008-09-15,20.56,21.50,18.05,19.69,162680
2008-09-22,20.00,20.25,18.35,19.02,56840
2008-09-29,18.50,19.48,14.50,15.59,467620
2008-10-06,15.25,15.90,13.00,13.32,96360
2008-10-13,13.45,15.00,12.87,13.66,623960
2008-10-20,13.94,14.50,11.00,11.92,3639900
2008-10-27,12.00,12.49,10.50,11.49,66660
2008-11-03,11.80,13.00,10.63,11.57,54920
2008-11-10,12.50,12.75,11.06,12.41,2845200
2008-11-17,11.85,14.42,11.81,13.21,139760
2008-11-24,13.30,14.05,12.01,13.76,40620
2008-12-01,13.25,14.50,13.25,14.10,116600
2008-12-08,14.15,18.00,14.15,17.81,470372
2008-12-15,18.67,21.88,17.51,21.21,371532
2008-12-22,21.00,21.23,17.26,17.50,458800
2008-12-29,16.77,19.67,16.77,18.55,178316
2009-01-05,18.34,19.05,15.52,15.71,58684
2009-01-12,16.24,16.24,12.81,13.10,88628
2009-01-19,13.00,14.99,11.91,14.24,60628
2009-01-27,14.24,14.24,12.52,12.98,13844
2009-02-02,12.75,14.95,12.75,13.09,29912
2009-02-09,12.85,14.00,12.85,13.70,27540
2009-02-16,13.75,15.73,12.50,12.79,63604
2009-02-24,12.88,16.79,12.88,14.79,423376
2009-03-02,14.75,14.90,13.27,13.77,56492
2009-03-09,13.75,14.00,12.50,13.48,70640
2009-03-16,13.95,15.98,13.34,15.04,105924
2009-03-23,14.68,15.35,13.50,13.80,137204
2009-03-30,14.74,16.50,13.52,15.98,117164
2009-04-06,16.27,19.15,16.27,17.85,1224084
2009-04-13,17.56,21.25,17.00,17.45,580316
2009-04-20,17.58,18.75,16.19,17.15,325324
2009-04-27,17.38,18.00,15.60,16.40,97476
2009-05-04,16.42,17.30,16.42,16.89,134228
2009-05-11,17.00,17.11,15.38,16.38,1342400
2009-05-18,17.00,21.25,16.38,19.80,535256
2009-05-25,20.00,21.62,18.62,20.77,811152
2009-06-01,21.25,26.00,20.42,23.67,1707136
2009-06-08,24.54,29.23,22.50,26.66,4004992
2009-06-15,27.00,30.60,25.62,27.76,4957756
2009-06-22,28.30,28.50,24.51,25.18,1402124
2009-06-29,25.50,25.60,22.33,23.14,532700
2009-07-06,23.55,23.67,21.50,22.29,421932
2009-07-13,22.00,25.25,21.27,25.07,285756
2009-07-20,25.50,26.38,24.17,25.16,497604
2009-07-27,25.27,27.36,25.00,26.00,437860
2009-08-03,25.80,29.00,25.54,28.57,916400
2009-08-10,27.50,30.38,27.02,29.76,509336
2009-08-17,29.50,32.36,28.27,31.02,1260856
2009-08-24,31.12,36.67,30.95,32.05,2080984
2009-08-31,32.05,33.38,31.00,32.01,607700
2009-09-07,33.25,33.71,31.01,32.46,1234076
2009-09-14,32.25,34.55,32.05,32.24,2052668
2009-09-22,32.06,34.00,31.75,32.34,604196
2009-09-29,32.26,35.95,32.25,33.58,3253144
2009-10-05,33.00,34.22,32.00,33.50,861684
2009-10-12,33.25,36.35,32.75,34.99,1464500
2009-10-20,35.25,35.25,34.00,34.34,355916
2009-10-26,34.50,38.03,33.38,37.54,2700300
2009-11-03,35.25,38.50,35.01,36.54,312340
2009-11-09,36.75,41.21,35.50,39.28,2176436
2009-11-16,39.56,39.94,37.19,37.91,458544
2009-11-23,37.75,42.17,36.29,39.54,1783364
2009-11-30,40.95,47.75,40.09,45.89,9133176
2009-12-07,45.81,46.20,40.25,41.06,4465392
2009-12-14,40.65,42.38,40.03,40.90,1230708
2009-12-21,40.50,43.38,40.50,41.38,1878808
2009-12-29,41.53,44.25,41.10,43.54,2235280
2010-01-04,43.47,44.62,42.25,42.95,1472936
2010-01-11,43.25,43.61,41.25,42.06,819648
2010-01-18,42.17,45.00,41.25,41.62,1711000
2010-01-25,41.72,43.75,38.25,39.09,597384
2010-02-01,39.25,44.25,39.09,40.14,732448
2010-02-08,41.00,43.92,39.65,43.12,1621008
2010-02-15,43.47,45.64,42.53,44.92,3056540
2010-02-22,45.72,46.10,43.76,44.22,854224
2010-03-02,44.21,48.72,44.21,45.99,616940
2010-03-08,46.01,51.22,43.53,43.78,4827076
2010-03-15,43.50,45.42,42.10,43.12,1942696
2010-03-22,42.75,44.39,41.19,41.47,1639264
2010-03-29,42.00,42.95,41.25,42.05,583216
2010-04-05,42.62,44.50,42.62,43.25,857272
2010-04-12,43.88,43.88,42.25,42.91,228000
2010-04-19,42.38,42.50,40.80,41.08,2942076
2010-04-26,41.08,43.40,40.50,42.88,4328580
2010-05-03,42.03,44.99,42.03,44.24,2444888
2010-05-10,44.12,45.25,43.29,45.05,1333088
2010-05-17,45.10,46.42,43.55,44.24,748816
2010-05-24,45.00,53.53,44.12,50.83,5092152
2010-05-31,50.96,61.17,50.26,56.51,5685664
2010-06-07,55.00,62.92,52.80,60.16,7325372
2010-06-14,60.69,64.45,56.25,63.21,6097384
2010-06-21,63.50,69.18,61.75,65.50,7794956
2010-06-28,67.10,67.10,61.54,65.47,2557356
2010-07-05,65.50,67.75,63.75,67.45,1920216
2010-07-12,67.50,68.75,66.01,67.55,1123488
2010-07-19,67.75,69.09,65.30,68.51,1802296
2010-07-26,67.61,72.50,67.61,70.91,2621412
2010-08-02,70.50,73.70,68.78,69.05,1138192
2010-08-09,68.80,72.49,68.61,71.11,789868
2010-08-16,71.94,73.65,68.78,69.40,830824
2010-08-23,69.50,70.00,65.75,66.51,1732132
2010-08-30,65.25,70.50,62.88,67.61,2786788
2010-09-06,68.00,77.47,68.00,75.66,1342572
2010-09-13,76.54,78.00,72.59,73.46,1119908
2010-09-20,73.62,75.95,68.80,73.70,3040600
2010-09-27,73.78,75.50,69.05,72.90,2324848
2010-10-04,73.75,73.84,66.25,68.50,2012560
2010-10-11,68.57,74.71,68.57,70.78,904472
2010-10-18,71.25,80.45,71.00,79.40,2520280
2010-10-25,80.00,80.70,68.00,69.00,2550312
2010-11-01,70.44,73.10,68.03,72.03,1265484
2010-11-08,70.03,72.12,68.25,69.10,943352
2010-11-15,69.01,72.61,65.79,68.74,1676544
2010-11-22,68.29,69.74,64.31,68.30,714796
2010-11-29,67.50,70.72,65.04,69.39,1809836
2010-12-06,69.75,70.22,64.80,67.68,395612
2010-12-13,68.75,69.72,66.00,67.99,138196
2010-12-20,67.99,71.25,62.03,63.84,476628
2010-12-27,63.79,68.00,63.78,67.43,118788
