Date,Open,High,Low,Close,Volume
2003-09-08,6.76,7.00,6.36,6.68,2843099
2003-09-15,6.65,7.20,6.26,6.50,2095649
2003-09-22,6.70,6.96,6.40,6.62,1052849
2003-09-29,6.80,6.90,6.63,6.71,862900
2003-10-06,6.80,7.50,6.60,7.50,1729249
2003-10-13,7.60,7.86,7.20,7.30,1251199
2003-10-20,7.17,7.46,6.72,7.24,1402449
2003-10-27,7.22,7.34,6.88,7.24,738350
2003-11-03,7.30,7.52,6.90,7.50,1514149
2003-11-10,7.44,9.00,7.40,7.90,2917099
2003-11-17,8.20,8.30,7.42,7.80,827350
2003-11-24,7.96,8.10,7.56,7.92,927000
2003-12-01,8.00,8.00,7.60,7.77,811650
2003-12-08,7.81,9.08,7.78,8.40,3427798
2003-12-15,8.62,8.74,8.44,8.64,1168349
2003-12-22,8.60,9.48,8.60,8.90,1184749
2003-12-29,8.90,9.30,8.80,9.20,2285399
2004-01-05,9.22,9.36,8.74,9.00,855250
2004-01-12,8.80,9.30,8.80,8.92,1018149
2004-01-19,8.80,9.20,8.20,8.87,909450
2004-01-27,8.42,9.20,8.42,9.16,563600
2004-02-03,9.00,9.20,8.70,9.00,1533199
2004-02-09,9.00,9.48,8.80,9.00,891200
2004-02-16,9.30,9.80,8.84,9.28,1763099
2004-02-23,9.10,9.40,8.84,8.91,363400
2004-03-01,9.00,9.48,8.90,9.10,380000
2004-03-08,9.32,10.00,8.68,9.06,230250
2004-03-15,9.38,9.38,8.71,9.00,683800
2004-03-22,9.00,9.20,8.71,9.00,332600
2004-03-29,9.04,10.00,8.73,9.07,185900
2004-04-05,9.14,9.20,8.70,9.10,209900
2004-04-12,9.50,9.50,8.40,9.40,379600
2004-04-19,9.60,11.88,9.00,10.80,4102298
2004-04-26,9.76,10.80,9.72,10.62,1168549
2004-05-03,10.60,11.40,9.98,10.60,1543949
2004-05-10,10.12,10.70,9.75,9.80,1527349
2004-05-17,9.50,10.38,8.00,9.90,1349549
2004-05-24,9.85,10.60,9.61,10.20,1352649
2004-05-31,10.10,10.20,9.44,9.63,686250
2004-06-07,9.60,10.00,9.42,9.50,912200
2004-06-14,9.50,9.76,9.30,9.70,1349549
2004-06-21,9.71,9.71,9.21,9.48,863950
2004-06-28,9.72,10.10,9.40,9.68,1348399
2004-07-05,9.78,9.78,9.00,9.40,174100
2004-07-12,9.66,10.34,9.10,10.10,587700
2004-07-19,10.12,10.37,9.80,10.08,619200
2004-07-26,10.08,10.34,10.00,10.30,291100
2004-08-02,10.40,10.90,10.24,10.70,399900
2004-08-09,10.86,10.90,9.50,10.33,641570
2004-08-16,9.50,10.80,9.50,10.33,358980
2004-08-23,10.34,10.93,10.24,10.50,107760
2004-08-30,10.50,11.17,10.33,10.37,277980
2004-09-06,10.60,11.00,10.33,10.60,158490
2004-09-13,10.63,10.67,10.37,10.46,205410
2004-09-20,10.43,10.63,10.07,10.20,1514009
2004-09-27,10.17,10.48,9.81,10.00,293640
2004-10-04,10.10,10.10,9.00,9.40,910050
2004-10-11,9.35,9.96,9.00,9.07,1301189
2004-10-18,9.08,9.33,9.00,9.13,795450
2004-10-25,9.10,10.43,8.97,10.20,2279339
2004-11-01,10.20,12.66,10.00,11.50,2388659
2004-11-08,11.33,11.56,11.17,11.37,1056599
2004-11-16,11.20,11.37,11.04,11.08,699060
