Date,Open,High,Low,Close,Volume
2022-12-26,367.00,373.00,342.35,344.50,8909284
2023-01-02,344.00,360.35,334.00,345.30,1537568
2023-01-09,345.00,347.40,328.00,334.70,1126310
2023-01-16,337.95,341.55,330.80,334.50,854698
2023-01-23,335.00,342.95,315.00,316.40,1088179
2023-01-30,314.00,327.20,290.35,300.10,694319
2023-02-06,296.00,321.00,296.00,318.90,353889
2023-02-13,322.00,329.10,311.15,318.15,432796
2023-02-20,319.90,328.85,290.50,296.55,518394
2023-02-27,294.00,298.80,289.00,293.20,549543
2023-03-06,293.20,309.60,292.65,297.70,382372
2023-03-13,297.65,297.70,276.10,280.65,495783
2023-03-20,276.00,302.95,272.00,292.05,600398
2023-03-27,275.75,287.95,272.40,280.25,610588
2023-04-03,284.40,293.55,278.50,286.05,376017
2023-04-10,289.90,298.40,276.10,296.10,482804
2023-04-17,291.65,299.95,287.00,297.20,794060
2023-04-24,299.75,322.00,298.65,314.05,884582
2023-05-02,319.70,336.65,299.05,316.20,822819
2023-05-08,316.50,334.25,301.30,331.65,1497654
2023-05-15,331.10,345.85,318.05,341.55,1143877
2023-05-22,341.55,344.70,326.15,333.70,667958
2023-05-29,334.70,340.00,322.05,328.35,1185548
2023-06-05,328.40,345.00,327.25,341.45,1167022
2023-06-12,344.00,366.20,339.05,364.10,1707273
2023-06-19,365.10,367.00,335.10,342.15,1051702
2023-06-26,341.00,382.00,340.00,370.75,2031700
2023-07-03,374.00,386.00,355.05,356.70,1726196
2023-07-10,360.00,389.65,350.55,374.95,2979054
2023-07-17,379.70,394.00,371.35,379.60,1564914
2023-07-24,385.00,404.00,370.10,389.15,1270880
2023-07-31,389.15,396.25,368.15,389.15,2097319
2023-08-07,391.50,392.60,376.35,382.55,844781
2023-08-14,382.55,387.30,375.00,380.05,845453
2023-08-21,380.75,439.70,375.05,427.85,12118021
2023-08-28,430.80,453.20,412.35,443.65,4214840
2023-09-04,443.65,463.90,437.05,461.30,1355206
2023-09-11,463.65,484.70,425.55,464.95,1647902
2023-09-18,463.90,470.50,444.40,451.45,716840
2023-09-25,455.00,478.20,451.80,469.45,634854
2023-10-03,471.65,493.25,462.00,464.00,679259
2023-10-09,455.00,483.80,449.00,468.50,1010514
2023-10-16,467.95,482.90,444.45,461.35,1949654
2023-10-23,485.00,485.00,425.55,451.75,1474874
2023-10-30,455.00,474.50,446.30,469.70,1151689
2023-11-06,472.00,534.40,467.45,527.95,4323740
2023-11-13,529.80,563.70,512.15,531.70,1566996
2023-11-20,536.10,538.65,510.00,525.20,1413162
2023-11-28,529.00,544.40,521.80,535.15,1023066
2023-12-04,546.80,552.25,515.05,519.55,841816
2023-12-11,522.30,547.00,482.85,514.75,35670472
2023-12-18,510.80,522.00,456.25,491.85,7903895
2023-12-26,491.85,510.80,480.35,482.70,2816926
2024-01-01,485.00,508.40,479.20,506.95,3536269
2024-01-08,508.40,535.80,508.05,529.65,3570284
2024-01-15,534.10,554.90,512.40,552.90,2546742
2024-01-23,553.95,555.25,538.90,540.35,1306115
2024-01-29,543.00,654.70,543.00,636.25,8718260
2024-02-05,634.40,694.50,625.00,679.30,3516982
