Date,Open,High,Low,Close,Volume
2015-05-04,0.38,0.42,0.35,0.38,221852
2015-05-11,0.40,0.40,0.35,0.36,483350
2015-05-18,0.39,0.42,0.34,0.36,548736
2015-05-25,0.36,0.44,0.32,0.36,1975971
2015-06-01,0.37,0.40,0.34,0.37,761183
2015-06-08,0.39,0.39,0.33,0.34,338854
2015-06-15,0.35,0.35,0.31,0.33,924490
2015-06-22,0.33,0.33,0.30,0.32,639052
2015-06-29,0.33,0.38,0.30,0.37,797814
2015-07-06,0.36,0.40,0.34,0.40,1037036
2015-07-13,0.40,0.55,0.40,0.53,9149814
2015-07-20,0.53,0.57,0.48,0.50,5539875
2015-07-27,0.49,0.56,0.47,0.54,4454013
2015-08-03,0.55,0.59,0.53,0.58,3793991
2015-08-10,0.60,0.78,0.56,0.68,18672277
2015-08-17,0.67,0.80,0.60,0.74,11879049
2015-08-24,0.79,0.87,0.58,0.65,8792285
2015-08-31,0.64,0.72,0.59,0.62,5249757
2015-09-07,0.60,0.76,0.56,0.70,8244944
2015-09-14,0.72,0.82,0.64,0.65,18817404
2015-09-21,0.66,0.69,0.61,0.63,896770
2015-09-28,0.62,0.68,0.58,0.66,2211864
2015-10-05,0.65,0.72,0.59,0.70,2437856
2015-10-12,0.69,0.77,0.66,0.66,3264785
2015-10-19,0.68,0.75,0.67,0.68,1663353
2015-10-26,0.62,0.70,0.62,0.65,690937
2015-11-02,0.62,0.69,0.61,0.63,309873
2015-11-09,0.63,0.67,0.60,0.62,171992
2015-11-16,0.63,0.67,0.61,0.63,123886
2015-11-23,0.62,0.66,0.59,0.63,461660
2015-11-30,0.61,0.69,0.60,0.62,411034
2015-12-07,0.60,0.64,0.57,0.59,577221
2015-12-14,0.60,0.66,0.57,0.60,500045
2015-12-21,0.59,0.64,0.59,0.60,290568
2015-12-28,0.62,0.83,0.62,0.78,97044855
2016-01-04,0.78,0.86,0.76,0.78,48231567
2016-01-11,0.78,0.91,0.70,0.74,13509866
2016-01-18,0.71,0.73,0.52,0.62,8433496
2016-01-25,0.64,0.78,0.64,0.72,8437726
2016-02-01,0.75,0.92,0.74,0.84,25760754
2016-02-08,0.85,0.86,0.62,0.65,2687069
2016-02-15,0.67,0.71,0.58,0.64,5365588
2016-02-22,0.61,0.65,0.58,0.59,7026961
2016-02-29,0.57,0.67,0.54,0.62,10931338
2016-03-08,0.62,0.64,0.58,0.60,2390696
2016-03-14,0.61,0.63,0.57,0.57,5017419
2016-03-21,0.57,0.61,0.56,0.58,1725229
2016-03-28,0.56,0.66,0.54,0.64,16963114
2016-04-04,0.64,0.77,0.60,0.72,33256305
2016-04-11,0.74,0.84,0.68,0.84,13181678
2016-04-18,0.86,0.90,0.80,0.82,10711016
2016-04-25,0.80,0.97,0.80,0.88,15527238
2016-05-02,0.90,0.93,0.87,0.92,9504283
2016-05-09,0.93,0.99,0.90,0.94,4250656
2016-05-16,0.96,1.00,0.94,0.97,2699624
2016-05-23,0.95,0.95,0.84,0.87,8759435
2016-05-30,0.85,0.88,0.77,0.83,3462697
2016-06-06,0.85,0.90,0.81,0.87,10704221
2016-06-13,0.86,0.91,0.79,0.84,1545047
2016-06-20,0.84,0.89,0.79,0.86,4075154
2016-06-27,0.85,1.02,0.85,0.93,10418513
2016-07-04,0.92,1.09,0.89,1.07,15255435
2016-07-11,1.11,1.19,0.88,1.01,137841531
2016-07-18,1.03,1.10,0.91,0.92,42182061
2016-07-25,0.91,0.96,0.81,0.87,24718632
2016-08-01,0.87,0.90,0.76,0.88,14847596
2016-08-08,0.88,0.91,0.80,0.83,2729685
2016-08-16,0.83,0.86,0.78,0.80,4660880
2016-08-22,0.79,0.82,0.76,0.77,10550859
2016-08-29,0.77,0.84,0.76,0.77,23479499
