Date,Open,High,Low,Close,Volume
2021-04-19,218.00,271.38,211.30,265.35,40836936
2021-04-26,266.00,310.95,266.00,296.85,14923082
2021-05-03,295.00,319.00,285.10,315.88,4997808
2021-05-10,315.00,379.05,307.25,323.95,6841942
2021-05-17,324.00,328.50,307.25,322.17,5912538
2021-05-24,324.48,326.00,305.00,317.58,2995594
2021-05-31,317.42,320.75,308.50,313.85,2038960
2021-06-07,316.85,355.00,315.77,336.45,8530408
2021-06-14,335.12,359.02,316.05,340.50,5554872
2021-06-21,337.50,356.55,333.40,338.12,2291918
2021-06-28,337.00,352.20,334.25,338.10,2796502
2021-07-05,342.45,394.50,322.50,386.33,7873270
2021-07-12,395.00,436.25,384.83,426.30,7622570
2021-07-19,412.00,433.50,394.00,422.42,3991700
2021-07-26,420.98,442.67,408.02,426.90,3463588
2021-08-02,430.00,472.45,417.60,437.05,5625038
2021-08-09,439.58,442.35,380.67,435.80,3613660
2021-08-16,435.00,441.50,418.85,426.42,1328142
2021-08-23,426.50,453.48,400.50,445.65,1942758
2021-08-30,445.00,550.00,445.00,544.27,7599060
2021-09-06,544.75,551.00,508.00,517.92,3290548
2021-09-13,521.98,536.70,495.00,502.65,2251952
2021-09-20,498.02,576.00,468.08,531.00,6867672
2021-09-27,535.50,553.50,520.00,527.58,2221434
2021-10-04,543.90,591.08,519.00,581.85,8424470
2021-10-11,590.00,612.50,581.40,598.55,2974468
2021-10-18,602.40,608.65,500.50,526.12,3601754
2021-10-25,528.45,553.77,475.00,532.10,4005042
2021-11-01,524.90,599.30,523.25,584.98,2532524
2021-11-08,585.00,637.50,571.50,626.80,4100166
2021-11-15,637.00,731.00,628.92,688.33,8115084
2021-11-22,696.95,740.90,665.50,679.73,4255044
2021-11-29,656.55,769.50,582.00,714.67,4860524
2021-12-06,718.85,734.50,700.00,704.40,2069708
2021-12-13,711.85,713.80,581.20,592.08,9121058
2021-12-20,565.00,648.65,531.12,623.10,7240830
2021-12-27,629.90,636.50,594.02,616.77,2546100
2022-01-03,616.60,668.85,591.52,602.83,2796426
2022-01-10,611.00,642.02,596.40,601.85,2068412
2022-01-17,608.83,649.95,596.50,638.17,2682290
2022-01-24,640.00,663.58,578.08,641.50,2327920
2022-01-31,654.33,696.00,640.27,654.52,1448536
2022-02-07,641.55,669.88,630.55,643.60,2285574
2022-02-14,615.00,654.30,585.70,635.20,1847730
2022-02-21,622.50,641.02,512.50,587.40,5745914
2022-02-28,570.00,577.20,517.50,521.48,3211958
2022-03-07,492.75,554.00,485.08,548.40,3718054
2022-03-14,545.00,559.00,511.00,555.30,4193624
2022-03-21,562.50,566.45,527.17,538.70,2397258
2022-03-28,542.50,595.90,531.08,590.25,5837616
2022-04-04,596.00,610.95,560.65,584.45,4226352
2022-04-11,588.45,589.95,563.12,568.42,674262
2022-04-18,568.42,568.42,490.00,511.95,2432146
2022-04-25,511.50,529.52,482.75,504.55,2152478
2022-05-02,504.55,524.00,480.48,494.67,1252824
2022-05-09,491.00,496.50,418.00,430.40,2510234
2022-05-16,442.48,495.88,424.02,494.45,2626430
2022-05-23,499.00,501.35,407.10,441.35,1868604
2022-05-30,444.95,551.00,444.40,545.58,5301926
2022-06-06,545.58,557.50,517.52,548.88,4092020
2022-06-13,536.73,557.23,496.08,523.95,6699920
2022-06-20,530.00,530.00,492.65,505.23,3460150
2022-06-27,514.00,546.45,495.02,533.45,1712620
2022-07-04,539.00,564.88,516.08,544.17,761218
2022-07-11,543.50,570.00,526.42,549.85,2181498
2022-07-18,552.50,577.50,552.00,564.10,3066038
2022-07-25,565.00,594.50,559.80,572.25,2224502
2022-08-01,572.50,575.50,507.50,533.23,21021142
2022-08-08,535.00,553.50,520.30,548.80,3912960
2022-08-16,547.00,577.00,540.00,548.10,3694226
2022-08-22,548.50,556.25,522.50,528.73,2379872
2022-08-29,517.50,552.50,511.98,544.35,2449280
2022-09-05,544.35,558.50,541.02,552.17,1645930
2022-09-12,552.17,559.92,513.12,518.17,2021200
2022-09-19,514.10,543.65,505.40,517.88,1639824
2022-09-26,510.00,517.80,460.00,462.10,1953470
2022-10-03,465.00,509.00,454.00,503.18,2948758
2022-10-10,503.00,519.35,476.50,489.88,2082996
2022-10-17,486.30,521.00,482.50,502.73,3458896
2022-10-24,504.40,520.00,493.00,494.83,2144498
2022-10-31,495.00,505.95,471.00,474.17,2862340
2022-11-07,476.00,485.00,461.50,477.77,6368708
2022-11-14,480.17,520.00,467.50,517.10,8456226
2022-11-21,517.10,517.50,479.30,515.00,5155750
2022-11-28,515.08,526.50,490.55,524.48,5082992
2022-12-05,527.90,554.45,517.55,528.20,5947124
2022-12-12,521.50,546.23,502.68,516.52,6876962
2022-12-19,518.00,537.90,505.68,514.25,3967020
2022-12-26,514.25,557.00,502.55,545.42,2995554
2023-01-02,538.00,552.50,526.00,529.05,1231256
2023-01-09,532.50,534.90,505.50,509.95,3401696
2023-01-16,510.00,571.00,505.62,560.98,4674638
2023-01-23,564.73,564.73,500.00,505.77,1665484
2023-01-30,504.12,527.20,475.00,487.33,3460862
2023-02-06,488.48,506.12,484.05,499.58,1359658
2023-02-13,501.98,502.00,447.50,450.20,2395204
2023-02-20,448.50,452.02,355.50,359.80,5425394
2023-02-27,358.00,543.83,357.50,514.25,43150590
2023-03-06,500.05,524.00,449.02,451.85,6137716
2023-03-13,452.48,458.45,422.50,446.17,4157334
2023-03-20,446.50,446.52,410.50,413.05,1772020
2023-03-27,413.50,472.25,388.50,465.15,5896484
2023-04-03,459.98,475.50,445.00,457.27,2800084
2023-04-10,460.50,486.88,454.02,457.45,3432602
2023-04-17,461.35,483.50,450.52,453.90,4662224
2023-04-24,460.00,483.60,440.05,464.45,7696354
2023-05-02,465.00,466.98,445.50,448.05,2761138
2023-05-08,453.12,498.98,451.62,487.38,15118634
2023-05-15,485.00,508.75,476.02,482.67,6086248
2023-05-22,482.50,517.50,477.00,510.12,4782024
