Date,Open,High,Low,Close,Volume
2022-06-27,200.01,208.01,200.00,205.17,4335
2022-07-04,210.00,239.38,164.14,200.94,49695
2022-07-11,202.99,209.80,197.00,204.46,59975
2022-07-18,209.80,271.80,204.03,237.22,580175
2022-07-25,240.65,248.87,219.00,223.86,130565
2022-08-01,228.32,234.90,212.44,232.02,114005
2022-08-08,236.60,250.00,232.81,241.74,93630
2022-08-16,247.23,249.99,222.36,231.45,41055
2022-08-22,239.31,260.45,228.40,251.39,124085
2022-08-29,245.64,265.00,239.00,241.30,283655
2022-09-05,247.40,256.80,240.68,254.69,94770
2022-09-12,255.18,263.00,241.40,246.53,143680
2022-09-19,246.00,253.81,239.00,243.01,81700
2022-09-26,259.99,259.99,234.60,249.70,106065
2022-10-03,253.80,271.28,243.11,267.75,161190
2022-10-10,271.80,271.80,254.13,255.92,76905
2022-10-17,258.48,263.35,242.49,246.25,39555
2022-10-24,247.00,257.00,242.91,247.85,37450
2022-10-31,252.24,252.34,217.79,232.10,97610
2022-11-07,239.60,239.60,220.20,223.04,66360
2022-11-14,228.60,230.78,210.43,218.71,130015
2022-11-21,220.17,221.40,208.93,211.77,67830
2022-11-28,218.60,221.73,200.00,215.43,183795
2022-12-05,219.80,220.00,207.35,209.83,39115
2022-12-12,210.48,214.39,194.88,204.56,60880
2022-12-19,207.00,211.00,192.02,196.75,65965
2022-12-26,195.02,205.93,191.18,204.40,159055
2023-01-02,207.88,217.19,199.71,205.38,91370
2023-01-09,212.80,214.80,201.60,210.10,56765
2023-01-16,212.10,215.80,197.00,200.30,59895
2023-01-23,204.80,204.80,178.97,181.39,127030
2023-01-30,184.80,209.80,179.09,196.11,178125
2023-02-06,199.05,215.93,190.31,213.04,188490
2023-02-13,214.99,217.39,204.28,211.32,75130
2023-02-20,210.40,210.40,193.00,195.36,96550
2023-02-27,202.80,213.80,182.80,210.63,146460
2023-03-06,215.80,238.76,204.21,227.50,203180
2023-03-13,229.80,229.80,199.00,204.55,121030
2023-03-20,200.04,233.93,198.19,212.78,127635
2023-03-27,216.00,216.00,198.00,205.44,94815
2023-04-03,209.80,217.70,201.77,202.89,60910
2023-04-10,208.80,222.00,200.43,208.96,139075
2023-04-17,214.80,224.52,206.73,214.81,88805
2023-04-24,215.82,223.98,213.77,220.39,77565
2023-05-02,224.19,224.80,208.00,219.47,78685
2023-05-08,219.54,278.79,214.03,277.30,1063290
2023-05-15,278.00,287.45,254.92,272.64,819300
2023-05-22,275.80,301.00,260.00,295.38,221015
2023-05-29,298.80,309.80,287.00,306.98,117620
2023-06-05,309.80,309.80,279.40,301.11,148960
2023-06-12,306.00,312.79,294.00,300.34,98670
2023-06-19,299.20,304.79,284.00,300.00,81955
2023-06-26,300.00,308.80,292.40,306.73,349705
2023-07-03,302.00,338.00,302.00,327.03,212745
2023-07-10,328.00,354.15,318.20,353.78,201790
2023-07-17,353.40,362.78,325.20,337.95,113895
2023-07-24,340.99,340.99,319.80,331.12,59315
2023-07-31,331.12,348.00,320.00,340.63,217355
2023-08-07,350.80,362.00,337.00,352.96,239905
2023-08-14,357.80,387.52,340.00,370.53,340600
2023-08-21,373.80,381.58,362.00,369.32,228370
2023-08-28,368.00,397.80,368.00,389.44,205175
2023-09-04,393.80,399.80,362.00,366.46,216440
2023-09-11,366.46,373.00,346.40,365.27,343560
2023-09-18,369.80,369.80,356.00,360.08,122375
2023-09-25,362.65,434.96,360.00,416.66,402655
2023-10-03,406.40,450.30,406.40,450.25,309250
2023-10-09,450.00,476.99,435.60,446.46,276575
2023-10-16,449.80,460.20,438.40,444.20,181025
2023-10-23,461.99,461.99,393.67,422.98,140155
2023-10-30,431.43,452.01,412.00,441.35,387195
2023-11-06,435.00,442.17,411.05,428.55,174985
2023-11-13,431.60,434.13,416.00,419.03,130665
2023-11-20,423.80,437.80,407.11,415.81,225630
2023-11-28,418.20,420.00,394.02,407.71,156820
2023-12-04,414.80,414.80,384.80,393.91,246050
2023-12-11,399.80,399.80,366.20,380.49,188565
2023-12-18,378.00,388.12,368.02,369.98,122275
2023-12-26,370.00,410.00,370.00,379.51,448465
2024-01-01,393.39,439.60,387.88,427.78,977115
2024-01-08,433.00,440.00,420.60,433.45,338590
2024-01-15,439.97,451.60,386.41,394.79,797160
2024-01-23,399.79,399.79,387.32,390.79,92055
2024-01-29,391.00,405.00,372.80,390.88,631780
2024-02-05,397.40,397.40,373.57,376.12,257550
2024-02-12,368.63,407.80,351.20,403.53,436910
2024-02-19,412.00,417.77,394.81,404.84,424660
2024-02-26,406.00,416.80,393.05,414.83,389660
2024-03-04,419.80,427.80,388.95,397.10,587268
2024-03-11,391.15,393.95,301.55,326.90,1151848
2024-03-18,330.00,354.10,321.35,347.55,378567
2024-03-26,347.00,424.00,340.00,398.35,797012
2024-04-01,415.00,486.20,405.60,445.20,1433562
2024-04-08,447.50,484.70,431.55,466.60,749983
2024-04-15,432.00,578.50,432.00,569.75,1428090
2024-04-22,584.90,658.00,578.35,638.45,693825
2024-04-29,655.00,670.35,619.00,634.00,371607
2024-05-06,635.10,649.50,550.20,581.40,203948
2024-05-13,610.45,610.45,545.00,570.00,258835
2024-05-21,582.95,582.95,550.00,567.45,118976
2024-05-27,567.45,646.00,567.45,608.30,284017
2024-06-03,624.00,627.00,569.35,624.15,166187
2024-06-10,640.00,692.65,634.00,692.20,217865
2024-06-18,719.00,729.50,675.10,690.65,141978
2024-06-24,694.85,696.00,621.00,633.75,118750
2024-07-01,636.00,687.00,636.00,669.35,158612
2024-07-08,669.00,669.00,635.00,647.45,129085
2024-07-15,660.00,670.00,635.00,640.50,126201
2024-07-22,634.70,715.00,604.05,705.60,260535
2024-07-29,714.00,748.10,670.35,701.25,693316
2024-08-05,682.20,729.70,669.65,716.75,272583
2024-08-12,723.95,820.00,708.00,814.50,380652
2024-08-19,816.20,910.75,801.70,863.45,456011
2024-08-26,876.00,883.85,818.00,828.85,177646
2024-09-02,830.00,873.00,810.00,831.50,200000
2024-09-09,823.90,861.00,792.00,829.60,203042
2024-09-16,833.20,839.90,751.55,784.20,272115
2024-09-23,784.20,855.95,772.00,842.85,364518
