Date,Open,High,Low,Close,Volume
2025-10-13,186.70,188.00,156.10,168.53,1111399
2025-10-20,170.55,179.00,169.10,173.81,679319
2025-10-27,173.98,174.75,162.00,166.48,516627
2025-11-03,166.80,169.58,158.05,160.95,419715
2025-11-10,160.00,169.50,156.00,161.15,657977
2025-11-17,161.15,164.00,149.00,150.78,1050037
2025-11-24,151.99,160.00,146.15,150.43,536790
2025-12-01,150.51,155.70,149.00,151.37,711931
2025-12-08,151.50,171.95,149.10,170.48,2083449
2025-12-15,173.01,173.01,162.94,166.95,989543
2025-12-22,169.47,171.00,163.15,164.35,1067394
2025-12-29,164.32,167.00,157.11,157.73,586827
2026-01-05,157.75,161.48,137.20,139.78,1000147
2026-01-12,140.50,147.00,138.87,143.46,557910
2026-01-19,144.00,147.92,131.65,133.70,738780
2026-01-27,134.01,139.45,132.00,135.25,660936
2026-02-02,136.50,167.00,133.49,156.88,2350468
2026-02-09,158.00,164.05,155.68,158.71,1739328
2026-02-16,159.40,164.50,153.31,160.79,1422157
2026-02-23,161.90,165.50,155.10,162.52,1286431
2026-03-02,160.52,164.85,154.10,156.39,1812124
2026-03-09,154.99,158.80,145.00,150.16,1056211
2026-03-16,150.50,160.50,149.88,151.49,957188
2026-03-23,154.00,154.00,140.50,142.12,1383395
2026-03-30,142.12,151.00,140.18,147.27,626354
2026-04-06,149.90,158.30,148.80,150.97,1033596
2026-04-13,151.01,155.55,149.00,151.57,1512435
2026-04-20,151.50,153.77,148.15,152.43,1435395
2026-04-27,153.99,156.25,150.00,150.76,1050962
2026-05-04,151.07,162.24,151.01,160.16,1986374
2026-05-11,160.55,171.01,157.69,164.56,3997119
2026-05-18,163.95,168.90,159.61,164.54,2235450
2026-05-25,165.85,176.50,160.14,167.04,2937984
2026-06-01,168.93,172.20,162.11,163.90,1467857
2026-06-08,162.11,169.70,160.35,166.24,1411155
2026-06-15,168.34,173.14,163.91,171.36,1693250
2026-06-22,172.10,178.80,170.51,173.59,2530028
2026-06-29,176.18,191.75,173.75,187.62,3080747
2026-07-06,188.20,189.50,162.55,166.71,2064833
2026-07-13,167.00,175.30,162.10,164.72,2330231
2026-07-20,164.40,183.00,160.23,175.85,2370113
2026-07-27,177.85,182.09,171.10,176.35,689052
2026-08-03,177.00,182.50,171.45,178.46,934228
2026-08-10,179.56,181.98,173.83,175.12,612245
2026-08-17,175.25,176.94,170.17,171.56,790977
2026-08-24,171.56,176.40,169.09,171.92,893947
2026-08-31,171.92,178.75,170.00,171.89,1720000
2026-09-07,172.00,180.80,168.88,170.86,1436935
2026-09-15,171.00,174.33,159.53,169.71,901935
