Date,Open,High,Low,Close,Volume
2014-12-15,584.00,632.00,530.00,567.30,5681632
2014-12-22,573.00,601.50,538.50,543.25,2779093
2014-12-29,544.00,556.95,501.00,539.25,3644660
2015-01-05,539.90,545.50,502.60,508.50,942630
2015-01-12,508.90,519.00,482.00,483.50,628355
2015-01-19,487.50,495.90,461.10,486.20,900427
2015-01-27,487.10,506.00,478.50,480.45,384319
2015-02-02,480.00,598.20,478.65,565.30,2998932
2015-02-09,561.50,580.95,520.05,522.55,534383
2015-02-16,521.50,588.00,521.50,541.70,719538
2015-02-23,542.00,546.55,510.50,525.55,307287
2015-03-02,525.55,532.00,511.05,521.00,160047
2015-03-09,519.90,562.80,514.05,517.50,435332
2015-03-16,519.70,519.70,473.10,480.75,302204
2015-03-23,478.00,492.50,451.30,475.60,337935
2015-03-30,474.00,514.00,474.00,507.95,132795
2015-04-06,509.75,567.60,508.85,557.60,296129
2015-04-13,552.30,567.05,533.10,545.55,163839
2015-04-20,546.00,562.00,526.00,546.30,144802
2015-04-27,546.25,546.25,519.75,535.30,55018
2015-05-04,539.70,602.00,531.00,553.80,413425
2015-05-11,555.50,594.50,552.10,570.05,220571
2015-05-18,571.40,593.00,563.00,567.85,117352
2015-05-25,573.50,584.90,550.10,575.30,103348
2015-06-01,561.50,585.00,525.20,533.90,89788
2015-06-08,530.00,536.00,503.00,513.35,76865
2015-06-15,512.60,527.35,507.10,513.80,44892
2015-06-22,516.95,565.00,503.00,539.35,171646
2015-06-29,515.10,545.00,515.10,531.05,38215
2015-07-06,522.00,556.00,520.00,532.10,54817
2015-07-13,534.70,575.00,532.00,545.05,91463
2015-07-20,545.05,559.00,537.40,541.95,47817
2015-07-27,541.95,560.00,536.10,555.70,129252
2015-08-03,562.00,574.75,497.40,502.30,277679
2015-08-10,499.00,509.00,475.05,477.45,119616
2015-08-17,485.00,504.00,465.00,467.70,68039
2015-08-24,455.55,475.10,422.40,455.35,74293
2015-08-31,465.00,465.00,428.00,429.60,35303
2015-09-07,430.10,445.95,422.90,438.70,72066
2015-09-14,438.45,457.05,434.40,444.25,52125
2015-09-21,439.90,444.00,431.05,438.20,29110
2015-09-28,440.10,440.10,428.05,431.65,35298
2015-10-05,433.10,440.10,433.00,434.55,33668
2015-10-12,435.50,442.35,415.05,435.20,73641
2015-10-19,438.75,438.90,422.50,433.60,26492
2015-10-26,431.15,443.05,429.30,439.70,26781
2015-11-02,437.10,459.95,436.00,437.95,55560
2015-11-09,430.00,474.00,430.00,447.05,81733
2015-11-16,448.00,462.00,437.00,439.60,49237
2015-11-23,440.00,455.90,435.15,439.80,208061
2015-11-30,442.30,472.70,435.00,448.80,112384
2015-12-07,448.00,458.80,413.45,452.45,132563
2015-12-14,449.10,467.95,441.10,457.90,54133
2015-12-21,460.10,572.00,456.35,547.30,1018611
2015-12-28,547.30,557.95,523.00,536.25,126191
2016-01-04,525.50,551.00,514.50,523.25,112302
2016-01-11,515.00,523.70,476.35,479.65,91454
2016-01-18,479.90,509.90,445.00,449.10,117289
2016-01-25,446.00,485.00,446.00,478.75,70349
2016-02-01,490.00,501.95,441.40,447.15,84394
2016-02-08,453.90,453.90,374.55,382.70,53306
2016-02-15,383.10,416.95,383.10,398.55,33722
2016-02-22,392.10,409.00,385.00,389.60,27503
2016-02-29,391.90,396.70,371.00,387.95,40356
2016-03-08,389.00,395.00,377.10,387.25,27996
2016-03-14,387.00,398.95,380.05,387.20,29421
2016-03-21,390.50,393.85,369.05,369.95,29777
2016-03-28,370.05,375.00,337.05,364.50,84300
2016-04-04,364.50,369.85,350.05,360.55,58136
2016-04-11,370.00,421.85,355.65,391.20,632833
2016-04-18,393.00,402.70,383.00,387.40,152688
2016-04-25,390.00,437.40,386.10,423.95,388823
2016-05-02,425.00,451.95,419.50,439.05,266938
2016-05-09,444.00,444.00,423.00,434.50,67206
2016-05-16,434.45,438.90,425.50,430.05,33050
2016-05-23,433.65,450.00,416.25,436.55,52303
2016-05-30,435.95,444.00,399.40,403.70,108483
2016-06-06,405.05,417.25,388.00,406.15,133104
2016-06-13,405.00,410.10,393.30,398.20,45040
2016-06-20,395.05,429.50,389.10,401.75,136429
2016-06-27,398.15,413.80,395.20,407.00,40832
2016-07-04,410.90,429.95,406.00,413.50,56755
2016-07-11,421.90,429.00,414.00,424.15,79365
2016-07-18,420.00,445.00,420.00,432.30,129021
2016-07-25,432.10,459.00,428.00,429.95,152220
2016-08-01,433.00,462.00,428.05,449.20,142318
2016-08-08,449.90,468.80,442.80,456.05,121144
2016-08-16,452.15,474.95,444.00,453.40,62563
2016-08-22,457.95,474.45,452.35,462.80,38096
2016-08-29,462.80,466.20,448.95,457.40,37327
2016-09-06,460.00,462.00,449.00,450.35,24160
2016-09-12,449.95,463.00,441.05,457.15,27320
2016-09-19,462.00,468.00,448.00,448.65,37798
2016-09-26,448.50,490.60,440.00,458.65,431843
2016-10-03,460.00,475.00,452.00,457.20,78301
2016-10-10,459.00,460.00,450.00,452.30,14302
2016-10-17,450.20,470.00,450.20,459.35,40878
2016-10-24,459.10,510.00,456.20,472.00,216795
2016-11-01,473.00,503.00,457.05,461.45,124542
2016-11-07,468.00,473.00,375.55,457.25,67692
2016-11-15,451.10,456.30,392.05,408.10,51904
2016-11-21,417.70,417.70,388.65,398.45,33594
2016-11-28,399.70,438.00,390.00,412.90,222096
2016-12-05,416.00,416.00,398.00,403.85,41430
2016-12-12,404.15,407.10,366.00,372.95,102744
2016-12-19,380.40,406.00,376.00,400.85,100626
2016-12-26,400.15,424.40,392.00,419.50,78447
2017-01-02,413.90,430.00,413.90,422.85,25184
2017-01-09,421.00,425.00,408.95,412.45,17237
2017-01-16,413.00,428.00,407.05,409.30,46724
2017-01-23,406.00,412.70,400.00,405.50,17215
2017-01-30,410.90,410.90,395.00,401.20,23121
2017-02-06,402.65,416.50,361.90,399.25,73702
2017-02-13,407.70,410.00,381.25,388.95,34222
2017-02-20,389.00,402.00,383.05,393.20,35352
2017-02-27,395.85,396.00,384.25,387.60,24061
2017-03-06,386.20,396.90,380.30,383.85,40473
2017-03-14,387.90,404.00,378.00,392.25,86936
2017-03-20,395.50,397.00,379.00,388.35,67324
2017-03-27,389.50,427.00,382.00,411.40,193246
2017-04-03,407.10,414.90,401.05,408.65,44268
2017-04-10,408.45,416.00,401.30,403.80,26850
2017-04-17,403.00,418.00,390.35,408.20,82813
2017-04-24,411.00,449.40,404.10,436.50,204339
2017-05-02,436.00,448.40,429.00,438.75,108069
2017-05-08,442.15,495.00,437.00,441.30,454682
2017-05-15,448.60,475.00,438.00,440.45,270180
2017-05-22,443.95,454.00,421.00,447.30,83076
2017-05-29,454.55,468.00,430.00,461.80,109482
2017-06-05,468.00,520.00,455.10,510.55,257621
2017-06-12,500.50,595.90,495.00,542.85,562888
2017-06-19,548.30,579.50,525.70,556.55,337430
2017-06-27,556.00,572.00,530.05,540.25,190413
2017-07-03,541.00,572.00,533.30,546.65,148255
2017-07-10,543.10,641.40,540.45,586.25,1069558
2017-07-17,585.10,589.90,552.55,557.30,134426
2017-07-24,557.25,571.95,520.00,526.60,133639
2017-07-31,525.10,535.85,466.00,492.75,152832
2017-08-07,501.05,502.00,412.65,434.20,103311
2017-08-14,441.00,494.60,439.00,463.85,79243
2017-08-21,476.60,484.70,456.00,459.10,97545
2017-08-28,465.95,492.00,453.20,480.65,88667
2017-09-04,484.70,527.00,478.10,505.80,112682
2017-09-11,517.00,517.00,491.05,499.55,48700
2017-09-18,504.50,509.00,465.00,467.40,58410
2017-09-25,472.10,479.45,447.20,451.35,124674
2017-10-03,461.50,508.00,455.25,489.70,127123
2017-10-09,493.95,504.85,480.00,483.70,40025
2017-10-16,476.05,502.30,476.05,487.45,35574
2017-10-23,487.00,504.40,478.00,485.60,66094
2017-10-30,485.00,558.00,485.00,524.45,361476
2017-11-06,522.05,558.60,501.00,508.10,397611
2017-11-13,502.05,519.00,464.15,489.40,155446
2017-11-20,480.55,551.00,480.55,520.80,323614
2017-11-27,523.95,538.00,510.05,523.70,104423
2017-12-04,527.00,538.65,515.00,526.90,112293
2017-12-11,531.65,609.00,528.15,587.80,520323
2017-12-18,582.00,605.00,555.00,585.95,202150
2017-12-26,589.85,629.50,581.30,614.15,325106
2018-01-01,617.90,620.00,590.00,606.80,151844
2018-01-08,611.65,664.00,600.85,610.40,566449
2018-01-15,613.15,623.00,560.15,577.65,157541
2018-01-22,572.25,642.40,572.25,631.60,358846
2018-01-29,640.90,640.90,553.00,558.10,161825
2018-02-05,541.05,595.00,474.40,556.00,143363
2018-02-12,568.00,597.70,551.00,561.30,138332
2018-02-19,552.95,563.70,535.10,538.80,71954
2018-02-26,542.70,548.95,518.90,522.10,107973
2018-03-05,521.90,527.15,485.00,505.50,96246
2018-03-12,510.55,530.00,503.45,511.55,36231
2018-03-19,514.00,514.50,461.10,467.25,213244
2018-03-26,468.00,491.50,453.05,469.00,48077
2018-04-02,474.95,504.00,472.50,497.10,42219
2018-04-09,501.05,520.95,492.10,515.50,169881
2018-04-16,506.20,560.00,506.20,550.05,85236
2018-04-23,550.05,571.45,520.55,532.15,103534
2018-04-30,540.00,549.05,518.50,523.20,73637
2018-05-07,525.65,536.00,502.00,506.80,73915
2018-05-14,506.65,525.95,495.00,521.25,78850
2018-05-21,520.95,542.00,510.00,532.40,105462
2018-05-28,525.00,525.00,460.00,465.70,193495
2018-06-04,466.60,489.00,437.00,450.10,38192
2018-06-11,455.85,465.50,429.10,432.00,57718
2018-06-18,430.00,434.45,411.75,414.90,25784
2018-06-25,412.10,420.40,403.00,412.60,19775
2018-07-02,412.70,419.35,402.30,413.75,8793
2018-07-09,414.00,445.00,410.50,421.40,23886
2018-07-16,411.05,424.80,387.55,393.80,74561
2018-07-23,397.65,414.00,381.70,404.85,32866
2018-07-30,409.90,433.45,405.10,419.30,67843
2018-08-06,420.00,453.65,420.00,452.15,103296
2018-08-13,449.00,449.00,424.40,436.40,70563
2018-08-20,438.00,441.95,414.45,427.90,72036
2018-08-27,427.90,445.95,421.05,439.95,189547
2018-09-03,443.65,449.00,425.45,434.65,57612
2018-09-10,438.95,447.65,425.00,431.20,98303
2018-09-17,431.05,435.45,405.10,412.40,83855
2018-09-24,406.05,430.05,384.70,387.20,35028
2018-10-01,399.00,405.00,360.20,362.75,52170
2018-10-08,365.05,365.05,327.05,340.75,163004
2018-10-15,359.00,388.80,349.70,366.45,82743
2018-10-22,372.65,378.40,345.00,346.60,44704
2018-10-29,350.05,359.70,341.90,347.00,113872
2018-11-05,349.95,362.00,346.55,353.30,129661
2018-11-12,356.80,367.45,339.00,344.00,247431
2018-11-19,344.00,348.90,340.10,342.30,48721
2018-11-26,343.55,393.50,343.50,387.05,1272578
2018-12-03,384.95,388.50,374.00,376.30,329000
2018-12-10,374.90,381.90,371.10,380.40,99298
2018-12-17,384.15,385.00,377.75,379.45,104724
2018-12-24,378.50,384.90,377.70,380.95,90151
2018-12-31,382.00,387.00,380.10,381.85,82410
2019-01-07,381.05,387.80,379.00,381.20,123052
2019-01-14,385.00,385.00,375.00,376.10,89370
2019-01-21,377.50,378.90,370.60,371.15,29138
2019-01-28,370.05,381.00,363.05,374.55,63915
2019-02-04,374.60,381.70,365.05,377.05,43742
2019-02-11,385.00,387.55,375.10,379.20,324270
2019-02-18,380.10,396.00,354.15,357.30,553005
2019-02-25,355.70,363.90,338.90,361.90,94420
2019-03-05,363.90,369.90,356.10,358.00,61139
2019-03-11,361.10,377.00,361.10,363.45,103674
2019-03-18,363.45,378.90,361.10,370.65,77028
2019-03-25,369.00,374.75,361.05,362.90,72308
2019-04-01,363.65,367.15,360.00,361.75,55257
2019-04-08,362.70,364.20,340.00,345.85,192254
2019-04-15,345.00,349.00,341.00,343.05,105835
2019-04-22,342.05,344.00,315.10,328.70,321492
2019-04-30,327.20,328.00,317.00,317.40,69773
2019-05-06,316.90,316.90,305.00,308.85,90603
2019-05-13,308.85,318.00,300.10,315.15,57103
2019-05-20,319.00,323.00,293.50,307.75,253214
2019-05-27,310.00,326.00,303.90,304.55,61524
2019-06-03,307.75,313.55,301.10,309.75,43512
2019-06-10,314.00,319.10,304.00,310.95,66567
2019-06-17,310.55,311.00,297.05,303.15,45042
2019-06-24,300.00,304.50,295.00,301.55,35325
2019-07-01,298.05,311.45,286.85,298.50,51632
2019-07-08,298.15,303.45,289.00,291.55,42928
2019-07-15,291.95,294.90,260.10,262.40,45647
2019-07-22,262.55,288.85,255.70,260.10,94191
2019-07-29,258.60,262.50,235.25,243.15,36420
2019-08-05,238.00,272.50,227.40,259.25,76448
2019-08-13,263.95,265.95,252.85,253.50,23932
2019-08-19,252.85,260.95,226.90,232.65,26061
2019-08-26,230.05,251.05,230.05,237.60,44895
2019-09-03,237.05,242.30,230.00,239.15,26345
2019-09-09,238.30,256.90,229.15,255.10,27901
2019-09-16,256.00,281.45,241.05,249.40,47025
2019-09-23,259.90,260.00,250.00,251.35,33932
2019-09-30,252.65,253.05,229.00,230.35,33938
2019-10-07,230.20,239.85,216.00,233.15,47075
2019-10-14,235.00,248.80,228.25,239.85,66310
2019-10-22,244.50,244.50,225.00,235.70,36476
2019-10-29,238.90,238.90,229.65,237.05,39815
2019-11-04,237.05,243.95,232.05,236.55,53268
2019-11-11,234.00,252.05,232.00,247.10,56987
2019-11-18,248.10,286.00,247.40,282.00,100303
2019-11-25,286.10,293.45,262.00,272.35,153421
2019-12-02,274.50,294.00,262.15,277.10,92994
2019-12-09,277.10,277.10,260.15,261.35,63646
2019-12-16,260.00,268.00,255.95,260.65,43679
2019-12-23,263.95,274.70,258.40,263.75,44523
2019-12-30,266.70,316.50,264.00,285.85,611612
2020-01-06,281.10,299.60,272.25,292.30,75604
2020-01-13,295.00,308.65,290.00,299.40,64072
2020-01-20,302.95,303.00,281.00,281.95,47832
2020-01-27,280.00,292.50,260.05,264.05,50932
2020-02-03,264.00,308.30,255.05,270.95,98375
2020-02-10,272.00,278.70,257.75,263.35,54014
2020-02-17,263.00,264.55,235.30,237.25,39006
2020-02-24,240.95,240.95,201.00,206.10,84183
2020-03-02,202.15,211.00,189.50,190.50,47425
2020-03-09,190.50,190.50,142.00,172.10,58465
2020-03-16,158.05,174.75,149.00,151.20,91900
2020-03-23,133.05,159.45,129.60,137.85,65793
2020-03-30,121.05,152.00,121.05,148.60,56791
2020-04-07,155.00,164.90,150.05,159.30,22142
2020-04-13,164.00,164.00,151.00,156.70,32235
2020-04-20,159.80,172.00,151.00,154.60,73412
2020-04-27,166.00,166.00,152.00,157.70,33890
2020-05-04,152.00,156.95,142.90,144.10,33426
2020-05-11,144.95,148.90,133.85,136.15,291256
2020-05-18,136.90,138.00,125.55,129.15,133778
2020-05-26,134.45,134.45,126.50,129.85,84943
2020-06-01,135.00,168.00,130.25,159.15,2068162
2020-06-08,165.00,165.00,141.00,150.05,393064
2020-06-15,151.70,162.45,147.10,158.20,309018
2020-06-22,159.15,177.00,159.10,164.10,599710
2020-06-29,166.45,170.05,157.50,157.90,205880
2020-07-06,158.10,164.65,155.60,156.25,147783
2020-07-13,158.00,174.00,153.35,163.65,675916
2020-07-20,163.65,167.20,160.00,160.85,96133
2020-07-27,156.60,161.70,155.00,155.50,75797
2020-08-03,160.00,162.95,154.00,160.30,107329
2020-08-10,159.55,175.05,155.00,162.45,733801
2020-08-17,163.90,197.40,161.25,191.20,905472
2020-08-24,201.00,201.05,182.00,185.55,378786
2020-08-31,187.50,189.50,171.00,176.85,147437
2020-09-07,179.90,179.90,164.00,167.80,86989
2020-09-14,170.20,185.15,170.00,181.45,152392
2020-09-21,184.00,184.00,161.75,166.80,86212
2020-09-28,166.80,179.80,165.10,176.10,44463
2020-10-05,178.00,190.00,168.00,186.80,155188
2020-10-12,191.00,197.40,178.05,180.95,388805
2020-10-19,182.45,187.80,178.55,184.10,116558
2020-10-26,183.65,185.20,175.55,177.25,54362
2020-11-02,181.00,187.00,179.00,183.45,127285
2020-11-09,181.20,195.90,181.20,193.45,250201
2020-11-17,196.80,225.40,196.80,215.50,914844
2020-11-23,218.45,248.20,215.00,243.40,543482
2020-12-01,245.50,248.00,238.40,242.40,213748
2020-12-07,244.00,249.85,230.30,234.30,181287
2020-12-14,235.00,277.80,232.40,258.55,1082943
2020-12-21,252.55,258.85,218.00,243.85,200455
2020-12-28,241.00,264.50,241.00,253.00,575253
2021-01-04,256.00,257.80,247.25,248.40,213551
2021-01-11,254.00,255.80,236.35,239.20,177772
2021-01-18,240.00,240.00,217.45,222.40,126627
2021-01-25,221.60,226.40,215.45,223.05,65038
2021-02-01,222.50,245.00,218.55,243.20,244736
2021-02-08,245.00,252.50,225.05,226.15,338159
2021-02-15,228.95,234.90,220.05,233.30,188416
2021-02-22,237.95,237.95,215.70,228.70,902079
2021-03-01,230.00,240.00,226.70,228.20,296823
2021-03-08,231.95,231.95,220.50,221.35,95957
2021-03-15,221.10,225.00,207.10,213.55,146101
2021-03-22,214.10,230.00,208.05,223.75,453091
2021-03-30,225.00,235.00,220.00,229.75,106331
2021-04-05,229.00,261.80,217.30,239.65,1141491
2021-04-12,234.50,238.00,218.00,225.00,333969
2021-04-19,220.55,235.00,217.60,223.85,136225
2021-04-26,227.90,238.70,222.60,224.05,182090
2021-05-03,222.10,262.00,222.10,246.60,670872
2021-05-10,249.95,281.40,249.00,261.05,1046491
2021-05-17,257.00,270.00,251.00,265.15,470725
2021-05-24,265.15,295.00,265.15,287.40,809371
2021-05-31,293.50,327.00,282.25,304.40,1238527
2021-06-07,304.00,319.75,302.00,309.30,318147
2021-06-14,310.00,316.00,299.00,306.80,250129
2021-06-21,304.00,349.90,299.00,337.90,1173914
2021-06-28,338.00,344.05,322.00,323.65,194546
2021-07-05,324.00,366.90,323.20,350.65,728944
2021-07-12,350.65,378.55,347.00,368.40,734093
2021-07-19,368.40,368.40,345.30,353.40,169640
2021-07-26,350.65,389.70,343.40,376.90,880981
2021-08-02,379.00,383.70,333.95,363.65,563669
2021-08-09,366.50,378.50,325.10,348.45,342601
2021-08-16,348.00,350.95,325.20,327.15,225197
2021-08-23,326.30,356.00,309.45,346.05,490401
2021-08-30,346.20,359.50,342.55,347.10,190621
2021-09-06,347.50,378.00,346.20,368.10,376141
2021-09-13,370.00,381.25,351.00,354.45,344009
2021-09-20,354.50,360.00,326.25,340.20,220405
2021-09-27,340.30,392.45,339.20,374.75,643554
2021-10-04,377.25,402.95,365.00,376.35,533159
2021-10-11,387.95,400.50,380.00,392.05,516142
2021-10-18,394.80,414.00,381.00,391.75,685214
2021-10-25,399.00,404.10,376.00,389.35,283906
2021-11-01,394.60,425.70,386.90,420.25,474440
2021-11-08,422.00,585.00,412.00,548.05,2524264
2021-11-15,548.05,655.00,539.45,605.50,2724263
2021-11-22,604.00,621.00,526.00,537.95,636518
2021-11-29,535.05,643.00,505.00,570.40,736565
2021-12-06,573.90,603.80,558.40,571.50,410143
2021-12-13,573.00,630.00,571.50,582.05,396409
2021-12-20,576.00,603.70,538.65,569.90,197673
2021-12-27,572.75,641.00,560.10,601.45,383890
2022-01-03,606.25,702.00,603.05,662.75,1260774
2022-01-10,670.00,729.00,653.50,667.60,575040
2022-01-17,667.60,685.00,629.30,648.35,275411
2022-01-24,658.25,665.00,575.00,616.05,280209
2022-01-31,625.05,674.10,581.05,599.15,445290
2022-02-07,600.00,614.70,556.00,558.40,277001
2022-02-14,545.00,560.90,512.05,533.30,171989
2022-02-21,530.10,530.15,450.00,473.25,208152
2022-02-28,473.25,506.00,449.60,470.80,127579
2022-03-07,460.00,505.75,456.00,499.70,121578
2022-03-14,515.00,515.00,484.00,496.60,73017
