Date,Open,High,Low,Close,Volume
2024-03-04,40.00,42.25,38.25,42.25,29279199
2024-03-11,43.00,43.95,34.45,35.75,23951308
2024-03-18,35.90,42.15,33.00,40.85,21525156
2024-03-26,41.00,42.80,36.10,36.50,15172598
2024-04-01,35.60,39.50,35.60,37.95,14951641
2024-04-08,38.15,38.75,36.70,37.55,6126176
2024-04-15,35.85,37.55,34.95,36.10,6330094
2024-04-22,36.80,38.20,36.15,36.85,5772816
2024-04-29,36.65,37.50,36.05,36.20,4070896
2024-05-06,36.20,36.50,34.50,34.80,3455145
2024-05-13,35.55,38.30,34.65,35.10,8946038
2024-05-21,35.10,35.30,34.00,34.05,2795155
2024-05-27,33.65,34.15,33.05,33.35,4299247
2024-06-03,34.10,34.30,30.00,33.80,5498713
2024-06-10,34.79,34.89,33.80,34.32,3961619
2024-06-18,34.84,34.84,33.75,33.80,2949278
2024-06-24,33.70,37.80,33.23,35.29,9753706
2024-07-01,35.35,35.79,34.10,34.99,4181835
2024-07-08,35.50,40.30,34.51,39.29,26619579
2024-07-15,41.47,56.56,40.81,48.48,117887082
2024-07-22,48.47,56.30,47.00,51.77,37666118
2024-07-29,52.50,53.40,48.03,50.43,9723709
2024-08-05,47.50,51.80,46.90,50.02,9918638
2024-08-12,50.02,51.11,43.40,45.95,8812203
2024-08-19,46.51,51.85,46.15,49.14,8682043
2024-08-26,49.49,50.10,45.90,46.46,8141084
2024-09-02,46.70,47.07,45.05,45.49,4564194
2024-09-09,45.46,46.30,44.11,45.01,4075835
2024-09-16,45.25,45.74,42.07,42.91,5426263
2024-09-23,43.45,43.65,40.47,41.79,3917413
2024-09-30,41.26,42.24,39.65,39.95,4929742
2024-10-07,41.09,45.84,37.50,43.20,9577827
2024-10-14,43.38,43.79,40.61,41.76,3217362
2024-10-21,42.00,47.39,41.55,41.95,20021699
2024-10-28,42.10,44.60,41.13,44.42,3953955
2024-11-04,44.42,47.00,42.75,45.08,9497518
2024-11-11,45.05,45.05,40.05,41.25,5620479
2024-11-18,37.00,42.48,36.50,40.56,7361381
2024-11-25,41.79,42.44,40.40,40.96,2871799
2024-12-02,41.15,42.79,40.51,42.00,3488453
2024-12-09,42.24,42.91,40.35,41.25,2868484
2024-12-16,41.15,41.60,38.78,39.12,2495321
2024-12-23,39.44,40.00,38.22,38.72,1380190
2024-12-30,38.73,43.94,37.00,39.88,6951659
2025-01-06,40.44,40.44,36.90,37.67,2458518
2025-01-13,37.10,38.22,36.00,37.62,1721438
2025-01-20,37.74,38.21,36.00,36.37,1535587
2025-01-27,35.98,41.00,33.21,37.37,5075950
2025-02-03,37.37,39.05,36.50,36.90,2513439
2025-02-10,36.11,36.90,32.50,33.62,2176225
2025-02-17,33.72,35.73,32.60,33.95,2212118
2025-02-24,33.30,36.50,32.82,34.17,2288027
2025-03-03,34.01,36.20,32.40,34.73,3943754
2025-03-10,34.95,35.10,33.02,33.27,1237662
2025-03-17,33.44,36.73,31.51,34.30,3497279
2025-03-24,34.60,34.79,32.11,32.66,3214018
2025-04-01,32.65,33.59,32.35,32.84,2005053
2025-04-07,29.00,33.77,28.71,33.33,2533589
2025-04-15,34.11,34.57,32.90,33.07,1813312
2025-04-21,33.21,34.00,32.43,33.01,4279592
2025-04-28,33.00,33.04,31.25,31.44,1296016
2025-05-05,31.46,32.00,29.19,30.05,2288920
2025-05-12,31.00,31.88,30.43,31.35,4734037
2025-05-19,31.45,31.78,30.35,30.72,5317420
2025-05-26,30.89,31.14,30.50,30.91,1402586
2025-06-02,31.15,31.50,30.73,30.98,2085470
2025-06-09,31.11,32.80,30.05,31.02,4178165
2025-06-16,31.01,31.08,29.90,30.06,1454441
2025-06-23,30.00,30.80,29.05,30.03,1763324
2025-06-30,30.15,30.15,29.78,29.97,1317928
2025-07-07,29.98,30.18,29.70,29.93,1096356
2025-07-14,29.92,30.08,29.49,30.01,1427578
2025-07-21,30.01,30.04,28.91,29.08,1136023
2025-07-28,29.08,29.21,27.80,27.85,1343854
2025-08-04,27.79,27.96,24.75,27.19,1264090
2025-08-11,27.49,28.13,26.50,26.69,1333561
2025-08-18,26.99,28.80,25.01,26.68,2060399
2025-08-25,26.66,27.12,26.10,26.61,584149
2025-09-01,26.72,28.59,26.55,27.63,1151890
2025-09-08,28.50,31.23,27.30,27.66,4324017
2025-09-15,27.50,29.30,27.42,27.96,1754528
2025-09-22,27.96,28.10,26.15,26.38,990832
2025-09-29,27.22,27.65,25.87,27.30,1212094
2025-10-06,27.25,27.50,26.10,26.61,1224019
2025-10-13,26.50,26.61,24.20,24.82,2351799
2025-10-20,25.00,25.43,24.10,25.02,927115
2025-10-27,24.65,25.50,24.65,25.18,983903
2025-11-03,25.05,25.30,24.10,24.26,907442
2025-11-10,24.50,27.00,23.80,26.31,2740466
2025-11-17,26.32,26.90,24.11,24.67,1672093
2025-11-24,24.79,27.50,24.30,25.29,2546185
2025-12-01,25.40,30.26,24.91,26.01,27024997
2025-12-08,26.04,26.38,23.65,24.59,4252139
2025-12-15,24.58,24.74,23.81,24.10,2032720
2025-12-22,24.30,24.46,24.00,24.06,989886
2025-12-29,24.06,24.30,23.76,24.05,1237992
2026-01-05,24.00,24.07,22.64,22.73,1474227
2026-01-12,22.61,22.69,21.92,22.12,1018458
2026-01-19,22.12,23.87,20.16,22.29,3082141
2026-01-27,22.29,24.60,21.93,23.52,3232470
2026-02-02,23.05,25.00,22.85,24.64,3138335
2026-02-09,24.65,26.50,24.16,24.92,4705206
2026-02-16,25.10,25.10,23.12,23.51,1565468
2026-02-23,23.85,23.99,22.33,22.76,1465401
2026-03-02,21.00,22.40,20.90,22.08,1632401
2026-03-09,21.10,23.53,21.10,21.88,1308801
2026-03-16,21.88,22.00,21.00,21.13,1003394
2026-03-23,21.20,21.32,19.61,19.84,1589336
2026-03-30,19.26,20.94,18.27,20.62,1533651
2026-04-06,20.77,22.82,20.54,22.64,1209029
2026-04-13,22.05,24.38,21.73,24.19,1510033
2026-04-20,24.31,24.88,23.50,23.99,1749883
2026-04-27,23.78,24.65,23.70,24.03,704908
2026-05-04,24.10,25.10,23.77,24.63,1149439
2026-05-11,24.11,25.49,23.12,23.56,1600743
2026-05-18,23.70,23.70,22.20,22.41,785505
2026-05-25,22.52,23.61,22.52,22.79,679152
2026-06-01,22.68,23.39,21.79,22.41,1217923
2026-06-08,22.41,23.20,21.00,22.81,1708735
2026-06-15,24.40,25.87,23.30,24.31,2938867
2026-06-22,24.95,25.42,24.07,24.32,1044288
2026-06-29,24.35,24.61,23.45,23.95,893867
2026-07-06,23.96,24.18,22.50,23.08,1129556
2026-07-13,23.44,25.00,22.61,22.88,1067790
2026-07-20,22.90,23.80,22.51,22.94,852232
2026-07-27,23.01,23.49,21.50,22.54,1130652
2026-08-03,22.70,24.00,22.70,23.41,1174291
2026-08-10,23.59,28.23,23.33,26.50,7537529
2026-08-17,27.00,28.10,25.93,26.59,3366641
2026-08-24,26.59,27.00,24.95,25.06,1564325
2026-08-31,25.00,32.44,24.30,31.34,14395191
2026-09-07,31.50,33.22,28.16,32.17,11572989
2026-09-15,33.00,33.29,26.87,26.93,4930670
