Date,Open,High,Low,Close,Volume
2015-08-24,136.32,136.32,110.64,135.36,6364
2015-08-31,127.36,145.45,111.55,129.95,3090
2015-09-07,111.14,128.18,111.14,118.18,6201
2015-09-14,122.55,126.18,114.18,123.64,3837
2015-09-21,123.64,142.68,107.55,130.00,9395
2015-09-28,127.27,135.45,118.18,132.73,12692
2015-10-05,126.36,151.36,118.50,137.50,10395
2015-10-12,138.18,142.36,125.14,135.68,5523
2015-10-19,135.95,140.91,135.95,140.64,1959
2015-10-26,138.64,144.55,136.68,140.41,8363
2015-11-02,140.91,144.55,127.32,136.14,11663
2015-11-09,136.36,149.95,123.73,140.09,23477
2015-11-16,138.18,144.55,129.27,136.36,6217
2015-11-23,133.86,140.95,133.64,140.64,4901
2015-11-30,141.68,144.55,130.91,134.55,13932
2015-12-07,131.95,137.27,124.55,129.73,9260
2015-12-14,130.86,138.41,122.91,131.73,22294
2015-12-21,136.27,138.91,132.68,138.09,9602
2015-12-28,137.27,140.59,126.36,136.36,4476
2016-01-04,136.36,139.86,129.73,133.64,10668
2016-01-11,138.64,154.55,136.45,140.05,21172
2016-01-18,131.64,143.64,120.05,131.91,18425
2016-01-25,136.36,148.68,131.91,134.50,7238
2016-02-01,131.91,139.82,128.18,129.23,13897
2016-02-08,134.32,134.32,120.59,122.14,4019
2016-02-15,122.50,127.27,119.36,122.27,5144
2016-02-22,126.09,135.45,112.36,122.73,4121
2016-02-29,123.59,147.27,118.50,129.45,5753
2016-03-08,126.91,139.36,114.55,136.36,12998
2016-03-14,139.09,139.09,135.45,135.55,8581
2016-03-21,135.45,135.45,126.00,130.45,3596
2016-03-28,135.45,140.45,129.09,137.45,12683
2016-04-04,139.09,145.45,133.64,138.77,51074
2016-04-11,137.36,141.77,132.36,138.91,1495
2016-04-18,138.50,152.68,137.27,142.18,27084
2016-04-25,145.45,175.27,145.45,160.18,86617
2016-05-02,163.64,163.73,155.00,157.95,12519
2016-05-09,158.18,172.55,142.00,163.68,11257
2016-05-16,161.95,172.73,161.45,163.86,20379
2016-05-23,164.55,167.18,157.64,163.32,2286
2016-05-30,177.23,190.59,156.55,160.18,27486
2016-06-06,161.14,168.09,157.77,161.36,35539
2016-06-13,157.73,195.05,154.55,185.50,155493
2016-06-20,185.50,192.41,168.36,183.36,62269
