Date,Open,High,Low,Close,Volume
2007-06-25,50.40,54.80,37.26,37.74,16396965
2007-07-02,37.61,40.79,35.12,35.38,19233205
2007-07-09,35.69,37.38,34.70,34.94,7808815
2007-07-16,35.12,36.12,33.05,33.24,2890250
2007-07-23,33.80,35.27,29.20,31.88,7481250
2007-07-30,32.17,34.60,30.62,30.84,5796070
2007-08-06,30.00,33.40,29.12,30.48,4180400
2007-08-13,31.20,32.18,28.27,29.23,1032355
2007-08-20,30.18,30.80,27.00,27.11,887695
2007-08-27,27.99,30.96,27.00,29.84,1381895
2007-09-03,29.80,32.60,29.45,31.32,1551485
2007-09-10,31.54,31.80,29.00,29.53,923615
2007-09-17,29.96,34.20,29.02,33.59,3693990
2007-09-24,35.80,35.80,31.00,31.08,1673090
2007-10-01,31.20,34.40,31.20,32.93,4323785
2007-10-08,33.40,35.00,29.80,30.43,1269345
2007-10-15,31.02,33.49,28.46,30.05,3235040
2007-10-22,29.60,31.20,29.21,30.06,815120
2007-10-29,30.59,30.59,26.20,27.84,814245
2007-11-05,27.84,28.60,26.20,26.73,482895
2007-11-12,26.00,28.88,25.66,27.99,492540
2007-11-19,28.40,30.98,27.02,27.54,926105
2007-11-26,27.40,28.75,26.44,27.35,472965
2007-12-03,29.00,31.58,27.20,29.34,921165
2007-12-10,30.00,33.98,29.00,31.19,1489815
2007-12-17,31.60,32.80,29.50,30.29,844595
2007-12-24,30.80,36.00,30.12,34.92,3820735
2007-12-31,35.40,39.28,33.63,37.33,6303380
2008-01-07,36.20,38.40,32.00,33.80,1819670
2008-01-14,34.00,34.00,30.23,32.18,586840
2008-01-21,31.80,31.80,20.60,26.68,674835
2008-01-28,25.60,27.40,25.20,26.50,257645
2008-02-04,27.80,28.40,25.00,25.93,293420
2008-02-11,24.40,26.00,23.00,23.44,429500
2008-02-18,23.70,24.80,23.32,23.88,183295
2008-02-25,23.45,24.80,23.45,23.80,109640
2008-03-03,23.25,23.98,19.83,20.09,307605
2008-03-10,20.80,22.60,17.21,19.28,193400
2008-03-17,19.40,19.40,16.39,16.75,167555
2008-03-24,17.20,21.47,17.04,20.97,1014460
2008-03-31,20.88,21.20,19.00,19.13,326620
2008-04-07,22.80,23.80,19.00,22.17,974285
2008-04-15,20.79,24.74,20.79,23.74,593990
2008-04-21,23.80,24.40,22.71,23.16,211925
2008-04-28,23.40,23.77,21.63,22.40,1230390
2008-05-05,22.40,23.39,21.40,21.68,402655
2008-05-12,21.97,22.50,20.61,22.22,224695
2008-05-20,22.80,23.60,21.42,21.66,244840
2008-05-26,21.78,22.24,20.00,20.08,141760
2008-06-02,19.60,20.36,18.02,19.05,107590
2008-06-09,17.60,19.39,17.60,18.46,77610
2008-06-16,18.89,19.69,17.80,18.08,131385
2008-06-23,17.62,18.25,16.02,16.03,200005
2008-06-30,16.05,16.78,13.61,14.04,273805
2008-07-07,14.06,15.38,13.30,14.66,471825
2008-07-14,14.28,17.00,12.70,13.28,467820
2008-07-21,13.38,14.28,12.85,12.93,746090
2008-07-28,13.70,13.85,12.90,13.77,478945
2008-08-04,13.80,15.43,13.72,14.91,731465
2008-08-11,15.20,15.60,14.41,14.62,158365
2008-08-18,15.40,15.40,14.00,14.27,107950
2008-08-25,14.49,17.04,14.05,14.89,1491675
2008-09-01,15.02,16.58,14.62,15.13,422300
2008-09-08,15.06,16.88,14.24,16.06,270980
2008-09-15,16.20,16.20,13.00,14.07,153850
2008-09-22,14.44,15.38,12.80,12.82,127110
2008-09-29,12.60,12.99,10.40,12.10,99090
2008-10-06,12.60,12.60,9.02,9.74,85575
2008-10-13,9.60,11.18,8.31,9.31,102080
2008-10-20,8.42,10.36,7.60,7.63,97940
2008-10-27,7.78,8.09,6.13,7.71,104480
2008-11-03,8.00,8.57,7.61,7.85,102660
2008-11-10,7.77,8.50,6.80,7.14,90145
2008-11-17,7.06,7.20,5.14,6.02,156850
2008-11-24,6.10,6.20,5.32,5.60,34380
2008-12-01,5.70,6.00,5.30,5.49,52585
2008-12-08,5.49,6.07,5.20,5.28,189880
2008-12-15,5.03,6.70,5.03,6.30,281190
2008-12-22,6.38,6.60,5.73,6.00,62075
