Date,Open,High,Low,Close,Volume
2017-11-13,375.00,375.00,336.60,337.77,7209750
2017-11-20,337.40,340.00,324.00,324.27,1202402
2017-11-27,322.65,324.98,309.25,309.90,1016590
2017-12-04,310.50,311.65,290.00,291.50,973114
2017-12-11,292.50,294.00,272.52,273.12,833952
2017-12-18,274.70,310.50,266.55,307.25,1742830
2017-12-26,307.92,308.15,296.00,300.55,364314
2018-01-01,303.92,313.50,301.50,312.62,451590
2018-01-08,313.90,317.00,310.60,311.38,285888
2018-01-15,311.38,312.62,301.50,303.25,268034
2018-01-22,304.50,320.98,302.50,317.35,2541438
2018-01-29,316.62,338.67,312.27,326.52,1735720
2018-02-05,325.00,349.50,320.08,348.30,1153816
2018-02-12,343.65,375.77,343.65,354.30,1012362
2018-02-19,350.55,357.50,349.08,352.50,278104
2018-02-26,352.50,362.50,350.55,355.52,285152
2018-03-05,355.02,358.00,331.00,341.30,282372
2018-03-12,341.62,352.42,330.00,347.67,184438
2018-03-19,343.02,350.50,317.50,331.95,609966
2018-03-26,330.50,359.50,321.50,356.42,236512
2018-04-02,346.00,354.98,335.02,339.35,390820
2018-04-09,337.55,342.50,327.62,333.75,257924
2018-04-16,332.98,336.38,326.60,330.12,103016
2018-04-23,326.42,354.75,326.42,331.83,379480
2018-04-30,330.62,337.75,326.92,331.62,158710
2018-05-07,335.00,357.30,334.83,347.77,709804
2018-05-14,352.50,357.00,331.62,333.58,1233872
2018-05-21,331.52,342.00,330.50,338.12,95598
2018-05-28,340.00,382.42,335.62,337.70,1136886
2018-06-04,340.15,347.50,318.25,322.08,477142
2018-06-11,322.08,338.50,308.00,309.20,578322
2018-06-18,311.67,324.48,309.90,323.90,214280
2018-06-25,326.75,329.95,315.00,317.45,228234
2018-07-02,317.45,318.00,294.50,308.85,90187
2018-07-09,308.85,311.00,289.00,289.85,100017
2018-07-16,285.45,309.70,252.70,288.45,529870
2018-07-23,284.50,285.00,265.25,274.70,150621
2018-07-30,279.00,296.50,275.15,282.65,777777
2018-08-06,287.00,287.00,268.30,272.80,143405
2018-08-13,274.90,279.00,259.00,264.20,176556
2018-08-20,266.90,269.10,237.25,239.45,676765
2018-08-27,244.50,255.00,235.75,250.10,321505
2018-09-03,255.00,257.25,243.40,249.15,205103
2018-09-10,252.00,253.45,242.20,246.75,868383
2018-09-17,247.00,252.10,227.75,232.05,199759
2018-09-24,235.80,240.00,216.55,224.70,984808
2018-10-01,226.10,227.35,208.95,210.20,183121
2018-10-08,212.90,214.00,198.00,204.15,1870118
2018-10-15,204.25,213.95,202.25,205.35,228649
2018-10-22,206.05,210.00,203.00,207.70,237446
2018-10-29,207.70,229.20,207.55,226.35,403954
2018-11-05,227.80,228.00,219.25,226.25,58138
2018-11-12,227.65,238.20,208.20,209.95,193896
2018-11-19,212.00,212.10,202.15,202.75,257630
2018-11-26,203.00,204.00,196.55,197.25,120878
2018-12-03,197.25,207.00,194.50,195.80,459995
2018-12-10,195.80,200.90,192.00,197.85,148915
2018-12-17,198.00,198.95,185.00,185.80,567432
2018-12-24,189.30,189.50,171.20,178.00,885220
2018-12-31,179.10,186.40,176.25,179.85,287592
2019-01-07,180.00,180.85,177.25,179.65,128304
2019-01-14,180.00,187.30,178.55,180.00,168265
2019-01-21,177.70,182.00,174.00,174.80,106420
2019-01-28,175.60,184.85,172.00,175.60,165864
2019-02-04,176.90,182.00,170.10,172.05,137088
2019-02-11,170.20,174.90,169.00,171.25,82429
2019-02-18,170.25,180.00,169.10,175.75,111386
2019-02-25,175.15,179.90,169.00,177.75,264158
2019-03-05,177.75,212.00,177.75,197.65,941466
2019-03-11,195.00,219.00,192.60,195.70,1697113
2019-03-18,197.00,198.50,183.05,184.45,2012952
2019-03-25,181.00,199.90,178.00,189.75,1649527
2019-04-01,192.40,195.00,185.05,186.65,425804
2019-04-08,185.15,195.45,185.15,191.10,360305
2019-04-15,191.10,192.00,186.20,189.75,378426
2019-04-22,188.30,188.95,180.00,182.70,160894
2019-04-30,182.70,183.85,179.00,180.85,87430
2019-05-06,180.00,180.65,171.00,173.90,160070
2019-05-13,172.65,175.45,162.10,163.05,217779
2019-05-20,165.55,168.40,161.55,164.00,197808
2019-05-27,165.00,169.00,163.00,163.45,246590
2019-06-03,163.00,165.60,160.25,162.45,273410
2019-06-10,162.45,162.95,153.05,157.50,177447
2019-06-17,156.75,157.50,147.00,148.70,152151
2019-06-24,147.20,160.10,147.15,149.35,571945
2019-07-01,150.10,159.90,147.05,149.55,1110987
2019-07-08,150.00,153.95,140.00,140.50,390497
2019-07-15,140.70,141.40,128.10,129.30,399775
2019-07-22,129.30,130.95,123.15,123.50,307072
2019-07-29,124.15,126.50,110.15,120.35,498936
2019-08-05,119.00,126.00,115.25,119.00,297335
2019-08-13,118.40,118.40,112.45,114.10,97578
2019-08-19,114.10,114.70,101.45,105.45,209526
2019-08-26,105.90,111.25,104.20,105.40,236776
2019-09-03,105.00,112.10,103.10,109.40,231634
2019-09-09,109.40,112.35,106.10,107.45,346008
2019-09-16,107.00,109.95,101.95,108.05,321824
2019-09-23,108.50,111.05,99.55,105.70,1045520
2019-09-30,106.25,114.05,100.25,101.65,1334694
2019-10-07,101.65,106.85,96.70,97.05,437021
2019-10-14,97.15,155.00,94.40,143.75,11900744
2019-10-22,143.70,149.00,126.10,144.00,2901326
2019-10-29,141.65,179.15,141.65,164.10,5603364
2019-11-04,163.00,171.00,144.45,145.05,2074028
2019-11-11,146.00,164.50,144.20,158.35,2178855
2019-11-18,158.00,160.90,146.95,150.90,2148393
2019-11-25,151.00,157.70,147.05,148.35,1715637
2019-12-02,149.75,153.80,140.50,141.55,1408790
2019-12-09,142.00,145.20,131.15,136.55,2833194
2019-12-16,136.45,146.85,132.55,143.40,2517770
2019-12-23,143.40,147.00,137.05,139.05,783232
2019-12-30,139.20,148.40,133.60,145.55,2381273
2020-01-06,147.00,152.45,142.50,147.05,2708169
2020-01-13,151.00,172.00,149.25,163.50,4932986
2020-01-20,166.00,169.00,156.10,166.05,2081274
2020-01-27,163.00,167.35,141.00,144.05,2048909
2020-02-03,140.10,159.50,136.15,150.35,2410948
2020-02-10,155.80,156.00,136.40,136.90,1619757
2020-02-17,136.95,139.05,127.55,134.20,1795651
2020-02-24,132.00,133.50,107.50,109.45,1265994
2020-03-02,111.55,114.70,100.00,102.70,973321
2020-03-09,101.75,102.00,74.10,89.40,1076181
2020-03-16,88.70,99.00,80.10,89.05,1073184
2020-03-23,82.00,113.80,75.00,98.60,1760358
2020-03-30,91.45,120.95,91.00,107.10,2907728
2020-04-07,110.00,115.40,105.05,109.10,819820
2020-04-13,109.90,131.25,109.30,124.50,3732842
2020-04-20,126.85,129.00,112.20,114.00,1207568
2020-04-27,114.30,126.00,114.30,119.85,2513777
2020-05-04,116.00,130.00,112.00,117.45,2917630
2020-05-11,119.20,124.90,114.85,120.85,810002
2020-05-18,121.50,121.70,111.25,115.80,541805
2020-05-26,116.50,123.45,114.10,120.80,1012587
2020-06-01,123.15,123.65,116.25,118.50,1501182
2020-06-08,119.15,138.00,117.10,122.45,3410912
2020-06-15,122.45,135.90,121.30,124.20,2783360
2020-06-22,125.05,126.90,108.90,114.05,4425565
2020-06-29,113.75,123.00,112.85,119.10,5804927
2020-07-06,119.15,120.90,113.45,114.60,2092970
