Date,Open,High,Low,Close,Volume
2001-12-31,2.00,2.50,1.90,2.00,3400
2002-02-04,2.00,2.00,2.00,2.00,100
2002-02-11,2.00,2.00,2.00,2.00,100
2002-02-25,2.00,2.00,2.00,2.00,100
2002-03-25,2.00,2.00,2.00,2.00,1
2002-04-01,2.00,2.00,2.00,2.00,160
2002-04-15,2.35,2.50,2.05,2.50,520
2002-04-22,2.50,2.50,2.05,2.50,900
2002-04-29,2.05,2.50,1.75,1.90,2202
2002-05-06,1.70,3.20,1.70,3.20,6860
2002-05-13,2.60,2.95,1.60,1.60,1605
2002-05-20,1.50,1.50,1.50,1.50,100
2002-05-27,1.40,1.40,1.40,1.40,1
2002-06-03,1.70,2.45,1.70,2.40,3629
2002-06-10,2.80,3.00,1.60,2.30,5510
2002-06-17,1.85,3.90,1.85,3.90,26661
2002-06-24,4.60,9.85,4.05,9.85,110145
2002-07-01,10.70,11.40,6.00,7.40,213336
2002-07-08,6.60,8.00,5.20,5.45,112694
2002-07-15,5.60,6.30,4.45,4.90,42019
2002-07-22,4.50,5.00,3.75,4.30,11568
2002-07-29,3.50,4.80,2.85,3.25,10442
2002-08-05,3.90,4.70,3.20,3.35,2891
2002-08-12,3.30,3.80,3.10,3.40,8504
2002-08-19,3.10,3.40,2.80,3.10,1919
2002-08-26,2.60,3.55,2.25,3.15,1252
2002-09-02,2.80,3.60,2.50,3.00,4112
2002-09-09,3.45,3.55,3.25,3.25,1301
2002-09-16,3.10,3.10,2.05,2.90,1777
2002-09-23,3.45,3.45,2.50,2.55,3642
2002-09-30,2.65,3.00,2.60,3.00,2501
2002-10-07,3.00,3.10,2.55,2.80,2900
2002-10-14,2.90,2.90,2.60,2.60,1700
2002-10-21,2.60,2.65,2.05,2.05,1650
2002-10-28,2.15,2.55,1.75,2.50,2604
2002-11-04,2.45,2.95,2.35,2.95,102
2002-11-11,3.40,3.40,2.40,3.20,1173
2002-11-18,3.30,3.30,2.20,2.50,2027
2002-11-25,2.90,3.15,2.10,3.15,6162
2002-12-30,2.80,3.50,2.80,3.10,5327
2003-01-06,2.80,3.55,2.55,3.00,11849
2003-01-13,3.00,3.90,2.65,3.40,10574
2003-01-20,2.75,3.40,2.75,2.80,2755
2003-01-27,2.75,2.80,2.20,2.20,2100
2003-02-03,2.20,2.30,2.10,2.10,1980
2003-02-17,2.50,2.50,2.00,2.20,2900
2003-02-24,2.25,2.75,2.05,2.75,2101
2003-03-03,2.30,2.30,2.20,2.20,1126
2003-03-10,2.05,2.50,1.75,2.00,6003
2003-03-17,2.40,2.95,2.00,2.50,235
2003-03-24,2.50,2.50,1.85,1.85,1444
2003-03-31,2.20,2.25,1.90,2.00,330
2003-04-07,1.65,2.30,1.65,2.10,788
2003-04-14,1.75,2.40,1.55,2.25,3697
2003-04-21,2.00,2.45,1.65,2.20,1912
