Date,Open,High,Low,Close,Volume
2025-04-28,2350.00,2425.00,2250.00,2291.70,15902
2025-05-05,2320.00,2320.00,1914.20,1950.30,54793
2025-05-12,2080.00,2190.40,2010.10,2041.60,43735
2025-05-19,2089.90,2107.90,1971.00,2011.40,28878
2025-05-26,2030.00,2192.40,1800.00,2107.90,160312
2025-06-02,2108.00,2225.00,2063.00,2124.40,47061
2025-06-09,2105.50,2174.90,2088.20,2119.20,37865
2025-06-16,2108.60,2150.00,1958.00,1968.90,33644
2025-06-23,2009.90,2125.00,1845.00,2005.60,135933
2025-06-30,2035.70,2100.00,1974.10,2049.20,48927
2025-07-07,2069.70,2149.00,1958.40,2006.90,34508
2025-07-14,1981.00,2058.00,1875.00,1899.40,70191
2025-07-21,1910.00,1916.90,1792.10,1825.70,81682
2025-07-28,1853.10,2296.00,1827.10,2258.00,285101
2025-08-04,2252.10,2383.00,2039.90,2121.10,170120
2025-08-11,2001.00,2330.70,1976.10,2301.80,717874
2025-08-18,2301.90,2388.30,2104.10,2342.90,148476
2025-08-25,2366.20,2371.50,2130.00,2136.90,80536
2025-09-01,2158.30,2170.00,2083.20,2103.80,52747
2025-09-08,2168.90,2208.60,2064.30,2076.80,77456
2025-09-15,2092.40,2138.50,1992.70,2062.20,72208
2025-09-22,2087.00,2088.00,1888.80,1912.20,88609
2025-09-29,1917.00,2020.00,1878.80,2010.40,23322
2025-10-06,2046.00,2046.00,1877.40,1898.40,45641
2025-10-13,1885.00,1960.00,1875.10,1891.00,31425
2025-10-20,1905.10,2058.00,1885.60,1904.40,44384
2025-10-27,1900.10,1920.00,1760.00,1856.80,88055
2025-11-03,1884.70,1884.70,1703.10,1770.00,56430
2025-11-10,1785.00,1860.20,1750.10,1816.10,51355
2025-11-17,1816.10,1817.10,1590.00,1601.00,90466
2025-11-24,1601.00,1700.00,1550.00,1651.80,70185
2025-12-01,1660.10,1699.00,1464.10,1479.10,58647
2025-12-08,1482.00,1525.00,1402.90,1450.70,57725
2025-12-15,1462.30,1499.90,1384.10,1407.60,36456
2025-12-22,1409.90,1429.00,1345.30,1351.50,38658
2025-12-29,1370.00,1514.90,1357.10,1410.00,190804
2026-01-05,1415.00,1496.60,1367.50,1399.90,93984
2026-01-12,1399.90,1422.90,1287.00,1396.90,74862
2026-01-19,1400.00,1529.90,1285.00,1294.30,194298
2026-01-27,1306.00,1311.10,1180.60,1198.20,59702
2026-02-02,1280.10,1359.80,1144.50,1281.90,131957
2026-02-09,1289.90,1494.70,1152.00,1170.30,483804
2026-02-16,1179.00,1258.00,1133.00,1217.10,254365
2026-02-23,1225.00,1226.80,1033.00,1168.50,355604
2026-03-02,1091.00,1150.00,1021.80,1055.80,131788
2026-03-09,1035.00,1055.00,875.50,890.60,167454
2026-03-16,898.80,1148.00,846.60,1105.90,519973
2026-03-23,1107.90,1160.00,1050.00,1074.80,337415
2026-03-30,1070.00,1151.15,951.00,1129.65,324402
2026-04-06,1129.65,1299.55,1086.05,1246.00,189585
2026-04-13,1220.05,1315.00,1192.55,1274.35,88088
2026-04-20,1270.00,1291.20,1200.70,1212.60,66538
2026-04-27,1222.95,1255.00,1155.00,1192.85,43659
2026-05-04,1211.80,1298.30,1195.30,1244.30,68406
2026-05-11,1245.00,1253.50,1011.50,1051.20,175279
2026-05-18,1053.70,1080.40,990.90,1021.80,96272
2026-05-25,1040.20,1200.90,932.80,1155.30,365796
2026-06-01,1200.00,1490.00,1150.40,1442.40,698299
2026-06-08,1402.00,1689.00,1395.10,1647.50,369442
2026-06-15,1697.90,1700.00,1537.70,1572.00,131118
2026-06-22,1580.00,1693.80,1512.90,1584.90,256671
2026-06-29,1608.00,1783.90,1543.10,1744.00,224106
2026-07-06,1785.00,1785.00,1543.50,1619.70,130028
2026-07-13,1619.70,1666.00,1539.00,1579.90,312220
2026-07-20,1595.00,1596.00,1500.00,1519.20,151313
2026-07-27,1533.90,1589.00,1489.10,1525.60,155358
2026-08-03,1560.00,1560.00,1492.00,1505.40,132799
2026-08-10,1518.00,1686.90,1416.30,1586.20,406998
2026-08-17,1602.70,1679.00,1540.80,1588.50,145307
2026-08-24,1588.50,1764.80,1545.60,1701.10,441215
2026-08-31,1715.20,1775.00,1635.20,1718.80,271818
2026-09-07,1713.80,1753.50,1621.00,1686.10,177562
2026-09-15,1698.90,1934.00,1630.00,1828.50,3655511
