Date,Open,High,Low,Close,Volume
2024-12-09,148.00,150.00,133.57,133.57,152448
2024-12-16,126.89,126.89,103.34,103.34,60977
2024-12-23,98.17,98.17,79.73,79.73,1984134
2024-12-30,71.75,77.30,67.00,72.00,2819124
2025-01-06,71.75,72.00,56.70,57.51,920771
2025-01-13,56.70,60.55,51.71,60.51,399628
2025-01-20,61.36,67.00,61.36,62.78,260661
2025-01-27,61.52,61.52,55.58,55.58,38956
2025-02-03,56.60,56.60,50.22,50.22,112899
2025-02-10,49.21,49.21,45.85,45.85,66729
2025-02-17,45.20,45.20,41.42,41.42,57123
2025-02-24,40.59,40.59,38.19,38.19,24517
2025-03-03,39.00,42.68,34.46,41.48,454388
2025-03-10,42.00,43.47,37.44,39.03,254219
2025-03-17,39.04,40.00,36.90,37.16,392786
2025-03-24,38.00,38.42,34.46,37.84,316956
2025-04-01,39.00,44.66,37.00,44.66,70971
2025-04-07,44.44,44.44,41.76,41.76,27872
2025-04-15,41.96,42.20,41.50,41.55,23065
2025-04-21,41.55,41.62,38.60,38.60,65016
2025-04-28,38.00,38.00,35.77,35.79,20714
2025-05-05,35.79,35.79,34.39,34.51,37864
2025-05-12,34.56,43.94,34.56,43.94,116127
2025-05-19,46.13,48.43,45.30,45.30,191373
2025-05-26,44.39,44.39,41.53,41.53,39436
2025-06-02,41.53,41.53,38.75,38.75,59652
2025-06-09,38.75,41.38,38.00,41.00,90780
2025-06-16,40.58,40.58,38.00,38.00,43567
2025-06-23,37.81,39.32,37.45,39.32,45267
2025-06-30,39.52,42.47,37.66,37.97,250763
2025-07-07,38.70,38.70,36.50,37.39,87601
2025-07-14,36.84,37.49,36.00,36.77,119954
2025-07-21,38.55,38.55,35.40,35.64,106370
2025-07-28,36.00,36.99,34.25,35.41,66346
2025-08-04,34.55,36.51,33.10,33.92,100325
2025-08-11,33.92,34.40,29.55,29.98,133428
2025-08-18,29.98,31.25,29.05,30.80,152312
2025-08-25,30.80,31.48,29.50,30.28,52612
2025-09-01,30.99,35.29,30.00,35.29,128680
2025-09-08,37.05,41.95,36.03,41.88,385937
2025-09-15,43.80,53.42,43.00,53.42,302623
2025-09-22,56.09,56.09,45.66,45.66,136738
2025-09-29,43.37,47.36,41.20,41.83,406488
2025-10-06,41.40,41.40,37.82,40.86,191955
2025-10-13,41.42,43.93,39.10,39.90,98205
2025-10-20,40.00,42.80,39.30,40.36,88980
2025-10-27,40.20,40.90,38.04,39.36,119569
2025-11-03,39.36,40.00,36.70,36.99,61419
2025-11-10,37.70,38.79,35.60,36.06,110897
2025-11-17,36.25,37.29,34.25,34.61,100485
2025-11-24,34.61,36.11,33.05,34.97,91816
2025-12-01,35.64,35.64,31.16,31.89,61037
2025-12-08,32.15,32.81,30.25,32.27,57373
2025-12-15,32.27,32.49,30.38,31.37,65977
2025-12-22,32.00,33.64,31.38,32.98,58085
2025-12-29,33.10,33.95,31.09,32.05,108245
2026-01-05,32.10,32.30,29.31,29.45,87468
2026-01-12,29.45,30.50,27.50,29.68,103746
2026-01-19,29.01,30.29,27.15,28.14,112633
2026-01-27,27.67,29.50,26.14,26.52,168582
2026-02-02,26.46,31.94,26.00,30.42,143667
2026-02-09,29.50,31.90,29.01,29.09,89165
2026-02-16,29.13,29.88,27.12,27.68,82427
2026-02-23,27.40,28.10,25.00,25.45,127377
2026-03-02,24.96,26.50,22.22,24.93,117675
2026-03-09,23.25,25.50,22.25,22.48,130535
2026-03-16,23.74,23.74,21.50,22.97,52371
2026-03-23,22.45,23.80,21.00,21.76,91778
2026-03-30,22.63,22.90,20.25,22.57,56135
2026-04-06,23.75,30.30,21.75,28.94,192310
2026-04-13,29.49,31.39,25.65,30.33,152702
2026-04-20,30.49,31.10,27.25,27.61,66632
2026-04-27,27.40,28.50,26.51,26.91,88025
2026-05-04,26.91,28.72,25.71,28.72,116838
2026-05-11,29.59,29.59,26.13,26.56,70261
2026-05-18,26.46,27.93,25.05,27.35,118032
2026-05-25,27.59,27.59,23.49,23.49,662939
2026-06-01,23.40,23.86,20.00,21.00,544104
2026-06-08,21.47,21.88,20.00,21.52,135529
2026-06-15,21.55,25.24,21.55,25.24,224390
2026-06-22,25.88,26.50,24.01,24.84,155960
2026-06-29,25.35,26.50,23.94,25.16,70223
2026-07-06,25.70,25.70,23.20,23.73,66369
2026-07-13,22.66,23.83,22.66,23.30,68333
2026-07-20,23.30,23.63,22.20,22.64,41770
2026-07-27,22.65,23.64,22.12,22.73,42929
2026-08-03,23.25,23.50,22.46,23.13,55543
2026-08-10,23.13,23.45,22.11,22.59,47924
2026-08-17,22.10,23.05,22.00,22.51,61915
2026-08-24,22.96,23.49,21.63,23.00,84549
2026-08-31,23.11,23.99,21.95,23.45,95119
2026-09-07,23.45,23.90,21.41,22.23,134365
2026-09-15,22.12,22.44,20.95,21.00,77984
