Date,Open,High,Low,Close,Volume
2017-08-07,67.95,67.95,51.20,54.00,50450
2017-08-14,58.90,58.90,51.80,54.50,25692
2017-08-21,56.95,56.95,51.70,55.40,8082
2017-08-28,54.00,55.95,52.05,55.25,5525
2017-09-04,55.00,59.30,52.45,55.30,24675
2017-09-11,53.05,58.15,48.15,49.30,152461
2017-09-18,50.00,54.80,46.20,49.90,39756
2017-09-25,50.00,51.95,46.00,47.00,32850
2017-10-03,47.25,49.95,41.40,43.05,24584
2017-10-09,48.90,48.90,38.00,39.95,28957
2017-10-16,39.00,75.75,36.40,74.75,571611
2017-10-23,75.50,79.60,62.95,63.75,286275
2017-10-30,64.00,76.00,61.30,73.65,335682
2017-11-06,74.00,83.85,69.90,80.35,382955
2017-11-13,80.90,81.70,72.15,79.40,165143
2017-11-20,80.25,87.50,80.00,80.55,114330
2017-11-27,82.00,83.45,77.00,78.15,31813
2017-12-04,81.15,86.90,76.00,86.90,83616
2017-12-11,91.20,106.75,91.20,106.20,241121
2017-12-18,107.00,134.95,104.00,134.95,277446
2017-12-26,131.95,163.90,131.95,163.90,252122
2018-01-01,170.95,209.05,169.00,209.05,353935
2018-01-08,219.50,266.50,219.45,266.45,1161293
2018-01-15,278.00,288.90,239.95,278.25,461646
2018-01-22,281.25,286.95,267.00,274.50,192525
2018-01-29,275.65,285.00,258.00,264.20,217287
2018-02-05,264.00,282.00,260.00,268.75,82845
2018-02-12,269.50,270.95,255.10,260.55,64568
2018-02-19,265.00,268.00,226.10,226.30,88233
2018-02-26,233.90,233.90,204.50,222.65,226342
2018-03-05,233.00,233.00,195.40,207.95,331496
2018-03-12,216.00,253.00,216.00,247.75,83871
2018-03-19,249.65,252.50,226.00,228.00,234569
2018-03-26,235.70,252.00,220.00,241.35,122429
2018-04-02,244.05,260.00,243.60,253.85,122916
2018-04-09,257.20,259.00,235.80,238.35,73022
2018-04-16,244.85,246.30,229.25,242.45,182819
2018-04-23,244.20,268.95,230.35,267.80,281050
2018-04-30,270.00,287.00,270.00,274.00,327355
2018-05-07,278.00,299.95,276.45,296.70,578119
2018-05-14,297.95,299.90,291.00,291.95,505752
2018-05-21,292.45,297.75,289.70,292.65,571295
2018-05-28,295.25,325.75,294.90,312.25,733654
2018-06-04,315.05,319.50,276.10,283.30,143915
2018-06-11,287.05,311.70,287.05,309.55,208124
2018-06-18,310.00,312.25,294.75,304.80,220964
2018-06-25,306.90,315.00,299.20,302.45,228968
2018-07-02,309.90,309.90,258.00,271.00,130769
2018-07-09,275.00,298.00,268.30,285.40,101288
2018-07-16,289.00,289.00,265.55,274.00,37764
2018-07-23,278.00,294.00,262.00,283.05,60150
2018-07-30,288.00,288.45,262.10,262.10,45731
2018-08-06,249.00,249.00,202.90,202.90,4879
2018-08-13,192.80,192.80,165.35,165.35,772
2018-08-20,157.10,157.10,134.75,134.75,1504
2018-08-27,128.05,128.05,115.40,124.45,270608
2018-09-03,118.30,131.80,118.25,121.35,63058
2018-09-10,122.60,127.40,110.70,117.05,49272
2018-09-17,116.50,116.55,107.35,111.65,9909
2018-09-24,111.95,111.95,90.60,90.70,84965
2018-10-01,95.00,95.00,78.00,80.00,70974
2018-10-08,81.00,93.95,77.00,93.95,206909
2018-10-15,98.60,114.05,98.60,114.05,5061
2018-10-22,119.75,135.00,108.35,116.95,72492
2018-10-29,120.50,124.15,105.00,124.15,30555
2018-11-05,130.30,130.30,118.00,118.60,43554
2018-11-12,122.30,129.45,120.40,121.50,14864
2018-11-19,121.00,123.00,116.00,121.65,10533
2018-11-26,121.50,132.95,120.00,130.00,79821
2018-12-03,132.50,132.55,118.50,124.35,43780
2018-12-10,122.30,129.50,116.90,127.80,67334
2018-12-17,130.00,143.05,127.90,129.90,184532
2018-12-24,130.30,131.00,120.00,122.55,89804
2018-12-31,123.00,131.00,121.20,128.00,100708
2019-01-07,134.40,140.00,131.50,135.80,509105
2019-01-14,135.40,137.95,111.40,113.80,201207
2019-01-21,118.30,119.95,108.40,109.70,126464
2019-01-28,111.95,116.30,101.50,111.05,65808
2019-02-04,112.85,112.90,100.90,109.80,105085
2019-02-11,111.10,125.20,111.00,119.40,147605
2019-02-18,121.60,121.60,109.95,114.30,57539
2019-02-25,115.60,118.55,97.80,99.35,76339
2019-03-05,100.00,105.55,95.55,101.20,146822
2019-03-11,103.40,105.00,96.05,100.95,286333
2019-03-18,102.45,102.75,93.45,94.50,115561
2019-03-25,96.50,98.45,89.90,92.00,341466
2019-04-01,94.45,114.00,93.05,108.15,319149
2019-04-08,109.20,122.55,108.50,118.00,490515
2019-04-15,119.85,127.90,113.80,119.75,194747
2019-04-22,119.75,122.00,105.10,110.35,455183
2019-04-30,110.90,124.90,110.20,119.30,313023
2019-05-06,120.20,123.90,110.30,114.25,444161
2019-05-13,115.00,119.40,107.90,114.10,1038540
2019-05-20,117.45,119.50,97.35,98.45,985078
2019-05-27,101.50,103.05,93.40,97.15,889332
2019-06-03,97.00,106.50,75.20,75.20,226953
2019-06-10,60.20,70.70,48.35,51.80,795957
2019-06-17,53.10,53.10,46.60,50.50,199722
2019-06-24,51.00,57.00,46.90,55.35,271870
2019-07-01,57.00,64.85,56.00,64.30,433036
2019-07-08,66.95,67.20,58.60,62.20,449545
2019-07-15,63.25,65.80,59.30,62.85,365149
2019-07-22,64.40,64.40,56.00,56.95,291535
2019-07-29,57.50,60.00,55.25,57.35,533397
2019-08-05,58.00,61.95,54.95,56.80,755228
2019-08-13,57.00,57.20,50.95,50.95,97475
2019-08-19,48.45,48.45,39.55,43.65,278315
2019-08-26,45.80,48.05,40.50,44.50,576167
2019-09-03,46.60,50.00,45.70,50.00,257801
2019-09-09,51.30,54.75,48.90,52.25,281601
2019-09-16,53.00,55.20,49.90,55.20,359202
2019-09-23,57.60,57.95,44.70,44.70,502684
2019-09-30,46.00,46.40,36.50,36.50,110935
2019-10-07,37.00,38.25,29.80,29.80,209728
2019-10-14,31.00,32.20,28.35,29.40,601973
