Date,Open,High,Low,Close,Volume
2020-11-02,17.15,20.75,17.15,20.75,961
2020-11-09,21.75,27.60,21.75,27.60,167
2020-11-17,28.95,33.40,28.95,33.40,1609
2020-11-23,35.05,42.50,35.05,42.50,281
2020-12-01,44.60,51.55,44.60,51.55,766
2020-12-07,54.00,65.65,54.00,65.65,542
2020-12-14,68.90,83.60,68.90,83.60,501
2020-12-21,87.75,101.50,87.75,101.50,1047
2020-12-28,106.55,129.40,106.55,129.40,221
2021-01-04,135.85,165.00,135.85,165.00,289
2021-01-11,173.25,210.45,173.25,210.45,466
2021-01-18,220.95,268.40,220.95,268.40,289
2021-01-25,281.80,326.10,281.80,326.10,215
2021-02-01,342.40,416.10,342.40,416.10,237
2021-02-08,436.90,530.90,436.90,530.90,624
2021-02-15,557.40,677.45,557.40,677.45,2371
2021-02-22,711.30,864.50,711.30,864.50,210
2021-03-01,907.70,1103.20,905.40,1103.20,7672
2021-03-08,1158.35,1340.90,1158.35,1340.90,1681
2021-03-15,1407.90,1711.20,1407.90,1711.20,6664
2021-03-22,1796.75,2183.80,1796.75,2183.80,1344
2021-03-30,2292.95,2527.90,2292.95,2527.90,904
2021-04-05,2654.25,2654.25,1956.15,1956.15,8065
2021-04-12,1858.35,1858.35,1593.35,1593.35,1398
2021-04-19,1513.70,1585.40,1366.15,1585.40,6017
2021-04-26,1664.65,1747.85,1498.65,1498.65,20764
2021-05-03,1423.75,1667.00,1423.75,1578.80,26580
2021-05-10,1555.00,1605.00,1409.35,1419.75,18136
2021-05-17,1470.00,1525.00,1418.05,1482.20,18816
2021-05-24,1490.10,1510.95,1400.05,1430.00,10469
2021-05-31,1430.00,1457.55,1344.55,1406.60,10076
2021-06-07,1418.30,1430.00,1336.30,1344.40,21209
2021-06-14,1215.00,1440.00,1215.00,1400.85,26552
2021-06-21,1420.00,1420.00,1065.60,1065.60,67937
2021-06-28,1012.35,1012.35,824.65,824.65,7688
2021-07-05,783.45,783.45,638.20,638.20,9338
2021-07-12,606.30,606.30,521.00,545.85,631629
2021-07-19,518.60,550.25,490.65,496.90,279502
2021-07-26,480.80,515.00,442.00,451.20,114844
2021-08-02,458.95,497.40,430.30,462.80,121092
2021-08-09,466.95,466.95,409.95,436.60,47086
2021-08-16,439.95,439.95,378.60,380.00,35618
2021-08-23,365.00,432.00,365.00,415.60,42498
2021-08-30,420.95,435.95,388.00,406.65,34525
2021-09-06,408.90,424.45,396.00,421.05,33795
2021-09-13,425.00,437.00,412.10,420.70,27841
2021-09-20,420.70,428.90,400.00,418.35,18348
2021-09-27,428.00,436.00,405.05,427.75,21424
2021-10-04,420.60,463.00,418.00,432.10,60614
2021-10-11,432.10,453.00,425.00,439.50,18101
2021-10-18,439.50,454.90,414.45,415.00,35209
2021-10-25,415.00,432.85,395.00,398.35,17347
2021-11-01,403.00,413.95,396.00,410.85,5922
2021-11-08,410.90,419.90,399.20,405.55,26356
2021-11-15,410.00,432.00,395.20,404.50,37763
2021-11-22,414.95,418.90,388.95,405.95,19422
2021-11-29,402.00,413.90,386.00,399.75,27190
2021-12-06,400.00,405.00,385.00,399.30,16961
2021-12-13,409.00,419.75,391.00,402.25,41194
2021-12-20,405.00,405.00,385.55,393.60,24592
2021-12-27,399.90,399.90,385.00,394.90,23600
2022-01-03,398.00,404.90,390.00,398.70,32569
2022-01-10,387.50,460.00,387.50,445.75,188173
2022-01-17,445.00,454.95,396.00,403.50,62795
2022-01-24,412.00,412.00,381.20,386.00,51428
2022-01-31,386.00,395.95,369.05,369.95,85667
2022-02-07,370.30,376.75,305.25,305.25,141438
2022-02-14,300.00,314.80,290.00,291.35,115978
2022-02-21,276.80,295.00,265.00,274.75,293930
2022-02-28,278.00,288.00,269.00,282.30,29798
2022-03-07,280.65,295.20,276.50,285.05,37489
2022-03-14,285.00,287.00,277.00,282.75,41086
2022-03-21,281.10,290.35,278.30,284.30,211926
2022-03-28,280.50,299.45,268.30,299.45,77219
2022-04-04,314.40,419.35,314.40,418.35,519851
2022-04-11,426.00,426.00,380.05,401.95,110752
2022-04-18,401.95,404.95,363.70,379.65,56691
2022-04-25,382.00,388.70,351.00,359.70,39832
2022-05-02,373.00,373.00,311.55,322.20,33300
2022-05-09,331.80,350.00,300.00,313.65,38251
2022-05-16,327.95,327.95,285.75,310.30,33843
2022-05-23,308.85,310.85,278.10,290.20,34901
2022-05-30,297.85,323.80,288.00,301.65,11584
2022-06-06,302.00,309.75,284.10,295.50,7122
2022-06-13,294.95,308.60,268.15,290.00,7078
2022-06-20,294.95,295.00,273.10,280.95,11595
2022-06-27,289.00,293.00,268.85,278.40,9779
2022-07-04,280.00,289.00,272.50,280.45,6739
2022-07-11,286.90,294.60,279.00,286.80,7595
2022-07-18,293.95,365.90,290.00,338.45,38288
2022-07-25,348.00,348.00,312.50,321.85,17647
2022-08-01,323.50,323.50,305.10,314.10,10912
2022-08-08,314.10,322.00,296.10,299.10,14553
2022-08-16,299.10,314.00,299.10,302.75,5994
2022-08-22,301.05,330.00,301.05,319.45,104064
2022-08-29,318.00,329.00,305.00,318.50,16492
2022-09-05,318.00,323.75,303.35,312.75,23815
2022-09-12,313.00,362.00,309.10,335.00,66637
2022-09-19,325.40,342.80,311.80,323.40,28107
2022-09-26,320.20,324.50,305.00,319.75,9312
2022-10-03,320.00,337.25,310.55,329.40,24820
2022-10-10,329.90,350.00,318.25,345.65,45734
2022-10-17,345.65,357.30,330.00,349.45,35440
2022-10-24,353.20,397.55,345.00,390.20,62548
2022-10-31,398.00,419.00,377.00,410.00,78113
