Date,Open,High,Low,Close,Volume
2010-09-27,3344.49,3687.31,3336.14,3687.31,107410
2010-10-04,3850.00,4481.96,3700.10,4261.44,116760
2010-10-11,4474.51,5438.81,4450.00,5428.56,151590
2010-10-18,5490.10,6406.34,5202.50,6406.34,86430
2010-10-25,6726.66,7645.00,6561.00,6738.31,157650
2010-11-01,6890.00,7507.05,6355.50,7507.05,49970
2010-11-08,7882.40,9060.00,7800.00,8909.94,145720
2010-11-15,8949.90,9220.00,7755.29,7755.29,85720
2010-11-22,7900.00,7900.00,6847.83,6847.83,107310
2010-11-29,6700.00,7820.00,6505.50,7254.27,99170
2010-12-06,7299.90,7400.00,5888.04,6145.37,67950
2010-12-13,6278.80,6338.00,5630.00,5879.11,54570
2010-12-20,5721.00,6525.15,5580.30,5789.59,61020
2010-12-27,5750.00,5949.00,5610.00,5702.38,38710
2011-01-03,5785.00,6286.88,5710.51,5760.83,61090
2011-01-10,5880.00,5880.00,5300.00,5338.52,30740
2011-01-17,5210.00,5359.89,4804.68,5101.74,36520
2011-01-24,5050.01,5280.00,4549.15,4692.36,20560
2011-01-31,4340.00,5139.99,4223.55,4732.51,46680
2011-02-07,5150.00,5150.00,4150.00,4658.24,59370
2011-02-14,4760.00,5045.00,4545.00,4633.59,50010
2011-02-21,4625.00,4723.99,4236.00,4326.96,20610
2011-02-28,4400.00,5555.00,4225.00,5200.11,68310
2011-03-07,5085.00,5316.29,4850.00,4895.19,36530
2011-03-14,4920.00,5092.50,4600.00,4790.62,42700
2011-03-21,4827.00,5047.99,4750.00,4931.66,38350
2011-03-28,4934.99,5290.00,4810.00,5206.52,43000
2011-04-04,5300.00,6734.40,5210.01,5862.48,226960
2011-04-11,5865.00,6010.00,5525.20,5781.76,41790
2011-04-18,5800.00,5874.00,5600.00,5674.32,38880
2011-04-25,5667.51,5799.90,5470.00,5547.26,42540
2011-05-02,5580.00,5639.99,4880.00,4936.13,29930
2011-05-09,5028.99,5179.98,4750.00,4922.60,28010
2011-05-16,4882.00,5000.00,4730.11,4754.59,18550
2011-05-23,4738.60,4766.99,4460.00,4580.62,19230
2011-05-30,4532.00,5600.10,4400.00,5178.27,177980
2011-06-06,5150.00,5430.00,5040.10,5066.17,48040
2011-06-13,5050.00,5099.79,4771.10,4797.79,29220
2011-06-20,4879.96,5658.28,4512.50,5492.27,126820
2011-06-27,5401.01,6360.00,5300.00,6095.42,326290
2011-07-04,6119.00,6385.00,5861.11,5995.10,161010
2011-07-11,6020.00,6138.00,5501.11,5580.66,128210
2011-07-18,5590.01,5750.00,5350.00,5397.06,72140
2011-07-25,5422.00,5645.00,5220.10,5246.20,83260
2011-08-01,5380.00,5380.00,4750.21,4802.63,77740
2011-08-08,4650.01,4880.00,4450.00,4626.39,59070
2011-08-16,4679.84,4700.00,3940.00,4190.04,63930
2011-08-22,4200.00,4380.10,4115.10,4139.86,49830
