Date,Open,High,Low,Close,Volume
2023-02-27,64.00,66.50,58.90,58.90,2334240
2023-03-06,56.00,58.61,53.17,55.19,633642
2023-03-13,57.42,58.50,53.64,54.24,306750
2023-03-20,55.62,56.67,52.17,53.42,299190
2023-03-27,53.93,55.17,51.54,54.12,195834
2023-04-03,55.00,58.99,53.99,58.95,274266
2023-04-10,61.61,66.50,57.48,63.30,446268
2023-04-17,62.67,63.72,58.33,61.39,526848
2023-04-24,63.00,67.33,60.15,65.42,717222
2023-05-02,66.33,68.17,63.50,63.70,270636
2023-05-08,64.63,65.00,60.83,61.94,227814
2023-05-15,63.18,65.67,57.26,59.02,447024
2023-05-22,59.02,64.17,57.59,62.48,464820
2023-05-29,63.62,70.89,60.27,65.09,907842
2023-06-05,69.67,69.67,61.18,61.89,553656
2023-06-12,62.00,65.12,58.33,60.96,483234
2023-06-19,60.96,63.32,59.01,59.75,353958
2023-06-26,59.75,61.67,59.10,60.82,258174
2023-07-03,62.67,62.67,55.69,58.39,469944
2023-07-10,58.33,58.73,53.48,56.23,455124
2023-07-17,59.80,59.80,55.00,55.81,326226
2023-07-24,55.83,56.77,53.35,56.35,366666
2023-07-31,56.47,63.17,49.43,54.54,472332
2023-08-07,55.19,56.33,51.28,55.06,389940
2023-08-14,54.17,62.04,54.17,56.96,895888
2023-08-21,57.17,57.17,47.00,52.33,727514
2023-08-28,52.42,56.17,48.75,49.58,776818
2023-09-04,50.79,52.67,45.83,46.79,1414079
2023-09-11,48.67,56.54,46.29,55.12,1910923
2023-09-18,55.12,61.17,54.25,59.04,1345723
2023-09-25,60.00,60.42,56.87,58.83,835924
2023-10-03,57.21,60.33,54.79,56.79,388196
2023-10-09,56.67,60.83,53.71,60.17,844124
2023-10-16,60.00,60.42,55.00,55.92,622530
2023-10-23,55.25,56.79,50.62,54.96,151397
2023-10-30,54.96,58.75,53.87,54.67,139791
2023-11-06,55.00,58.75,53.00,58.29,629198
2023-11-13,58.33,58.33,51.58,52.33,290497
2023-11-20,52.50,54.58,49.92,52.79,292286
2023-11-28,52.79,53.25,50.08,51.50,141340
2023-12-04,53.00,53.00,50.12,50.96,172049
2023-12-11,52.50,55.83,51.62,52.21,559762
2023-12-18,52.21,54.58,48.42,50.37,329457
2023-12-26,51.17,51.17,46.25,47.29,723081
2024-01-01,47.71,49.62,45.00,48.46,759771
