Date,Open,High,Low,Close,Volume
2022-04-25,1018.55,1121.20,917.40,1052.85,69089
2022-05-02,1075.00,1096.95,901.00,959.85,78888
2022-05-09,970.00,1049.80,797.80,822.45,113647
2022-05-16,785.50,875.00,713.70,825.60,125538
2022-05-23,842.15,849.85,742.00,786.45,36647
2022-05-30,819.00,897.00,739.60,857.80,69254
2022-06-06,874.00,896.00,814.45,880.20,70999
2022-06-13,860.10,880.20,771.45,781.05,46258
2022-06-20,792.75,822.00,754.55,813.10,41272
2022-06-27,825.30,849.90,781.40,811.10,27467
2022-07-04,810.00,841.60,790.20,837.10,24129
2022-07-11,850.00,897.10,820.00,860.05,48232
2022-07-18,872.50,935.05,840.30,891.45,77338
2022-07-25,891.50,959.80,873.50,950.45,102015
2022-08-01,950.00,1140.50,913.50,923.45,106349
2022-08-08,952.00,979.95,903.50,961.75,77262
2022-08-16,968.80,971.80,892.00,901.15,62788
2022-08-22,895.00,930.50,886.30,899.80,64877
2022-08-29,886.30,959.95,875.00,934.40,54926
2022-09-05,935.00,970.00,910.75,933.10,74008
2022-09-12,929.50,955.00,856.40,872.85,89132
2022-09-19,873.10,893.10,843.00,863.25,49327
2022-09-26,863.00,890.00,780.75,879.40,67008
2022-10-03,866.50,899.80,848.10,893.65,35222
2022-10-10,885.00,887.95,832.60,847.50,21181
2022-10-17,857.50,927.00,811.90,865.85,75879
2022-10-24,890.00,897.95,820.10,830.30,33253
2022-10-31,842.75,930.00,829.75,895.40,83795
2022-11-07,895.35,955.00,861.00,928.85,95786
2022-11-14,905.10,905.10,850.25,865.40,88932
2022-11-21,874.95,920.00,864.05,910.55,62355
2022-11-28,910.00,926.00,892.85,904.00,81194
2022-12-05,915.00,928.00,872.00,884.40,57335
2022-12-12,897.90,907.35,870.00,876.05,47144
2022-12-19,884.80,890.95,783.50,799.75,63678
2022-12-26,797.00,892.00,788.00,857.50,107635
2023-01-02,866.10,878.80,832.00,839.60,31970
2023-01-09,852.20,854.90,802.20,807.25,60268
2023-01-16,812.00,829.75,791.55,794.10,29923
2023-01-23,790.20,794.00,748.10,760.40,51604
2023-01-30,760.00,760.00,702.00,723.75,93129
2023-02-06,723.75,798.00,718.90,787.20,46163
2023-02-13,775.00,792.95,734.50,756.20,69099
2023-02-20,762.00,796.00,750.15,775.65,44572
2023-02-27,776.10,779.95,718.00,731.70,56810
2023-03-06,732.50,770.90,730.00,762.45,39676
2023-03-13,770.00,770.00,717.20,744.70,77379
2023-03-20,742.30,784.05,735.30,775.20,58591
2023-03-27,763.55,784.00,728.05,760.55,77506
2023-04-03,764.35,802.00,758.10,796.45,74421
2023-04-10,796.45,834.70,792.85,799.65,70817
2023-04-17,799.65,817.00,772.85,780.05,59670
2023-04-24,780.05,814.40,769.75,807.20,62832
2023-05-02,807.20,827.50,776.05,808.05,103269
2023-05-08,815.00,845.00,753.50,840.65,250023
2023-05-15,875.00,939.00,870.00,933.35,402297
2023-05-22,934.80,999.95,914.00,987.25,189102
