Date,Open,High,Low,Close,Volume
2022-05-09,510.00,517.90,421.65,456.40,25197094
2022-05-16,456.40,482.90,410.00,477.70,5558179
2022-05-23,483.00,496.85,460.00,493.90,1927823
2022-05-30,488.00,508.00,468.10,470.65,1254504
2022-06-06,460.35,488.40,454.00,470.10,874898
2022-06-13,456.55,463.95,423.00,426.60,410640
2022-06-20,420.50,465.90,413.45,459.55,410143
2022-06-27,464.80,479.00,460.00,475.50,352502
2022-07-04,474.95,490.00,460.00,486.30,410434
2022-07-11,481.10,492.90,465.70,487.05,408052
2022-07-18,493.35,511.90,482.30,488.20,683793
2022-07-25,485.10,505.00,470.05,489.00,559578
2022-08-01,490.00,502.00,457.15,472.60,372864
2022-08-08,475.85,597.90,469.55,594.55,6127919
2022-08-16,590.00,608.05,542.00,564.05,1989643
2022-08-22,558.00,626.60,556.00,621.00,1765008
2022-08-29,598.00,640.10,596.95,621.90,786121
2022-09-05,626.70,635.00,590.70,599.35,731895
2022-09-12,602.50,647.90,598.10,632.20,1347575
2022-09-19,632.25,672.00,623.00,632.95,989349
2022-09-26,632.95,637.90,606.20,630.85,728420
2022-10-03,630.00,687.40,620.00,648.95,958701
2022-10-10,639.20,691.00,619.65,652.30,853284
2022-10-17,655.10,704.90,642.05,672.75,1001921
2022-10-24,672.30,730.80,662.55,683.35,753648
2022-10-31,702.00,864.40,670.65,808.65,2874359
2022-11-07,824.00,884.40,735.90,818.90,2125958
2022-11-14,810.00,886.45,804.05,839.25,1354168
2022-11-21,835.00,839.00,755.00,795.20,1453280
2022-11-28,799.10,800.00,736.45,764.10,1657742
2022-12-05,743.00,772.45,728.10,749.10,20885919
2022-12-12,752.40,777.00,741.00,750.40,825133
2022-12-19,746.00,755.10,688.90,709.75,1167546
2022-12-26,709.70,774.00,698.50,739.20,524948
2023-01-02,748.90,793.95,736.10,758.00,782284
2023-01-09,789.40,789.40,730.55,746.90,324365
2023-01-16,745.00,756.95,725.25,727.65,354894
2023-01-23,729.95,733.95,695.70,717.10,636339
2023-01-30,718.95,775.00,697.95,715.00,1202192
2023-02-06,712.00,774.85,710.10,769.60,788764
2023-02-13,775.00,784.00,723.45,777.05,717737
2023-02-20,780.00,780.00,718.50,729.70,676729
2023-02-27,728.00,757.05,719.00,746.35,461221
2023-03-06,742.95,750.70,715.10,718.00,563177
2023-03-13,725.80,744.00,709.10,740.00,339343
2023-03-20,740.00,752.00,701.25,710.15,709446
2023-03-27,707.00,739.00,697.00,730.50,371188
2023-04-03,730.45,759.60,727.95,751.15,243346
2023-04-10,751.80,764.45,725.00,761.40,687944
2023-04-17,766.00,820.00,766.00,796.60,1383768
2023-04-24,796.60,800.00,753.60,791.35,529547
2023-05-02,799.00,819.90,781.30,814.80,601927
2023-05-08,818.00,852.00,773.90,849.65,592065
