Date,Open,High,Low,Close,Volume
2006-09-18,11.25,16.20,11.25,16.20,28062
2006-09-25,19.45,40.45,19.45,40.45,114229
2006-10-03,46.40,58.30,42.00,49.15,13958087
2006-10-09,46.10,55.30,43.05,51.50,7140331
2006-10-16,52.50,53.50,46.00,46.45,1291277
2006-10-23,46.00,46.95,45.05,45.40,246427
2006-10-30,45.00,46.90,44.05,45.45,378873
2006-11-06,45.45,46.75,42.25,43.55,339908
2006-11-13,44.00,44.50,35.05,41.20,310273
2006-11-20,42.00,44.00,33.25,42.20,272728
2006-11-27,42.55,44.70,40.80,42.15,386620
2006-12-04,41.70,42.40,40.05,40.25,212102
2006-12-11,40.00,41.00,37.50,39.95,357134
2006-12-18,40.00,40.25,38.55,38.95,189845
2006-12-26,39.00,46.50,39.00,42.70,895238
2007-01-02,42.85,47.45,41.90,46.85,819363
2007-01-08,47.00,48.00,41.30,41.70,712057
2007-01-15,44.00,44.00,40.25,40.65,233011
2007-01-22,40.55,40.55,38.40,40.05,242255
2007-01-29,33.55,40.90,33.55,39.20,91764
2007-02-05,40.00,42.95,38.00,39.70,355605
2007-02-12,39.10,39.80,36.20,39.35,174900
2007-02-19,39.50,41.90,36.25,36.35,142360
2007-02-26,36.85,38.90,30.20,35.55,174693
2007-03-05,35.00,35.00,26.50,32.45,254810
2007-03-12,32.60,32.95,30.25,31.60,208302
2007-03-19,31.35,32.50,31.05,32.05,123342
2007-03-26,31.80,33.00,30.70,31.80,186504
2007-04-02,31.70,31.90,28.80,30.15,214844
2007-04-09,30.20,34.45,29.50,33.95,248432
2007-04-16,34.00,35.95,33.25,33.45,133169
2007-04-23,33.35,34.45,31.60,32.15,121666
2007-04-30,30.10,32.90,30.10,32.30,42211
2007-05-07,32.10,33.60,31.10,31.60,94045
2007-05-14,32.00,32.35,31.20,31.40,128993
2007-05-21,31.40,39.70,31.40,33.60,1481256
2007-05-28,33.05,35.80,32.00,32.60,225094
2007-06-04,32.50,33.90,31.30,31.55,220172
2007-06-11,32.10,34.25,31.20,32.55,211841
2007-06-18,32.30,35.20,32.30,33.40,328548
2007-06-25,33.50,34.75,31.00,32.40,547248
2007-07-02,32.50,33.50,30.05,32.10,416183
2007-07-09,32.70,32.70,31.10,31.30,226651
2007-07-16,31.90,32.40,30.50,30.80,311223
2007-07-23,31.00,31.20,29.05,29.40,172187
2007-07-30,28.55,29.45,28.20,28.20,106961
2007-08-06,28.05,29.00,27.00,27.10,163544
2007-08-13,27.50,27.80,25.90,26.20,154144
2007-08-20,27.45,27.45,25.05,25.85,137233
2007-08-27,26.00,29.50,26.00,28.85,184638
2007-09-03,29.80,31.60,28.10,29.70,342977
