Date,Open,High,Low,Close,Volume
2005-09-05,460.00,624.00,448.65,464.60,17000416
2005-09-12,469.00,473.70,421.65,450.50,18483533
2005-09-19,451.00,458.90,381.60,402.05,2298079
2005-09-26,409.90,435.00,377.00,405.90,1435117
2005-10-03,408.90,426.90,395.00,398.15,873442
2005-10-10,400.00,407.85,370.00,371.90,230951
2005-10-17,379.00,384.50,316.00,330.35,292013
2005-10-24,336.00,352.80,316.00,327.00,375844
2005-10-31,388.00,388.00,323.00,356.35,156753
2005-11-07,359.00,369.85,331.10,343.30,212963
2005-11-14,351.00,362.10,336.20,355.50,329078
2005-11-21,351.10,361.85,344.35,357.55,285046
2005-11-28,356.15,359.60,341.05,345.10,146349
2005-12-05,346.05,415.90,345.00,395.60,2101280
2005-12-12,394.85,433.00,394.85,402.80,1976666
2005-12-19,407.90,407.90,371.00,376.70,767696
2005-12-26,368.00,389.00,348.80,375.30,407069
2006-01-02,379.95,387.95,365.00,370.80,291472
2006-01-09,372.00,375.60,352.00,354.75,174729
2006-01-16,355.00,357.50,335.60,344.20,233085
2006-01-23,343.00,348.00,332.00,332.65,122381
2006-01-30,337.90,338.00,300.25,314.55,350738
2006-02-06,319.95,327.00,304.00,315.85,201481
2006-02-13,320.00,343.25,317.00,338.25,261418
2006-02-20,321.00,355.25,321.00,350.00,154273
2006-02-27,350.00,351.40,327.00,335.25,212126
2006-03-06,341.85,347.00,330.00,338.00,135297
2006-03-13,339.05,366.50,339.00,355.20,490043
2006-03-20,361.95,361.95,344.00,350.00,171041
2006-03-27,359.95,359.95,331.00,342.75,101695
2006-04-03,340.00,386.90,340.00,373.50,305050
2006-04-10,370.00,390.00,311.00,365.30,105518
2006-04-17,362.00,362.00,340.20,351.35,163800
2006-04-24,355.10,365.50,315.10,353.15,63042
2006-05-02,352.00,355.00,342.00,344.50,53978
2006-05-08,354.80,374.90,346.15,370.10,136732
2006-05-15,365.00,371.00,321.00,333.15,109111
2006-05-22,333.15,340.00,273.00,335.80,55485
2006-05-29,340.00,350.00,311.75,322.65,77113
2006-06-05,325.00,328.50,292.00,313.90,145809
2006-06-12,314.00,314.00,240.00,269.20,78295
2006-06-19,275.00,314.00,257.30,311.30,20570
