Date,Open,High,Low,Close,Volume
2023-10-16,113.00,114.95,87.15,91.75,122748
2023-10-23,99.55,99.55,71.35,87.80,110003
2023-10-30,91.00,91.00,77.55,82.40,67699
2023-11-06,88.00,97.90,80.90,90.50,47347
2023-11-13,82.10,92.95,82.10,92.00,31818
2023-11-20,91.00,93.30,85.20,87.55,52126
2023-11-28,89.00,94.70,84.15,87.45,37490
2023-12-04,95.30,95.30,81.00,83.50,30943
2023-12-11,86.00,100.00,81.40,93.10,73448
2023-12-18,95.00,107.50,79.25,93.55,234611
2023-12-26,92.35,145.35,90.20,127.65,953525
2024-01-01,132.80,135.00,107.15,111.00,101944
2024-01-08,111.00,113.75,103.20,113.75,12867
2024-01-15,114.20,118.40,103.00,103.45,10629
2024-01-23,105.55,108.00,98.35,105.35,5979
2024-01-29,100.70,109.00,99.00,102.10,5729
2024-02-05,99.55,104.00,94.95,95.50,14935
2024-02-12,95.00,106.10,90.00,104.00,7499
2024-02-19,100.00,114.65,100.00,107.90,26126
2024-02-26,105.75,105.75,98.35,99.00,8274
2024-03-04,99.00,99.00,95.55,95.70,4261
2024-03-11,95.70,95.70,90.00,90.00,17219
2024-03-18,88.20,88.20,86.45,87.05,2843
2024-03-26,83.90,99.55,83.90,90.10,12584
2024-04-01,88.10,109.45,88.10,108.60,6139
2024-04-08,118.25,118.25,100.25,109.95,20202
2024-04-15,107.50,116.60,104.25,107.30,10641
2024-04-22,113.20,115.00,106.60,113.80,14994
2024-04-29,113.50,117.80,107.30,110.45,6043
2024-05-06,112.00,114.50,105.40,113.00,5310
2024-05-13,112.50,115.50,104.65,108.40,22259
2024-05-21,108.95,111.95,101.60,102.10,23339
2024-05-27,101.95,107.05,99.00,103.00,26864
2024-06-03,105.55,109.50,97.35,104.05,15088
2024-06-10,104.05,109.25,100.00,106.00,6884
2024-06-18,106.00,107.50,100.15,105.00,7960
2024-06-24,105.00,106.80,96.50,101.99,20264
2024-07-01,101.99,103.99,96.06,97.43,40023
2024-07-08,97.43,103.00,97.43,101.00,5608
2024-07-15,101.00,101.00,96.10,97.00,1958
2024-07-22,98.94,105.75,96.02,97.99,3936
2024-07-29,100.00,105.16,96.50,97.95,4061
2024-08-05,97.94,103.04,91.20,101.39,9116
2024-08-12,108.98,108.98,94.01,98.58,10100
2024-08-19,101.60,112.40,96.20,98.15,21563
2024-08-26,98.25,102.78,93.21,94.51,12820
2024-09-02,101.89,103.96,87.99,93.94,40666
2024-09-09,86.80,95.19,86.80,90.26,14603
2024-09-16,91.97,102.98,87.36,91.62,31945
2024-09-23,91.72,96.49,88.71,90.44,11565
2024-09-30,93.01,95.95,86.01,92.58,6145
2024-10-07,94.50,120.26,86.02,102.41,224211
2024-10-14,104.40,145.10,100.41,111.69,681149
2024-10-21,115.00,121.70,100.00,105.87,58672
2024-10-28,111.79,117.80,101.80,113.27,14566
2024-11-04,112.83,113.27,101.25,102.89,25470
2024-11-11,104.25,107.90,92.35,100.32,11861
2024-11-18,100.74,108.00,93.51,102.53,15544
2024-11-25,102.53,122.00,100.00,113.89,82079
2024-12-02,110.00,136.95,105.05,121.93,132825
2024-12-09,127.65,127.70,116.00,124.75,30355
2024-12-16,127.20,127.20,115.19,117.17,33210
2024-12-23,120.40,120.40,110.85,112.23,12375
2024-12-30,110.42,117.00,108.20,114.97,13541
2025-01-06,113.81,118.28,103.81,104.46,19308
2025-01-13,104.20,111.98,101.03,110.51,5644
2025-01-20,113.91,113.91,104.96,107.00,6540
2025-01-27,106.19,109.24,101.03,102.00,10649
2025-02-03,107.00,111.99,99.05,103.13,10113
2025-02-10,101.95,105.99,94.16,98.65,6547
2025-02-17,90.80,107.00,90.80,95.02,8402
2025-02-24,93.54,97.79,82.21,89.46,10047
2025-03-03,84.41,97.40,83.41,84.69,14081
2025-03-10,88.00,92.40,81.55,82.65,11956
2025-03-17,83.00,100.00,83.00,91.00,17319
2025-03-24,86.22,91.21,81.00,83.05,11253
2025-04-01,84.95,91.39,81.42,85.00,1796
2025-04-07,75.00,88.90,75.00,87.13,5403
2025-04-15,87.45,124.29,84.00,124.29,101462
2025-04-21,132.00,133.95,103.46,105.16,126001
2025-04-28,104.64,139.95,104.64,124.58,200992
2025-05-05,128.40,130.55,112.00,115.31,59456
2025-05-12,124.00,135.97,117.88,125.47,42509
2025-05-19,127.00,174.63,121.61,160.17,369898
2025-05-26,160.01,164.00,138.75,150.94,30497
2025-06-02,150.94,163.00,149.70,159.81,30050
2025-06-09,159.81,163.00,155.00,160.97,16871
2025-06-16,161.75,162.00,147.00,152.00,15771
2025-06-23,158.92,158.92,150.05,151.07,9191
2025-06-30,156.40,158.09,148.55,153.54,5734
2025-07-07,153.54,155.00,144.44,145.98,5216
2025-07-14,141.01,148.80,138.00,144.35,7554
2025-07-21,144.35,146.82,135.00,141.93,4380
2025-07-28,140.10,149.40,136.15,140.00,9388
2025-08-04,140.00,142.71,127.00,134.68,9678
2025-08-11,134.68,141.85,128.00,133.00,13265
2025-08-18,130.00,138.80,122.10,130.00,9053
2025-08-25,135.99,135.99,127.10,127.41,2544
2025-09-01,130.00,138.45,122.60,134.90,15463
2025-09-08,134.80,137.84,123.90,127.67,7815
2025-09-15,122.10,130.99,115.32,122.94,79491
2025-09-22,123.00,129.13,118.11,118.39,5761
2025-09-29,117.10,123.80,113.00,115.19,5073
2025-10-06,115.19,120.00,104.33,106.11,32516
2025-10-13,116.00,119.58,103.22,116.30,35586
2025-10-20,113.39,128.35,109.05,125.20,7084
2025-10-27,126.94,136.88,119.99,128.19,11873
2025-11-03,129.40,129.40,112.50,122.20,14079
2025-11-10,122.00,135.40,113.44,124.83,25345
2025-11-17,126.08,132.40,113.06,114.04,9082
2025-11-24,113.00,124.85,112.00,115.95,8779
2025-12-01,119.99,120.00,107.68,118.76,7821
2025-12-08,117.95,123.98,111.31,117.02,8707
2025-12-15,115.02,124.39,112.10,119.29,9536
2025-12-22,118.79,125.37,105.41,114.61,9583
2025-12-29,125.00,129.00,107.40,123.43,10525
2026-01-05,122.80,125.50,108.01,110.05,24691
2026-01-12,110.05,116.59,105.91,108.01,7946
2026-01-19,108.02,114.79,95.05,101.01,21518
2026-01-27,101.05,117.99,100.37,104.09,19440
2026-02-02,107.40,117.90,97.18,101.00,6007
