Date,Open,High,Low,Close,Volume
2025-08-04,407.50,412.00,387.60,391.70,228758
2025-08-11,395.60,395.60,380.10,386.45,181143
2025-08-18,390.50,395.00,375.60,382.15,367148
2025-08-25,385.95,392.00,370.70,378.40,225266
2025-09-01,378.95,387.25,374.00,375.90,231243
2025-09-08,384.00,394.10,370.95,375.95,438905
2025-09-15,379.90,391.00,372.80,382.65,675032
2025-09-22,381.00,386.00,347.20,349.55,483010
2025-09-29,350.10,377.00,339.90,367.70,834863
2025-10-06,370.00,377.30,352.60,367.05,593085
2025-10-13,366.90,426.15,366.00,370.30,6597798
2025-10-20,375.25,406.00,367.25,398.60,1891630
2025-10-27,401.50,413.30,375.85,388.70,1299291
2025-11-03,388.70,393.00,369.50,389.85,388401
2025-11-10,391.75,403.35,380.25,384.90,661687
2025-11-17,389.00,410.00,383.00,392.70,864594
2025-11-24,392.75,418.00,385.95,411.75,843441
2025-12-01,412.95,414.95,395.00,396.70,643299
2025-12-08,400.90,400.90,376.50,384.95,464240
2025-12-15,384.00,420.00,382.00,406.90,2032481
2025-12-22,406.90,419.00,399.05,406.30,452631
2025-12-29,400.05,420.00,393.80,416.45,630627
2026-01-05,420.00,452.80,407.30,411.15,1717312
2026-01-12,411.00,414.10,394.35,395.70,419047
2026-01-19,391.00,399.00,360.00,375.75,884957
2026-01-27,370.00,371.60,330.95,332.25,933267
2026-02-02,334.40,388.65,323.00,372.90,1173456
2026-02-09,373.45,424.00,370.05,405.40,1780505
2026-02-16,413.70,420.50,396.50,411.05,870504
2026-02-23,414.90,415.70,385.05,389.80,543767
2026-03-02,374.00,389.00,373.50,377.95,363633
2026-03-09,369.00,412.00,361.25,378.40,706776
2026-03-16,378.00,392.00,368.00,376.60,422871
2026-03-23,374.75,459.00,362.80,453.70,2655832
2026-03-30,445.55,460.00,411.75,452.40,1018980
2026-04-06,451.55,473.00,442.20,461.15,761424
2026-04-13,451.15,540.00,450.00,513.65,5442469
2026-04-20,513.00,566.80,492.55,533.90,2615391
2026-04-27,530.10,581.00,530.10,567.80,1631639
2026-05-04,576.00,650.00,552.00,598.65,3620585
2026-05-11,595.00,599.40,568.00,578.70,1670650
2026-05-18,574.00,596.80,544.05,584.80,853117
2026-05-25,594.45,595.00,562.05,567.00,425730
2026-06-01,569.10,589.95,553.00,570.35,609201
2026-06-08,561.10,615.00,561.10,611.75,1239207
2026-06-15,630.00,630.00,578.30,590.40,866627
2026-06-22,595.00,610.00,575.25,587.15,491673
2026-06-29,587.15,701.85,585.00,673.80,4594917
2026-07-06,673.80,695.00,631.10,637.90,1593344
2026-07-13,631.55,674.45,584.15,631.15,10896804
2026-07-20,626.00,723.60,626.00,696.05,4773998
2026-07-27,713.10,722.50,657.00,682.25,1511683
2026-08-03,686.00,727.45,680.70,694.45,1368436
2026-08-10,696.90,715.00,639.90,662.05,1450151
2026-08-17,662.05,708.75,652.55,687.15,1275166
2026-08-24,685.00,715.00,682.05,684.55,989197
2026-08-31,683.00,708.40,655.90,675.70,816627
2026-09-07,675.70,691.85,658.00,660.75,752873
2026-09-15,665.00,666.00,600.00,630.95,736208
