Date,Open,High,Low,Close,Volume
2023-06-19,24.25,25.00,22.50,23.10,205432
2023-06-26,23.15,24.15,22.00,23.10,231256
2023-07-03,23.10,23.85,22.15,22.65,838940
2023-07-10,23.00,27.00,21.50,25.25,1061898
2023-07-17,25.85,26.50,24.30,25.30,802045
2023-07-24,25.45,25.45,22.90,23.60,1631259
2023-07-31,24.15,32.00,23.10,29.05,5735489
2023-08-07,29.50,29.50,24.60,24.90,1696532
2023-08-14,26.70,26.70,23.40,24.00,3403679
2023-08-21,24.35,27.55,23.60,27.45,1288360
2023-08-28,28.60,31.50,26.40,29.45,1082567
2023-09-04,30.50,30.70,28.00,28.75,776490
2023-09-11,29.30,29.75,27.20,28.90,3703519
2023-09-18,29.45,29.90,27.00,27.90,647874
2023-09-25,28.25,28.25,26.65,27.00,63183
2023-10-03,27.05,27.55,25.80,26.05,235365
2023-10-09,26.05,26.70,24.50,24.85,155118
2023-10-16,25.35,25.50,23.75,23.90,147579
2023-10-23,24.20,24.20,21.65,23.70,57083
2023-10-30,24.40,24.85,22.75,23.55,120010
2023-11-06,23.15,25.05,23.15,25.05,190510
2023-11-13,25.05,27.55,24.70,26.10,554337
2023-11-20,26.90,30.45,25.50,29.15,8805243
2023-11-28,30.20,30.45,27.40,27.60,10500042
2023-12-04,27.00,30.00,26.25,28.15,7363088
2023-12-11,29.00,31.60,27.90,30.15,14970839
2023-12-18,30.60,35.55,28.45,29.40,44103042
2023-12-26,29.45,32.20,26.75,27.00,55986980
2024-01-01,26.95,27.10,23.90,24.65,30379685
2024-01-08,24.65,28.90,22.75,27.20,59766266
2024-01-15,27.85,27.85,24.90,25.35,21374977
2024-01-23,25.35,28.75,24.20,28.60,23844329
2024-01-29,28.90,30.75,25.85,27.80,31917014
2024-02-05,27.95,37.05,27.45,36.45,67440912
2024-02-12,36.90,43.90,33.65,38.95,113343119
2024-02-19,40.75,42.80,37.45,41.55,98075144
2024-02-26,41.50,45.15,37.05,37.60,128822115
2024-03-04,37.60,39.80,26.70,28.30,36694894
2024-03-11,28.30,28.80,16.70,22.20,46134109
2024-03-18,24.40,28.50,23.00,28.50,16802625
2024-03-26,29.20,31.35,27.50,28.50,11556530
2024-04-01,28.80,30.30,27.80,29.45,7156678
2024-04-08,29.60,29.75,25.75,26.00,4688440
2024-04-15,25.75,27.30,23.70,26.05,8199394
2024-04-22,26.55,26.95,24.05,24.30,5092516
2024-04-29,24.60,24.70,22.75,23.30,4726347
2024-05-06,23.70,23.70,22.00,22.20,4622996
2024-05-13,22.25,23.65,21.30,23.10,2547793
2024-05-21,23.05,23.65,22.10,22.60,2610236
2024-05-27,22.90,24.95,22.70,23.35,6388705
2024-06-03,23.35,23.40,20.55,22.90,3739790
