Date,Open,High,Low,Close,Volume
2007-01-08,100.20,139.75,100.20,123.40,10061402
2007-01-15,122.25,131.25,111.05,123.10,14817502
2007-01-22,123.60,128.80,115.00,117.45,4651150
2007-01-29,119.70,127.40,114.00,115.80,6735859
2007-02-05,116.40,121.85,114.00,116.05,7351507
2007-02-12,115.10,123.80,109.00,113.00,6105142
2007-02-19,113.55,117.80,103.25,107.10,3915646
2007-02-26,108.00,110.25,92.50,95.75,2290739
2007-03-05,94.00,100.00,85.25,93.65,2911757
2007-03-12,93.00,109.90,88.30,90.00,3863220
2007-03-19,91.50,93.45,83.25,86.90,2350446
2007-03-26,86.90,91.60,84.00,88.95,2033164
2007-04-02,86.10,88.50,84.00,86.05,1102383
2007-04-09,86.95,92.50,86.00,86.70,2030150
2007-04-16,87.80,91.00,81.10,82.85,821351
2007-04-23,84.20,86.00,80.00,85.30,2022724
2007-04-30,86.00,86.80,80.80,81.00,1164232
2007-05-07,81.50,83.00,68.85,69.70,2357989
2007-05-14,68.00,85.00,68.00,81.80,16114580
2007-05-21,82.70,84.80,75.25,75.85,3483175
2007-05-28,76.90,79.80,71.30,73.05,7011525
2007-06-04,73.85,74.00,68.50,69.05,2730163
2007-06-11,70.00,73.90,66.60,71.90,4529647
2007-06-18,71.90,76.00,66.50,66.95,3121662
2007-06-25,67.10,68.80,63.10,63.50,2213602
2007-07-02,63.90,64.80,60.40,60.95,1431859
2007-07-09,60.25,64.20,56.20,63.55,3472222
2007-07-16,63.50,78.40,63.50,67.30,18703518
2007-07-23,67.70,67.90,56.35,57.45,3882197
2007-07-30,57.40,58.90,54.50,58.00,4754809
2007-08-06,57.00,61.80,55.60,58.75,3582941
2007-08-13,59.50,61.80,54.00,54.40,1725981
2007-08-20,57.00,57.00,44.45,50.75,1869507
2007-08-27,50.60,53.65,48.30,53.30,2249509
2007-09-03,52.90,55.40,50.50,52.00,3446455
2007-09-10,51.00,53.50,48.70,49.30,3257254
