Date,Open,High,Low,Close,Volume
2023-01-02,25.00,26.88,22.16,22.49,504720
2023-01-09,23.54,31.48,22.27,30.90,34893080
2023-01-16,30.99,32.40,25.30,25.36,9501950
2023-01-23,25.90,27.95,25.25,26.73,4006900
2023-01-30,27.25,29.64,26.20,28.30,1949880
2023-02-06,28.91,34.80,28.91,31.05,4500680
2023-02-13,30.59,32.77,30.00,30.79,3154850
2023-02-20,30.89,34.60,28.80,34.42,5811830
2023-02-27,34.10,35.50,31.02,31.22,4242360
2023-03-06,31.60,34.02,30.55,30.84,1631380
2023-03-13,31.00,32.06,25.60,26.43,2107560
2023-03-20,26.29,27.82,24.80,25.18,1512870
2023-03-27,25.10,29.90,20.64,27.25,7598830
2023-04-03,28.29,34.00,27.09,31.36,8164310
2023-04-10,31.23,36.90,31.06,33.27,13130400
2023-04-17,33.20,36.98,32.75,32.98,4364690
2023-04-24,33.01,34.65,31.80,32.98,2596860
2023-05-02,32.60,36.09,32.60,33.55,2798170
2023-05-08,33.70,35.00,32.31,32.69,800130
2023-05-15,33.09,38.55,32.91,35.48,4514090
2023-05-22,35.60,42.50,34.00,40.72,16255110
2023-05-29,40.23,43.98,39.50,39.89,6513360
2023-06-05,40.52,47.40,31.03,31.03,20947900
2023-06-12,31.03,31.49,28.40,29.80,821930
2023-06-19,30.25,30.25,26.73,27.50,414180
2023-06-26,27.40,28.50,26.60,27.85,204190
2023-07-03,28.30,28.78,26.99,27.51,344290
2023-07-10,28.28,28.28,25.53,26.20,468320
2023-07-17,26.80,27.80,26.00,27.16,297360
2023-07-24,27.20,29.15,26.22,26.89,563470
2023-07-31,27.00,27.84,26.20,26.52,328130
2023-08-07,27.12,27.12,24.70,25.97,475760
2023-08-14,27.27,30.05,27.27,29.77,3559590
2023-08-21,29.18,29.18,28.03,28.35,1083110
2023-08-28,28.91,28.91,28.40,28.49,810030
2023-09-04,28.50,28.56,28.00,28.56,1059510
2023-09-11,28.77,29.00,27.89,28.30,708810
2023-09-18,28.50,28.80,28.25,28.80,431920
2023-09-25,29.00,32.95,29.00,32.85,5729840
2023-10-03,32.39,34.87,32.14,34.87,2880340
2023-10-09,40.00,55.44,37.40,53.54,43964290
2023-10-16,56.40,77.20,56.30,75.31,22204100
2023-10-23,78.49,80.90,68.23,68.42,12240210
2023-10-30,68.50,81.70,68.50,75.93,7402220
2023-11-06,76.90,80.47,71.65,80.47,5023690
2023-11-13,81.50,93.14,80.47,88.11,5833660
2023-11-20,91.50,91.50,82.75,89.74,3532280
2023-11-28,92.00,109.07,92.00,109.07,2697890
2023-12-04,114.52,129.94,109.61,117.92,5928500
2023-12-11,113.50,122.39,106.43,111.53,6813800
2023-12-18,113.50,117.11,95.61,95.61,6266950
2023-12-26,92.70,108.90,92.50,101.86,3949440
2024-01-01,104.36,104.48,97.52,98.62,2520750
2024-01-08,101.89,115.64,96.81,115.64,2605140
2024-01-15,119.50,121.42,106.30,120.47,3258710
2024-01-23,125.99,126.48,115.00,126.39,1129780
2024-01-29,128.80,128.80,114.00,116.27,1570010
2024-02-05,117.30,117.30,104.54,109.22,1535330
2024-02-12,110.99,112.50,100.00,109.61,1091970
2024-02-19,110.00,116.00,106.00,110.09,502780
2024-02-26,110.70,114.30,100.00,114.19,637130
2024-03-04,118.98,119.00,103.50,108.60,501000
2024-03-11,108.60,111.90,89.30,99.22,919800
2024-03-18,95.40,102.00,94.50,100.04,885390
2024-03-26,96.57,101.50,95.00,96.05,329690
2024-04-01,96.05,116.30,96.05,114.60,725970
2024-04-08,116.00,119.08,104.00,109.93,707680
2024-04-15,106.93,111.40,103.00,106.28,381860
2024-04-22,106.28,110.60,101.10,108.23,884340
2024-04-29,108.10,131.54,108.10,126.80,1569510
2024-05-06,133.00,139.79,119.80,120.80,1937340
2024-05-13,120.00,130.00,114.76,125.61,651190
2024-05-21,125.61,127.50,118.00,120.30,385120
2024-05-27,123.90,123.90,108.20,117.31,884660
2024-06-03,117.31,127.50,109.22,126.70,1399530
2024-06-10,129.50,133.74,120.00,133.74,721240
2024-06-18,136.90,145.59,129.00,145.59,704050
2024-06-24,152.86,167.90,151.20,163.85,2405010
2024-07-01,172.04,184.29,158.16,184.29,1336800
2024-07-08,183.00,225.00,175.07,221.46,2020490
2024-07-15,221.30,221.30,180.39,199.37,1022100
2024-07-22,204.80,244.25,191.11,230.06,1399750
2024-07-29,230.90,236.00,186.45,204.34,2314720
2024-08-05,195.50,223.53,190.00,223.53,2732160
2024-08-12,234.70,258.75,234.70,239.97,2357960
2024-08-19,235.00,275.00,230.00,253.69,2304940
2024-08-26,256.01,273.90,254.80,260.69,1390700
2024-09-02,265.00,295.00,256.00,276.69,1666630
2024-09-09,277.00,280.00,262.86,273.50,960940
2024-09-16,278.89,278.89,247.00,249.47,1240330
2024-09-23,250.00,271.00,241.51,257.24,2675700
2024-09-30,257.24,274.00,251.00,270.68,1099360
2024-10-07,272.50,314.30,262.50,303.68,2224920
2024-10-14,303.68,327.30,290.10,318.14,1434350
2024-10-21,322.00,368.50,315.13,348.70,3968210
2024-10-28,365.50,365.50,325.00,339.37,1598690
2024-11-04,348.40,353.00,326.11,334.70,1199710
2024-11-11,337.90,340.00,307.70,325.71,1200300
2024-11-18,337.90,395.89,333.86,395.86,1703370
2024-11-25,393.00,424.50,361.13,385.44,2503400
2024-12-02,392.40,444.00,374.21,412.67,2689910
2024-12-09,425.00,467.50,410.00,443.14,2891410
2024-12-16,465.30,488.55,418.90,418.90,1159919
2024-12-23,398.50,439.70,387.50,412.50,2454473
2024-12-30,412.50,415.00,385.00,390.30,1500489
2025-01-06,392.95,400.00,360.15,366.60,2288544
2025-01-13,351.00,389.70,330.90,367.25,2035641
2025-01-20,367.25,371.00,330.20,336.30,1182233
2025-01-27,321.45,353.65,292.00,331.50,4606934
