Date,Open,High,Low,Close,Volume
2001-12-31,1.50,1.50,1.50,1.50,200
2002-02-18,1.60,1.60,1.60,1.60,200
2002-02-25,1.70,1.70,1.70,1.70,401
2002-03-04,1.70,1.70,1.70,1.70,100
2002-03-11,1.80,1.80,1.80,1.80,200
2002-03-18,1.90,2.10,1.90,2.10,1500
2002-04-01,2.20,2.40,2.20,2.40,706
2002-04-08,2.90,3.50,2.90,3.05,302
2002-04-15,3.55,3.60,3.55,3.60,704
2002-04-22,2.90,2.90,2.70,2.70,1000
2002-04-29,3.00,3.00,2.40,2.40,600
2002-05-06,2.75,2.75,2.75,2.75,300
2002-05-13,2.25,2.25,2.25,2.25,504
2002-05-20,2.25,2.25,1.85,1.85,197
2002-05-27,1.55,1.65,1.25,1.50,404
2002-06-03,1.80,2.55,1.80,2.25,705
2002-06-10,1.80,2.65,1.80,2.65,212
2002-06-17,3.20,3.20,3.00,3.00,903
2002-06-24,3.60,6.45,3.60,5.20,56134
2002-07-01,5.65,8.00,5.50,7.95,155728
2002-07-08,8.10,11.50,7.75,9.35,260372
2002-07-15,8.90,9.00,8.10,8.30,29567
2002-07-22,8.40,8.40,6.55,6.55,33531
2002-07-29,6.75,6.75,5.70,5.95,11369
2002-08-05,6.15,6.15,5.45,5.75,5208
2002-08-12,6.00,6.00,5.00,5.00,653
2002-08-19,4.80,5.50,4.75,5.45,16853
2002-08-26,5.65,6.85,5.10,5.60,19301
2002-09-02,5.05,5.95,4.55,5.90,13306
2002-09-09,4.80,6.25,4.50,5.20,816
2002-09-16,6.20,6.20,4.50,4.75,9310
2002-09-23,5.70,5.75,3.60,4.65,5480
2002-09-30,5.55,6.55,4.00,4.20,222
2002-10-07,4.50,5.20,3.20,4.65,2830
2002-10-14,5.60,5.60,3.85,3.85,3212
2002-10-21,4.50,6.35,2.65,6.35,1309
2002-10-28,7.50,9.00,4.05,4.65,4295
2002-11-04,4.65,5.50,4.05,5.00,866
2002-11-11,4.95,5.35,3.60,3.95,6786
2002-11-18,4.75,6.25,3.75,4.00,6860
2002-11-25,4.50,5.35,3.85,4.50,12527
2002-12-30,4.50,4.70,4.20,4.20,1600
2003-01-06,4.50,4.65,4.30,4.40,6250
2003-01-13,4.30,4.80,4.20,4.45,7712
2003-01-20,4.80,5.25,4.15,5.00,10333
2003-01-27,5.00,5.10,4.30,4.55,28336
2003-02-03,4.50,4.50,3.60,4.25,1500
2003-02-10,4.00,4.50,3.75,4.50,2000
2003-02-17,4.05,4.25,3.75,3.85,2102
2003-02-24,4.15,4.50,3.85,4.50,2599
2003-03-03,3.60,5.30,3.60,3.80,3002
2003-03-10,3.45,4.55,3.45,4.55,151
2003-03-17,3.75,3.75,3.65,3.65,1400
2003-03-24,3.70,3.70,3.10,3.10,1501
2003-03-31,2.80,3.15,2.75,3.15,650
2003-04-07,3.25,3.40,3.25,3.25,3286
2003-04-14,3.40,3.40,3.15,3.15,1400
2003-04-21,3.50,3.50,3.25,3.50,3100
2003-04-28,4.20,4.20,3.50,3.75,204
2003-05-05,3.75,4.25,3.00,3.20,1695
2003-05-12,3.85,6.75,3.85,6.70,45033
2003-05-19,7.00,7.50,5.75,6.00,29024
2003-05-26,6.60,9.10,6.60,6.75,75258
2003-06-02,6.75,7.25,6.25,7.00,38661
2003-06-09,7.45,8.60,6.70,8.45,81120
2003-06-16,9.50,12.60,9.00,11.10,439822
2003-06-23,11.40,11.40,9.00,9.20,101029
2003-06-30,9.50,12.40,8.90,12.40,106893
2003-07-07,13.65,15.90,11.80,11.80,447916
2003-07-14,11.50,13.20,10.90,11.15,177781
2003-07-21,11.05,13.55,11.00,13.35,129260
2003-07-28,13.20,13.75,12.70,12.95,125810
2003-08-04,13.80,14.00,12.50,13.00,108382
2003-08-11,13.20,17.95,12.70,16.55,508645
2003-08-18,16.10,18.00,14.10,15.30,153533
2003-08-25,16.30,16.30,12.85,12.95,91510
2003-09-01,13.75,15.70,12.75,14.05,215040
2003-09-08,14.35,14.90,12.65,13.00,66952
2003-12-29,30.00,30.00,25.15,25.95,83908
2004-01-05,26.25,26.25,22.80,23.85,118049
2004-01-12,23.75,24.00,21.55,21.95,83489
2004-01-19,22.00,22.50,17.20,19.30,90813
2004-01-27,18.00,20.10,15.40,15.80,62663
2004-02-03,15.20,16.90,12.25,12.65,40264
2004-02-09,12.05,14.50,11.40,14.25,68079
