Date,Open,High,Low,Close,Volume
2012-06-11,205.50,227.00,197.60,203.80,2331909
2012-06-18,207.20,219.90,200.20,213.25,1690034
2012-06-25,210.00,223.80,207.10,209.75,1149160
2012-07-02,214.70,225.85,203.00,215.65,1349754
2012-07-09,215.95,216.90,207.00,207.95,475975
2012-07-16,209.90,210.00,183.30,186.70,1039522
2012-07-23,186.40,192.95,177.00,181.00,604388
2012-07-30,183.15,195.80,175.50,176.25,652673
2012-08-06,179.85,186.85,168.10,177.50,717400
2012-08-13,178.40,180.95,171.40,171.80,201665
2012-08-21,173.50,175.00,165.10,166.40,201660
2012-08-27,167.85,175.70,155.10,158.10,334589
2012-09-03,159.85,182.60,154.00,177.55,663389
2012-09-10,191.05,194.90,171.15,175.45,896105
2012-09-17,176.95,186.30,176.25,181.80,475813
2012-09-24,183.50,187.00,161.15,178.50,339686
2012-10-01,179.60,198.00,179.00,186.45,1373709
2012-10-08,187.00,193.80,180.60,181.20,808587
2012-10-15,182.00,188.50,181.00,182.85,516395
2012-10-22,182.60,189.05,180.70,184.85,622375
2012-10-29,185.95,191.45,181.70,184.95,591258
2012-11-05,186.80,193.25,181.75,182.15,1373827
2012-11-12,183.50,186.90,176.05,179.55,494128
2012-11-19,182.00,183.10,172.20,173.30,322289
2012-11-26,175.90,185.90,175.00,180.65,386096
2012-12-03,181.00,184.00,177.00,177.85,460457
2012-12-10,179.00,180.00,168.10,169.35,501279
2012-12-17,170.00,180.10,168.05,174.00,728107
2012-12-24,176.40,177.90,170.25,170.80,350148
2012-12-31,174.00,194.00,173.00,190.80,1449280
2013-01-07,191.75,195.75,177.75,178.45,585145
2013-01-14,173.60,186.55,173.60,178.40,592257
2013-01-21,179.65,185.40,172.95,178.55,306393
2013-01-28,178.95,179.30,171.10,173.70,388682
2013-02-04,174.00,180.00,162.85,164.85,508993
2013-02-11,165.45,167.25,155.00,160.05,160022
2013-02-18,159.00,167.50,158.50,159.25,151522
2013-02-25,159.35,161.95,142.15,153.50,452602
2013-03-04,154.00,174.90,149.65,171.10,379981
2013-03-11,170.00,173.70,145.00,172.45,187409
2013-03-18,170.00,172.90,163.15,168.40,193816
2013-03-25,168.10,172.60,161.00,167.50,75860
2013-04-01,166.20,176.35,162.95,169.30,153280
2013-04-08,167.55,179.90,167.55,175.55,221508
2013-04-15,175.00,185.80,173.00,185.00,239315
2013-04-22,182.50,190.95,181.00,183.10,117698
2013-04-29,181.30,191.20,181.25,185.00,278323
2013-05-06,184.90,186.00,180.00,180.45,84295
2013-05-13,178.00,184.00,176.50,182.75,65953
2013-05-20,180.00,188.00,170.00,171.20,110125
2013-05-27,172.00,184.80,168.00,172.60,234974
2013-06-03,172.50,179.00,168.50,170.90,115725
2013-06-10,170.00,172.35,159.00,163.00,90129
2013-06-17,164.10,167.10,157.50,158.80,50475
2013-06-24,161.50,161.50,149.95,153.50,110846
2013-07-01,152.00,160.00,146.00,150.30,49150
2013-07-08,151.00,154.90,147.00,149.40,57660
2013-07-15,151.00,152.40,137.50,150.25,153824
2013-07-22,145.15,151.60,138.00,140.00,75126
2013-07-29,140.00,142.00,118.10,126.00,80708
2013-08-05,126.00,128.00,116.95,121.50,100391
2013-08-12,123.70,128.50,118.10,121.60,114821
2013-08-19,127.50,137.80,108.10,126.05,136294
2013-08-26,126.00,140.00,120.00,120.00,48906
2013-09-02,121.40,131.85,120.60,127.00,46858
2013-09-10,132.00,132.00,121.65,126.00,26347
2013-09-16,131.80,147.45,123.00,130.00,144543
2013-09-23,133.65,140.00,118.10,125.95,439268
2013-09-30,126.00,126.00,120.10,125.00,98191
2013-10-07,125.80,132.70,121.00,128.25,135038
2013-10-14,126.60,131.00,123.50,125.55,81647
2013-10-21,127.40,127.90,121.00,121.10,71294
2013-10-28,122.00,124.00,117.00,121.05,74950
2013-11-05,124.70,133.50,122.00,124.00,203974
2013-11-11,123.70,125.35,114.00,114.55,266562
2013-11-18,115.70,117.85,101.30,102.70,514783
2013-11-25,104.90,131.00,103.60,126.45,714931
2013-12-02,127.80,127.80,117.20,121.10,289555
2013-12-09,120.80,122.80,117.00,120.50,351821
2013-12-16,121.50,128.00,120.40,122.30,2964011
2013-12-23,122.60,131.60,122.55,123.60,342621
2013-12-30,126.00,138.40,124.00,127.70,708859
2014-01-06,127.50,130.50,123.10,123.65,253730
2014-01-13,123.05,135.50,120.60,123.05,813233
2014-01-20,123.80,125.80,116.00,117.20,611774
2014-01-27,116.00,116.40,109.30,111.15,246860
2014-02-03,111.35,114.65,109.10,112.90,288891
2014-02-10,112.25,114.95,110.25,113.80,255617
2014-02-17,112.50,124.40,112.30,118.05,336827
2014-02-24,118.00,122.65,116.25,119.15,254004
2014-03-03,119.70,145.35,116.55,137.55,414254
2014-03-10,143.40,147.00,133.00,136.85,545088
2014-03-18,136.85,147.70,135.10,140.05,386633
2014-03-24,139.70,147.00,139.00,141.25,354482
2014-03-31,143.00,151.95,141.50,147.25,336435
2014-04-07,147.00,150.85,144.05,145.60,223650
2014-04-15,146.70,147.00,140.00,140.45,138519
2014-04-21,141.05,152.30,140.00,143.45,277692
2014-04-28,143.50,144.40,131.65,135.15,150753
2014-05-05,134.00,143.70,132.70,138.35,257446
2014-05-12,140.65,152.00,134.55,140.45,265277
2014-05-19,144.50,165.00,143.00,156.40,818619
2014-05-26,157.50,158.70,144.00,148.70,274093
2014-06-02,149.00,159.50,147.25,157.65,413651
2014-06-09,160.00,161.70,150.05,153.10,308188
2014-06-16,151.60,159.30,146.95,150.80,187874
2014-06-23,151.10,152.40,145.05,147.20,151662
2014-06-30,151.35,155.00,146.50,148.80,236734
2014-07-07,147.80,151.40,135.30,138.15,298442
2014-07-14,136.80,150.00,131.25,144.00,111435
2014-07-21,144.70,152.50,144.00,144.50,157418
2014-07-28,144.50,153.50,144.00,145.65,110982
2014-08-04,145.75,151.45,140.25,145.80,117964
2014-08-11,144.50,147.00,127.65,130.05,187892
2014-08-18,132.00,134.40,127.20,132.55,323971
2014-08-25,132.55,139.00,132.20,136.00,217069
2014-09-01,132.60,143.00,132.60,141.35,810751
2014-09-08,141.35,145.95,136.15,141.90,357572
2014-09-15,141.85,147.00,139.15,143.80,341702
2014-09-22,143.50,149.80,135.00,142.60,1695132
2014-09-29,142.60,149.85,141.00,145.80,140096
2014-10-07,145.80,157.50,144.00,151.05,516741
2014-10-13,150.10,161.65,147.60,151.85,239986
2014-10-20,151.10,157.70,150.00,153.70,63444
2014-10-27,154.90,168.90,152.00,160.65,175527
2014-11-03,164.90,181.70,157.75,177.70,266630
2014-11-10,177.75,213.50,173.00,188.35,1122643
2014-11-17,187.00,202.00,181.60,183.20,260596
2014-11-24,182.10,186.50,175.30,181.55,132652
2014-12-01,181.60,195.50,180.20,188.40,163528
2014-12-08,185.10,190.50,178.95,180.15,167362
2014-12-15,180.00,182.60,167.60,175.05,1346937
2014-12-22,179.45,184.00,172.75,179.05,223532
2014-12-29,182.95,197.70,178.50,195.60,347925
2015-01-05,197.00,200.65,181.20,188.80,177532
2015-01-12,186.70,194.00,182.50,186.55,101914
2015-01-19,187.95,189.85,183.50,185.30,51919
2015-01-27,184.00,196.00,179.60,181.35,110776
2015-02-02,181.50,215.10,178.00,192.05,119165
2015-02-09,193.00,194.10,175.10,180.30,157539
2015-02-16,181.90,188.00,180.00,185.20,90320
2015-02-23,185.55,210.00,178.20,180.10,109802
2015-03-02,178.25,188.85,171.00,180.95,1270755
2015-03-09,180.90,189.00,180.90,185.30,68804
2015-03-16,187.05,194.00,171.00,183.45,1317596
2015-03-23,184.75,184.75,177.45,178.85,65848
2015-03-30,179.25,185.00,172.35,180.00,22202
2015-04-06,178.00,200.00,178.00,191.40,138942
2015-04-13,191.40,218.60,188.00,196.30,422211
2015-04-20,194.00,197.80,182.25,183.15,92422
2015-04-27,180.25,186.85,170.00,182.30,115173
2015-05-04,184.60,188.00,163.00,164.50,110060
2015-05-11,169.70,173.00,161.00,172.05,66660
2015-05-18,169.20,178.00,169.00,175.50,35653
2015-05-25,175.50,176.00,153.00,154.75,96918
2015-06-01,154.75,160.90,148.20,153.35,56241
2015-06-08,154.95,171.70,135.20,141.85,233665
2015-06-15,136.50,144.35,131.10,142.35,225972
2015-06-22,142.50,147.90,137.05,137.95,107780
2015-06-29,136.95,146.00,135.00,139.85,400141
2015-07-06,141.90,146.00,136.20,139.75,111196
2015-07-13,139.10,143.00,138.10,139.90,79489
2015-07-20,139.75,158.95,139.05,157.45,214863
2015-07-27,156.10,167.45,153.10,159.25,623206
2015-08-03,160.90,166.90,157.05,159.05,252541
2015-08-10,160.00,172.00,151.65,152.95,170228
2015-08-17,153.05,170.90,150.20,161.30,177365
2015-08-24,146.20,156.50,125.00,148.75,95844
2015-08-31,148.80,150.80,140.05,144.85,65640
2015-09-07,150.00,150.00,141.00,144.35,48208
2015-09-14,146.75,154.00,143.65,150.45,75695
2015-09-21,149.00,160.00,147.50,156.65,55340
2015-09-28,160.00,164.00,152.25,159.10,37406
2015-10-05,162.75,164.00,155.60,160.40,61424
2015-10-12,157.55,164.50,151.60,154.00,72835
2015-10-19,155.00,156.90,142.00,145.95,80464
2015-10-26,145.05,151.90,138.10,138.40,166052
2015-11-02,140.45,140.90,124.15,126.50,141382
2015-11-09,122.10,124.25,114.10,120.75,164561
2015-11-16,120.75,128.05,118.00,120.30,129923
2015-11-23,119.05,124.80,118.05,120.25,105919
2015-11-30,120.05,124.50,116.95,123.15,145215
2015-12-07,125.00,126.70,120.00,121.20,96848
2015-12-14,120.30,134.50,119.10,132.30,181870
2015-12-21,131.00,142.80,128.10,139.35,164266
2015-12-28,140.85,144.85,135.10,140.00,140312
2016-01-04,139.35,143.65,131.20,132.05,87590
2016-01-11,130.20,131.55,114.00,118.25,108132
2016-01-18,115.00,119.35,92.60,103.35,359135
2016-01-25,105.85,109.40,102.55,108.10,50763
2016-02-01,110.00,110.05,96.50,101.45,337022
2016-02-08,101.50,103.05,85.00,89.15,107068
2016-02-15,91.25,93.10,82.80,83.55,99334
2016-02-22,85.45,87.40,81.60,85.10,59399
2016-02-29,84.95,90.00,81.95,86.90,80044
2016-03-08,87.95,90.00,80.95,81.80,117017
2016-03-14,82.50,84.00,80.00,80.70,118575
2016-03-21,82.00,89.60,80.65,85.15,118382
2016-03-28,86.00,87.40,81.20,86.35,92561
2016-04-04,86.70,88.00,84.10,86.15,41005
2016-04-11,86.75,96.35,85.25,95.20,138609
2016-04-18,96.85,100.00,93.10,97.30,65242
2016-04-25,99.00,99.00,93.60,94.50,54042
2016-05-02,94.75,95.70,88.25,88.85,51600
2016-05-09,88.80,91.95,87.70,89.25,36095
2016-05-16,89.20,92.00,88.00,89.45,40568
2016-05-23,89.70,100.00,88.00,95.25,90903
2016-05-30,93.10,94.00,85.00,86.40,145499
2016-06-06,86.45,101.80,85.20,96.55,309997
2016-06-13,95.00,103.00,91.15,94.40,179027
2016-06-20,93.05,97.00,86.20,90.55,78563
