Date,Open,High,Low,Close,Volume
2024-10-07,112.00,115.00,105.00,108.50,508595
2024-10-14,109.45,109.50,100.01,101.48,739796
2024-10-21,102.01,103.08,95.12,97.69,1336064
2024-10-28,99.81,99.81,61.00,68.22,4081751
2024-11-04,67.35,68.50,63.30,65.75,223084
2024-11-11,66.54,66.54,58.50,60.14,152038
2024-11-18,61.90,61.90,58.00,59.56,104259
2024-11-25,61.99,73.29,60.00,72.00,358949
2024-12-02,70.56,79.46,70.56,79.46,25072
2024-12-09,81.04,87.70,81.04,87.70,32233
2024-12-16,89.45,96.80,89.45,96.80,39268
2024-12-23,94.86,94.86,89.27,89.27,1925
2024-12-30,87.48,87.48,80.67,80.67,5347
2025-01-06,79.05,79.05,72.90,72.90,42210
2025-01-13,69.30,69.30,62.49,65.31,291479
2025-01-20,65.50,69.80,65.00,66.96,73067
2025-01-27,66.20,66.95,62.22,64.73,93387
2025-02-03,64.70,71.79,63.51,69.08,202970
2025-02-10,70.98,72.89,64.00,70.55,201944
2025-02-17,70.55,71.00,62.45,65.04,224966
2025-02-24,65.99,66.23,60.00,62.92,234343
2025-03-03,63.95,64.55,60.50,62.33,141806
2025-03-10,62.41,68.00,59.36,59.98,240291
2025-03-17,61.99,62.50,57.50,58.13,357516
2025-03-24,61.00,61.00,52.00,55.36,994270
2025-04-01,55.30,58.50,53.50,57.93,564680
2025-04-07,56.00,63.45,53.50,62.72,593616
2025-04-15,63.11,72.00,63.05,70.27,729422
2025-04-21,70.26,75.20,64.51,65.63,711419
2025-04-28,65.90,69.88,63.00,64.37,342554
2025-05-05,64.37,67.51,60.22,61.45,1001613
2025-05-12,62.70,64.48,58.51,63.58,1391902
2025-05-19,63.58,66.50,62.00,63.36,938542
2025-05-26,64.63,65.30,58.00,59.69,868653
2025-06-02,59.01,62.54,56.94,59.09,730085
2025-06-09,60.22,69.68,58.00,65.49,966455
2025-06-16,64.05,71.88,63.76,71.11,1065594
2025-06-23,70.00,84.00,68.81,80.17,1855957
2025-06-30,79.35,89.59,78.03,80.02,3307213
2025-07-07,81.18,81.18,75.21,78.59,2238694
2025-07-14,78.99,80.48,76.37,78.38,2037497
2025-07-21,79.36,82.19,79.01,80.98,1956349
2025-07-28,81.38,84.99,80.00,80.36,2161001
2025-08-04,81.04,81.31,76.41,78.41,1886506
2025-08-11,77.00,79.50,76.76,78.21,967004
2025-08-18,78.21,79.59,74.00,77.01,1296625
2025-08-25,77.80,81.95,76.05,77.70,886659
2025-09-01,78.50,91.00,77.50,77.62,3610606
2025-09-08,79.50,81.50,71.20,73.45,517062
2025-09-15,73.45,75.44,71.16,74.64,205479
2025-09-22,75.45,75.45,65.70,66.30,264679
2025-09-29,64.20,68.83,61.82,68.83,245712
2025-10-06,69.10,75.79,69.10,72.13,177919
2025-10-13,72.13,73.50,66.60,73.31,121285
2025-10-20,72.98,74.60,70.51,71.92,51495
2025-10-27,70.57,71.00,66.00,68.13,130626
2025-11-03,67.11,70.91,66.11,70.53,53780
2025-11-10,70.24,74.90,68.21,70.89,147163
2025-11-17,69.99,70.80,64.00,65.24,99307
2025-11-24,65.24,67.99,63.51,66.79,58492
2025-12-01,67.49,69.39,63.50,67.75,121703
2025-12-08,67.67,69.90,57.90,60.03,311768
2025-12-15,59.00,68.49,59.00,68.01,210701
2025-12-22,68.70,71.00,66.41,68.19,263784
2025-12-29,70.74,71.00,63.70,67.29,266319
2026-01-05,67.00,68.75,64.04,64.56,227566
2026-01-12,64.58,64.99,59.14,60.46,330630
2026-01-19,60.46,64.39,57.50,57.76,163462
2026-01-27,57.81,60.96,53.51,55.42,217885
2026-02-02,56.38,57.99,54.01,56.80,173306
2026-02-09,58.00,59.00,52.62,56.08,229612
2026-02-16,56.08,56.99,52.26,52.91,82837
2026-02-23,52.91,54.00,41.71,42.90,253742
2026-03-02,40.20,48.22,39.15,47.33,204100
2026-03-09,46.00,53.95,43.50,51.16,153127
2026-03-16,52.20,52.20,43.20,44.42,206166
2026-03-23,44.38,47.22,40.81,42.29,190981
2026-03-30,42.31,46.00,38.09,44.55,182843
2026-04-06,46.54,48.80,42.00,44.59,112223
2026-04-13,44.59,45.99,43.00,44.05,124424
2026-04-20,45.89,46.00,43.34,43.88,137089
2026-04-27,44.00,46.00,43.11,44.71,102281
2026-05-04,45.69,47.71,43.50,44.02,161432
2026-05-11,42.50,45.00,41.48,42.21,74997
2026-05-18,43.90,43.90,37.56,41.64,181482
2026-05-25,42.00,43.00,39.02,41.10,167673
2026-06-01,42.00,42.00,38.00,38.62,232711
2026-06-08,38.00,41.50,37.30,39.04,171711
2026-06-15,39.04,42.50,38.50,41.36,234326
2026-06-22,41.00,41.95,39.50,41.18,68440
2026-06-29,41.99,41.99,39.01,40.03,58991
2026-07-06,40.20,43.99,38.25,40.30,399817
2026-07-13,41.20,42.47,37.00,38.69,315873
2026-07-20,38.50,39.78,37.00,37.92,83792
2026-07-27,37.97,38.00,37.00,37.44,56510
2026-08-03,37.95,40.00,36.00,36.64,165694
2026-08-10,36.00,42.42,36.00,40.50,336584
2026-08-17,41.74,41.90,38.50,39.43,218687
2026-08-24,39.43,41.85,39.05,40.24,81719
2026-08-31,40.69,40.70,38.00,39.33,139702
2026-09-07,39.98,40.09,37.85,38.27,175367
2026-09-15,38.99,40.29,38.50,39.15,114059
