Date,Open,High,Low,Close,Volume
2014-01-13,10.55,11.05,10.10,10.30,3816
2014-01-20,9.80,10.75,9.80,10.60,299
2014-02-17,10.10,10.60,9.55,9.60,2914
2014-02-24,9.25,9.90,9.05,9.20,833
2014-03-03,9.05,10.40,9.00,10.30,29656
2014-03-10,10.80,11.15,9.80,10.75,14645
2014-03-18,10.50,10.50,9.65,10.45,4558
2014-03-24,11.45,13.85,11.45,13.85,3548
2014-03-31,14.50,17.50,14.50,17.50,7281
2014-04-07,18.35,21.20,18.35,21.20,5824
2014-04-15,22.25,24.50,22.25,24.50,3214
2014-04-21,25.70,28.25,25.00,25.85,90787
2014-04-28,26.00,26.00,21.95,22.40,72088
2014-05-05,22.40,22.40,17.40,17.40,27397
2014-05-12,16.55,18.15,15.15,17.85,78844
2014-05-19,17.25,22.60,17.15,22.60,21496
2014-05-26,23.70,25.10,21.35,25.10,64210
2014-06-02,24.15,25.70,22.00,24.45,50815
2014-06-09,25.65,27.00,23.90,24.80,70194
2014-06-16,25.65,25.85,23.40,24.05,30290
2014-06-23,25.25,30.30,24.30,30.30,56124
2014-06-30,31.80,35.00,31.65,32.90,73452
2014-07-07,34.25,37.75,32.00,34.05,44609
2014-07-14,32.50,35.45,30.75,33.05,25085
2014-07-21,34.00,34.80,31.60,31.60,25058
2014-07-28,32.05,32.80,28.75,29.35,15594
2014-08-04,28.00,31.45,26.35,26.50,14996
2014-08-11,26.50,27.45,25.20,25.40,9087
2014-08-18,26.20,28.55,25.25,26.85,50797
2014-08-25,27.05,27.95,25.05,27.00,23135
2014-09-01,27.00,29.30,26.00,28.55,78443
2014-09-08,27.30,32.45,27.15,31.30,48474
2014-09-15,31.30,32.50,28.75,30.70,30988
2014-09-22,30.10,32.00,27.85,29.25,32572
2014-09-29,30.50,30.85,27.15,30.85,13212
2014-10-07,31.95,31.95,28.20,28.65,42163
2014-10-13,27.35,29.20,27.35,29.00,16725
2014-10-20,29.00,29.80,27.00,28.00,21527
2014-10-27,28.00,29.40,27.20,28.35,18304
2014-11-03,28.00,29.55,27.05,28.30,8971
2014-11-10,27.35,30.90,27.20,29.20,43430
2014-11-17,28.25,32.00,28.00,30.00,42379
2014-11-24,28.65,30.15,27.05,28.45,19545
2014-12-01,27.10,29.55,27.10,28.65,19136
2014-12-08,27.55,29.45,25.65,26.85,16054
2014-12-15,25.65,26.70,23.45,26.55,13942
2014-12-22,25.45,27.85,25.45,27.15,6567
2014-12-29,28.35,28.50,27.35,27.80,40589
2015-01-05,28.00,29.15,26.70,28.05,16000
2015-01-12,29.40,32.25,28.80,30.10,24563
2015-01-19,30.15,31.35,28.40,28.50,27367
2015-01-27,28.35,29.45,26.85,28.95,5982
2015-02-02,27.55,30.35,26.40,27.00,18033
2015-02-09,26.30,27.60,25.70,27.40,8477
2015-02-16,28.40,28.40,25.00,25.80,9264
2015-02-23,25.65,27.20,24.70,25.85,10835
2015-03-02,25.00,25.85,24.05,25.25,8160
2015-03-09,24.50,26.70,24.25,24.75,9373
2015-03-16,24.00,27.20,24.00,24.65,9845
2015-03-23,24.10,25.60,22.80,23.00,18143
2015-03-30,23.00,23.80,21.70,23.60,6391
2015-04-06,23.00,24.75,23.00,24.75,5199
2015-04-13,25.95,27.00,24.25,25.20,10961
2015-04-20,24.65,24.70,22.40,23.40,11335
2015-04-27,22.30,24.00,22.00,22.75,6717
2015-05-04,21.75,23.85,21.55,23.05,3256
2015-05-11,21.95,24.40,21.95,24.40,8067
2015-05-18,23.35,24.60,21.90,23.20,5688
2015-05-25,22.45,23.65,21.10,22.95,4232
2015-06-01,22.95,24.15,22.00,22.10,3907
2015-06-08,21.35,24.15,20.50,23.35,14709
2015-06-15,22.25,23.75,21.95,23.05,1519
2015-06-22,22.30,23.40,21.50,22.70,10156
2015-06-29,22.00,22.90,20.65,22.70,16858
