Date,Open,High,Low,Close,Volume
2004-07-05,9.00,9.48,8.91,9.41,8750
2004-07-12,10.35,12.72,10.31,12.72,788850
2004-07-19,13.50,15.19,13.29,13.84,3103860
2004-07-26,13.90,14.53,13.10,13.52,637750
2004-08-02,13.35,13.65,12.90,13.55,422170
2004-08-09,13.55,13.79,12.16,12.90,338500
2004-10-04,13.35,13.44,13.00,13.06,245480
2004-10-11,13.11,13.38,12.70,12.86,320910
2004-10-18,13.20,13.30,12.75,12.99,303890
2004-10-25,13.10,13.10,12.52,12.63,225640
2004-11-01,12.70,12.80,12.30,12.35,618990
2004-11-08,12.50,14.62,12.33,14.27,1521790
2004-11-16,14.40,15.10,13.59,13.65,1156820
2004-11-22,13.80,15.54,13.61,15.19,2044090
2004-11-29,15.45,16.15,14.50,14.51,1084570
2004-12-06,14.56,14.95,13.80,14.38,389590
2004-12-13,14.60,16.60,14.40,15.02,1345880
2004-12-20,15.38,15.84,15.10,15.25,603780
2004-12-27,15.20,16.81,15.20,15.53,1155840
2005-01-03,15.90,16.73,14.80,15.14,859730
2005-01-10,15.70,15.70,14.11,14.35,253940
2005-01-17,13.93,14.60,13.80,14.36,213830
2005-01-24,13.81,14.90,13.56,14.69,154290
2005-01-31,14.80,16.55,14.28,16.55,825510
2005-02-07,17.00,18.91,16.62,17.95,3952560
2005-02-14,18.20,18.20,16.62,17.79,1031580
2005-02-21,17.73,20.24,17.73,19.46,1960340
2005-02-28,19.59,22.09,18.70,22.09,2546010
2005-03-07,23.77,24.17,21.30,24.17,1624200
2005-03-14,25.38,25.38,22.50,23.98,1267320
2005-03-21,24.00,24.13,21.30,23.84,1048970
2005-03-28,23.50,24.85,21.43,24.79,801730
2005-04-04,25.00,29.26,24.20,29.26,1605600
2005-04-11,30.20,31.40,26.40,27.80,892740
2005-04-18,27.90,29.99,27.20,28.04,573590
2005-04-25,27.98,29.40,26.65,26.75,224020
2005-05-02,27.00,28.70,25.41,26.81,432140
2005-05-09,27.00,28.75,26.40,27.40,296860
2005-05-16,27.52,33.10,26.83,30.40,965190
2005-05-23,31.00,33.44,28.51,29.24,1044400
2005-05-30,29.40,31.70,28.07,30.74,598810
2005-06-06,31.50,31.55,29.51,29.77,158280
2005-06-13,32.30,34.25,29.30,29.80,1032630
2005-06-20,32.89,32.89,28.12,28.84,421180
2005-06-27,28.90,29.31,27.51,27.96,279570
2005-07-04,29.10,31.30,27.84,29.01,367450
2005-07-11,29.00,29.60,28.00,28.78,322880
2005-07-18,29.70,31.40,29.10,30.00,515440
2005-07-25,30.80,30.99,29.01,30.14,234880
2005-08-01,29.50,32.82,28.10,31.00,1481540
2005-08-08,31.10,34.14,31.10,32.46,1084110
2005-08-16,32.40,39.70,31.40,36.13,1430310
2005-08-22,36.50,38.00,33.20,33.82,544950
2005-08-29,33.70,36.70,33.12,34.45,280390
2005-09-05,35.90,35.90,32.20,33.81,215640
2005-09-12,33.30,35.11,33.20,34.60,278540
2005-09-19,34.50,35.00,28.50,30.29,399320
2005-09-26,30.55,33.90,30.55,31.54,174770
2005-10-03,30.00,36.99,30.00,35.85,1154690
2005-10-10,36.06,37.27,34.50,34.85,816410
2005-10-17,35.00,35.85,31.30,34.17,362430
2005-10-24,36.50,36.50,32.50,32.57,356820
2005-10-31,34.00,36.30,33.70,36.02,133240
2005-11-07,36.80,38.90,34.51,37.74,568930
2005-11-14,39.90,41.90,38.60,40.20,1113210
2005-11-21,38.70,41.33,38.70,39.25,208960
2005-11-28,39.60,40.56,39.20,40.08,217620
2005-12-05,40.20,40.99,39.50,40.33,169980
2005-12-12,40.30,44.09,40.20,43.00,702540
2005-12-19,42.90,43.75,40.74,40.96,190500
2005-12-26,41.10,41.50,39.01,40.83,129950
2006-01-02,41.25,42.80,40.62,41.08,173860
2006-01-09,41.00,43.35,40.00,42.14,174350
2006-01-16,42.00,42.70,40.21,40.97,87370
2006-01-23,40.73,40.73,39.50,40.24,69420
2006-01-30,41.60,42.39,39.75,40.41,315590
2006-02-06,41.60,41.70,39.20,39.51,110120
2006-02-13,40.00,40.30,38.70,39.67,192390
2006-02-20,39.00,39.75,37.05,38.67,106210
2006-02-27,38.81,42.00,38.50,38.61,130840
2006-03-06,38.00,39.49,37.00,38.13,187890
2006-03-13,38.60,38.63,36.06,37.09,169820
2006-03-20,37.20,39.00,36.40,37.73,585570
2006-03-27,38.70,41.00,37.50,38.75,170840
2006-04-03,38.59,42.44,38.59,39.35,204950
2006-04-10,40.15,41.40,39.00,40.67,144430
2006-04-17,41.10,47.00,41.10,42.85,293100
2006-04-24,43.64,44.50,40.11,42.75,90080
2006-05-02,45.00,45.00,42.20,43.15,135490
2006-05-08,43.76,60.57,43.16,56.66,1456230
2006-05-15,59.90,59.90,45.23,45.78,435460
2006-05-22,46.00,49.90,41.23,45.15,247550
2006-05-29,42.60,49.50,38.02,41.75,162220
2006-06-05,43.50,45.59,31.48,33.91,253970
2006-06-12,34.70,35.60,31.60,33.64,97120
2006-06-19,34.00,39.73,34.00,37.85,214490
2006-06-26,38.50,38.50,34.50,35.90,50680
2006-07-03,35.60,36.49,32.50,33.31,77950
2006-07-10,32.60,33.50,31.20,33.04,60380
2006-07-17,32.02,32.64,28.30,28.75,67710
2006-07-24,28.50,30.79,27.32,30.76,244560
2006-07-31,32.00,36.40,31.31,35.11,180490
2006-08-07,34.10,39.78,33.50,39.00,187410
2006-08-14,39.00,40.50,37.63,38.19,223890
2006-08-21,38.60,39.50,36.90,37.46,238870
2006-08-28,39.50,40.60,37.70,38.35,413987
2006-09-04,39.40,39.40,36.30,36.90,286461
2006-09-11,36.50,37.60,33.45,34.25,175482
2006-09-18,34.30,39.05,32.10,38.20,408099
2006-09-25,39.50,41.70,35.10,35.60,228616
2006-10-03,36.85,37.45,35.15,36.90,91644
2006-10-09,36.20,37.50,34.90,35.70,260456
2006-10-16,36.00,36.80,33.80,34.90,166973
2006-10-23,35.00,35.00,33.75,34.00,78298
2006-10-30,33.50,34.80,32.50,32.80,87718
2006-11-06,32.05,34.40,31.70,32.50,130234
2006-11-13,33.00,33.00,29.80,30.20,112200
2006-11-20,30.00,32.25,28.25,30.15,243165
2006-11-27,30.50,33.00,29.55,30.75,212193
2006-12-04,30.75,32.40,29.60,29.75,141346
2006-12-11,29.45,30.15,27.75,29.15,87153
2006-12-18,29.10,30.00,28.05,28.40,77424
2006-12-26,28.15,30.40,28.15,29.55,122718
2007-01-02,29.40,34.45,29.30,32.65,161809
2007-01-08,33.50,33.50,30.00,31.80,153412
2007-01-15,32.40,32.40,29.55,30.30,133573
2007-01-22,30.50,31.00,29.15,29.60,112449
2007-01-29,29.35,29.75,25.55,26.55,200511
2007-02-05,26.90,27.50,26.15,26.60,100173
2007-02-12,26.45,26.90,24.05,24.45,262516
2007-02-19,25.00,27.50,21.20,25.00,769592
2007-02-26,25.50,26.00,21.05,22.75,312319
2007-03-05,21.00,22.90,19.60,21.00,340182
2007-03-12,21.90,22.00,20.55,20.95,157905
2007-03-19,21.00,21.90,20.50,21.00,152892
2007-03-26,20.60,21.40,20.15,20.55,79007
