Date,Open,High,Low,Close,Volume
2015-08-10,147.50,163.50,147.50,160.02,46021572
2015-08-17,159.70,186.45,156.15,172.12,17809740
2015-08-24,165.45,168.50,147.82,163.57,5559852
2015-08-31,163.50,170.77,157.82,162.90,2685984
2015-09-07,164.00,173.30,158.77,164.75,2726324
2015-09-14,164.07,167.98,160.52,162.32,933890
2015-09-21,161.48,163.77,157.55,160.75,845576
2015-09-28,161.50,166.88,158.73,164.62,759710
2015-10-05,165.30,174.60,161.10,172.20,1930586
2015-10-12,174.90,183.98,168.75,182.07,1941976
2015-10-19,182.98,192.50,175.68,187.80,3912434
2015-10-26,187.50,193.00,180.10,182.00,1529016
2015-11-02,182.50,183.90,173.00,177.00,576400
2015-11-09,175.00,184.93,169.00,182.00,417604
2015-11-16,182.38,188.98,180.02,186.75,457048
2015-11-23,185.02,188.00,180.00,180.25,616194
2015-11-30,182.00,199.00,176.88,182.75,2283994
2015-12-07,181.77,188.00,176.00,179.12,1690830
2015-12-14,179.95,194.00,177.43,192.98,2000464
2015-12-21,192.50,201.00,191.55,197.45,1306482
2015-12-28,197.50,213.73,196.25,208.85,2432544
2016-01-04,213.00,218.00,202.50,203.02,1920960
2016-01-11,202.48,206.52,189.50,191.65,1293192
2016-01-18,191.75,206.00,177.90,197.45,2878040
2016-01-25,201.80,204.90,191.05,201.10,678144
2016-02-01,201.07,205.75,186.98,200.00,1103760
2016-02-08,200.00,201.25,182.75,187.90,668142
2016-02-15,189.45,193.50,184.50,191.40,316128
2016-02-22,191.50,202.50,184.77,201.57,861160
2016-02-29,202.00,207.00,190.55,193.18,1272424
2016-03-08,193.95,202.50,193.93,199.95,1257998
2016-03-14,200.95,206.00,191.18,202.43,1466972
2016-03-21,201.85,204.32,189.18,191.15,445374
2016-03-28,192.50,195.25,185.50,189.73,1675646
2016-04-04,191.52,192.40,174.50,183.75,2562326
2016-04-11,183.80,185.57,177.45,178.35,1580964
2016-04-18,179.50,193.93,179.05,186.43,2985176
2016-04-25,188.00,199.00,184.57,194.43,3048732
2016-05-02,195.00,197.00,183.75,185.95,2113852
2016-05-09,187.98,196.65,180.00,192.48,3288318
2016-05-16,193.98,199.00,190.50,191.40,801052
2016-05-23,193.12,198.50,183.55,192.80,947522
2016-05-30,194.00,197.50,190.50,193.85,524822
2016-06-06,193.50,197.50,188.00,191.57,522554
2016-06-13,191.75,202.35,190.05,198.18,1090516
2016-06-20,197.00,207.20,190.77,201.90,1024958
2016-06-27,197.60,208.40,197.60,203.00,903196
2016-07-04,202.25,229.30,202.25,214.43,2490240
2016-07-11,215.50,219.45,203.82,204.65,1022856
2016-07-18,205.50,219.93,205.15,212.23,1927140
2016-07-25,212.98,217.50,201.60,208.95,680212
2016-08-01,209.48,212.00,202.62,208.80,463006
2016-08-08,211.00,217.50,205.50,206.80,3516730
2016-08-16,207.25,213.95,204.00,211.77,466770
2016-08-22,211.50,239.45,209.40,230.95,3493266
2016-08-29,231.00,243.20,227.70,236.73,1004996
2016-09-06,237.00,254.73,236.00,241.07,973050
2016-09-12,239.38,242.15,235.50,239.70,364176
2016-09-19,241.43,261.95,235.10,245.85,3791126
2016-09-26,247.80,254.90,225.00,237.43,1302302
2016-10-03,239.35,253.82,239.00,246.60,848884
2016-10-10,245.02,258.77,244.82,251.60,653520
2016-10-17,252.98,282.50,251.00,274.17,4352316
2016-10-24,273.02,296.75,267.50,292.98,3391320
2016-11-01,289.65,293.90,266.05,271.42,945662
2016-11-07,274.95,292.50,248.00,284.85,981452
2016-11-15,286.80,287.00,261.00,267.55,1016514
2016-11-21,270.00,270.00,255.12,268.52,666304
2016-11-28,270.50,308.15,268.50,288.42,2871518
2016-12-05,289.90,331.60,286.75,314.12,1945192
2016-12-12,312.55,327.50,287.67,292.83,5909150
2016-12-19,293.15,293.30,268.65,269.70,978986
2016-12-26,268.48,292.85,255.50,280.92,1517776
2017-01-02,281.48,295.67,281.48,291.27,897048
2017-01-09,291.55,308.77,289.83,302.62,1231090
2017-01-16,304.45,304.45,287.50,289.62,616038
2017-01-23,293.25,293.25,279.05,281.25,1146756
2017-01-30,281.52,283.98,267.55,268.77,2004782
2017-02-06,271.65,273.40,253.30,254.50,1571384
2017-02-13,255.98,259.85,231.50,258.25,3228506
2017-02-20,259.45,269.45,255.50,256.10,1414474
2017-02-27,256.00,256.75,242.50,246.73,1237640
2017-03-06,249.50,261.15,240.07,252.43,1829154
2017-03-14,257.50,264.70,246.25,263.98,1460660
2017-03-20,262.80,272.23,260.00,261.27,1194082
2017-03-27,260.50,269.48,258.77,260.38,994318
2017-04-03,261.15,278.38,259.02,272.55,1284902
2017-04-10,273.60,274.27,259.75,261.75,483858
2017-04-17,263.75,275.48,258.25,265.98,867026
2017-04-24,266.50,282.00,254.00,258.35,1547188
2017-05-02,259.17,259.17,232.65,235.07,1439124
2017-05-08,236.00,239.50,220.62,224.38,1394766
2017-05-15,224.38,258.70,223.05,241.48,3866236
2017-05-22,242.55,249.50,221.00,231.55,1223198
2017-05-29,232.00,246.68,223.00,241.35,1891606
2017-06-05,241.27,244.48,233.50,236.20,987204
2017-06-12,237.50,239.40,227.27,228.50,863508
2017-06-19,229.00,236.00,225.70,229.48,1546160
2017-06-27,231.20,236.25,225.52,235.23,862776
2017-07-03,236.85,241.00,234.60,236.73,715780
2017-07-10,234.70,252.50,232.38,249.48,2683642
2017-07-17,251.00,254.50,240.50,241.65,876820
2017-07-24,241.77,246.50,234.10,241.90,1271788
2017-07-31,242.50,244.95,230.00,231.93,1216632
2017-08-07,231.75,236.75,215.05,224.68,771516
2017-08-14,225.80,229.75,220.27,226.43,313394
