Date,Open,High,Low,Close,Volume
2017-10-16,660.10,748.00,651.00,667.65,8530
2017-10-23,637.25,684.85,592.40,656.55,16334
2017-10-30,656.55,673.50,630.30,651.55,13766
2017-11-06,650.00,674.90,642.00,663.00,7125
2017-11-13,663.00,674.95,633.40,661.30,16291
2017-11-20,651.00,684.00,638.00,650.45,27458
2017-11-27,650.00,662.00,637.00,642.00,20164
2017-12-04,640.00,653.95,630.00,638.35,10675
2017-12-11,645.00,675.90,580.00,619.75,14558
2017-12-18,610.00,660.00,592.00,653.15,20218
2017-12-26,649.00,733.40,645.00,710.15,36878
2018-01-01,728.20,730.00,665.10,699.40,38404
2018-01-08,686.75,717.50,677.20,698.20,16158
2018-01-15,684.20,712.00,672.70,691.15,28764
2018-01-22,711.90,711.90,655.70,702.55,9132
2018-01-29,693.00,703.80,620.00,624.50,14443
2018-02-05,610.00,700.00,570.00,634.55,36970
2018-02-12,636.75,669.50,627.50,635.10,10775
2018-02-19,654.15,654.15,616.05,626.80,7458
2018-02-26,635.00,648.90,610.00,617.40,6444
2018-03-05,633.00,645.50,523.60,601.95,13756
2018-03-12,626.00,626.00,600.00,609.05,15126
2018-03-19,610.00,632.00,590.10,599.55,10672
2018-03-26,617.50,617.50,570.00,572.95,6153
2018-04-02,616.00,634.95,581.00,589.25,10593
2018-04-09,605.00,611.00,575.00,576.40,11324
2018-04-16,590.00,593.00,565.05,567.35,17105
2018-04-23,583.50,583.50,546.00,551.65,15856
2018-04-30,551.65,574.95,547.05,568.80,9952
2018-05-07,568.80,584.35,542.00,550.70,23283
2018-05-14,560.00,563.80,532.10,550.75,25464
2018-05-21,550.00,559.90,522.00,532.25,24601
2018-05-28,500.00,547.60,447.10,525.70,30322
2018-06-04,525.05,538.90,478.80,514.30,11184
2018-06-11,520.00,523.70,498.00,504.20,6466
2018-06-18,517.90,517.90,485.00,489.45,5698
2018-06-25,499.50,499.50,442.00,444.85,11109
2018-07-02,460.00,475.95,415.50,460.05,16514
2018-07-09,478.50,484.00,460.20,470.00,10628
2018-07-16,470.00,499.70,436.00,448.35,6195
2018-07-23,460.00,490.45,440.00,479.10,7044
2018-07-30,475.00,507.00,470.00,479.65,20985
2018-08-06,483.00,499.00,423.00,428.55,24595
2018-08-13,440.00,440.00,400.10,419.45,16130
2018-08-20,425.00,459.85,416.80,436.05,6443
2018-08-27,440.00,449.40,435.00,436.90,6617
2018-09-03,437.05,448.90,433.00,436.70,13518
2018-09-10,441.90,447.45,430.00,436.25,6293
2018-09-17,440.00,442.00,430.00,430.20,11605
2018-09-24,436.90,437.85,380.00,389.95,16025
2018-10-01,385.00,423.95,372.00,391.90,26439
2018-10-08,419.95,428.00,352.75,410.55,27949
2018-10-15,413.00,439.50,410.00,410.00,7764
2018-10-22,418.00,438.90,401.05,403.60,9638
2018-10-29,411.75,424.50,385.50,404.80,13935
2018-11-05,457.00,518.80,405.80,469.30,64960
2018-11-12,478.00,479.85,429.00,433.55,17929
2018-11-19,459.95,459.95,415.00,425.70,7804
2018-11-26,419.00,444.95,415.00,436.35,11396
2018-12-03,425.00,441.00,405.00,407.30,9077
2018-12-10,408.00,429.50,399.00,404.25,15067
2018-12-17,424.00,478.00,404.40,454.20,10242
2018-12-24,480.90,480.90,410.00,425.40,4331
2018-12-31,443.95,456.85,414.20,419.80,3865
2019-01-07,437.45,457.50,416.50,439.70,4743
2019-01-14,449.45,459.00,422.00,422.30,6995
2019-01-21,422.30,435.00,406.00,409.90,4633
2019-01-28,410.00,431.00,396.40,418.90,8029
2019-02-04,415.00,429.95,398.00,407.60,17045
2019-02-11,408.50,410.00,355.60,358.40,10282
2019-02-18,358.00,370.95,346.60,368.25,40455
2019-02-25,370.05,385.00,352.05,368.10,6212
2019-03-05,369.00,410.00,369.00,399.25,5324
2019-03-11,404.95,418.85,382.65,384.60,11485
2019-03-18,394.85,398.15,367.00,377.50,13613
2019-03-25,384.00,387.95,355.00,367.55,21044
2019-04-01,368.45,474.85,368.45,405.65,40450
2019-04-08,421.80,421.80,379.00,390.75,9376
2019-04-15,390.45,397.05,384.05,394.55,8491
2019-04-22,396.95,414.00,380.00,396.20,7404
2019-04-30,401.85,401.85,380.80,390.65,1839
2019-05-06,393.95,395.00,353.05,369.05,16126
2019-05-13,374.60,379.90,352.50,365.15,5994
2019-05-20,380.00,387.85,355.05,384.65,9435
2019-05-27,384.00,400.00,365.00,379.65,21068
2019-06-03,380.00,380.00,358.00,362.55,11605
2019-06-10,370.00,371.85,349.55,360.10,7287
2019-06-17,369.00,369.00,320.25,331.00,7137
2019-06-24,345.55,348.50,324.05,343.75,5706
2019-07-01,350.50,350.50,330.00,333.95,4531
2019-07-08,334.00,339.45,313.00,330.45,6099
2019-07-15,333.90,337.50,304.00,312.75,10534
2019-07-22,310.00,324.40,302.50,314.95,40559
2019-07-29,320.45,320.45,290.00,299.65,6433
2019-08-05,285.00,302.00,272.75,290.00,28363
2019-08-13,301.80,301.80,274.05,287.30,8457
2019-08-19,286.00,292.05,272.00,276.65,11055
2019-08-26,273.00,288.00,273.00,276.95,6150
2019-09-03,277.50,288.00,267.05,276.30,4965
2019-09-09,283.95,309.50,273.00,293.60,22676
2019-09-16,293.50,299.95,282.00,295.00,8587
2019-09-23,303.95,310.00,286.35,295.10,10633
2019-09-30,299.15,301.95,275.35,283.65,3851
2019-10-07,281.05,298.00,255.65,257.30,10108
2019-10-14,255.00,265.00,241.60,242.55,26414
2019-10-22,244.55,265.00,225.00,263.20,25928
2019-10-29,263.20,294.95,256.20,280.30,9759
2019-11-04,285.00,293.00,270.05,276.10,19341
2019-11-11,270.05,289.95,270.05,281.80,8446
2019-11-18,273.50,292.90,256.20,260.60,12735
2019-11-25,276.35,290.00,256.60,278.00,10226
2019-12-02,294.75,294.75,255.00,263.60,9100
2019-12-09,258.55,272.95,256.20,265.00,8085
2019-12-16,255.00,277.00,245.05,249.35,12691
2019-12-23,257.90,278.00,246.10,264.40,12930
2019-12-30,258.65,273.00,252.25,261.20,13586
2020-01-06,260.55,265.95,252.50,258.25,38016
2020-01-13,258.60,305.00,258.55,294.90,23916
2020-01-20,295.00,308.70,266.65,286.80,70265
2020-01-27,285.00,309.80,277.60,295.00,28384
2020-02-03,285.00,333.55,275.25,306.35,33855
2020-02-10,310.10,321.95,273.20,291.45,36267
2020-02-17,282.35,295.00,271.05,287.00,17455
2020-02-24,281.00,291.95,250.00,268.05,26245
2020-03-02,269.00,281.20,242.00,252.90,24142
2020-03-09,252.80,253.95,180.00,190.75,52707
2020-03-16,175.15,200.00,162.00,173.75,19035
2020-03-23,141.00,171.75,130.00,155.70,20550
2020-03-30,164.00,174.95,144.75,163.20,15819
2020-04-07,176.00,181.50,163.20,167.30,8156
2020-04-13,175.00,196.00,155.20,189.70,11434
2020-04-20,189.70,207.00,181.50,195.95,25211
2020-04-27,195.95,262.90,186.70,256.80,44190
2020-05-04,255.00,255.00,216.65,220.80,15892
2020-05-11,220.05,230.00,215.00,221.05,7519
2020-05-18,215.00,248.70,215.00,235.20,13842
2020-05-26,227.00,254.50,225.00,233.95,5305
2020-06-01,239.00,250.50,225.05,249.25,12299
2020-06-08,254.00,255.00,231.05,240.20,14254
2020-06-15,251.50,277.00,237.15,243.15,113224
2020-06-22,240.20,263.90,235.05,260.60,56828
2020-06-29,262.05,279.00,254.00,255.85,20986
2020-07-06,256.05,319.00,255.80,290.15,184421
2020-07-13,296.85,296.85,263.75,284.20,25930
2020-07-20,285.00,304.90,282.05,285.70,30500
2020-07-27,285.70,299.00,262.00,276.65,58491
2020-08-03,275.10,346.40,274.50,333.55,106862
2020-08-10,333.80,409.90,313.50,394.80,159252
2020-08-17,404.00,465.00,403.00,443.15,217546
2020-08-24,440.00,445.00,415.00,417.25,34426
2020-08-31,414.25,423.70,367.35,402.30,21745
2020-09-07,410.00,413.00,350.00,391.95,16981
2020-09-14,389.00,420.00,380.10,384.60,20464
2020-09-21,370.15,384.85,353.80,371.40,25203
2020-09-28,374.60,390.00,352.55,364.95,7983
2020-10-05,370.00,382.00,355.00,365.10,36981
2020-10-12,365.00,387.00,356.25,361.20,9406
2020-10-19,366.05,384.95,353.75,370.00,10187
2020-10-26,361.05,386.95,361.00,364.70,9432
2020-11-02,373.00,381.05,353.80,379.50,7261
2020-11-09,380.95,420.00,361.10,391.55,33669
2020-11-17,391.00,399.35,366.40,372.00,21635
2020-11-23,378.00,382.00,357.10,371.50,18826
2020-12-01,379.95,381.50,367.00,377.40,16183
2020-12-07,376.05,460.00,373.00,409.10,137412
2020-12-14,410.00,415.00,395.00,397.00,35710
2020-12-21,396.05,399.85,353.65,384.05,31983
2020-12-28,387.85,398.00,374.25,387.50,19762
2021-01-04,387.50,397.65,377.00,378.25,22350
2021-01-11,395.00,395.00,354.00,355.75,26774
2021-01-18,361.95,364.95,342.05,345.45,19209
2021-01-25,343.25,356.50,336.05,337.90,10493
2021-02-01,357.95,415.00,337.20,394.15,134400
2021-02-08,397.50,411.30,378.85,384.75,49696
2021-02-15,400.00,400.00,366.15,377.90,52071
2021-02-22,377.95,385.00,366.00,373.95,24074
2021-03-01,376.10,437.00,369.25,397.25,75402
2021-03-08,405.00,425.00,397.75,415.85,34148
2021-03-15,415.30,424.00,382.00,390.20,22237
2021-03-22,398.00,407.25,364.35,369.40,15363
2021-03-30,375.10,456.00,360.00,432.55,132619
2021-04-05,426.00,430.00,405.75,415.35,37842
2021-04-12,415.40,415.40,375.10,392.05,29366
2021-04-19,400.00,401.00,370.55,392.55,25742
2021-04-26,392.75,509.00,386.00,477.20,219512
2021-05-03,485.00,515.00,455.80,472.55,56447
2021-05-10,482.00,495.90,445.45,451.10,12323
2021-05-17,471.00,498.10,452.10,472.20,40271
2021-05-24,480.00,494.90,459.95,465.10,20745
2021-05-31,480.35,540.00,472.15,490.25,169666
2021-06-07,481.00,495.00,471.95,477.65,34612
2021-06-14,480.00,500.00,465.00,474.70,44830
2021-06-21,468.00,500.00,468.00,488.80,31276
2021-06-28,495.00,574.00,481.65,539.30,381117
2021-07-05,546.35,561.10,509.00,540.70,152441
2021-07-12,549.00,549.05,524.55,528.55,56593
2021-07-19,528.55,567.00,502.05,552.80,125854
2021-07-26,564.00,604.00,551.10,565.55,281760
2021-08-02,575.00,575.00,544.90,550.95,73534
2021-08-09,558.95,558.95,481.00,519.20,135568
2021-08-16,520.65,593.00,520.05,578.50,316314
2021-08-23,570.00,589.40,518.20,535.75,332774
2021-08-30,535.75,542.90,523.00,530.00,39338
2021-09-06,525.00,537.95,513.75,517.55,22463
2021-09-13,517.55,539.20,489.70,531.00,72148
2021-09-20,530.00,538.90,516.55,530.35,60374
2021-09-27,530.05,552.65,515.05,539.75,57023
2021-10-04,542.50,573.95,536.55,552.60,67251
2021-10-11,569.85,577.00,543.10,547.10,47036
2021-10-18,560.00,564.85,520.05,521.25,64396
2021-10-25,520.00,547.00,505.00,508.10,24261
2021-11-01,502.10,551.00,502.10,544.85,34531
2021-11-08,553.00,612.00,542.20,556.05,155506
2021-11-15,536.05,547.00,498.00,499.70,76377
2021-11-22,500.00,528.85,490.00,496.40,83639
2021-11-29,486.55,508.40,486.00,501.75,53945
2021-12-06,501.85,523.00,488.00,506.30,49761
2021-12-13,513.30,539.75,503.85,513.50,36523
2021-12-20,513.50,527.40,498.10,506.10,37049
2021-12-27,498.10,525.00,496.70,514.75,21846
2022-01-03,529.00,577.00,517.35,537.50,73018
2022-01-10,554.00,554.00,525.00,541.15,41984
2022-01-17,541.15,559.95,527.00,531.20,29672
2022-01-24,547.15,575.40,500.00,552.05,60110
2022-01-31,555.00,560.00,529.15,541.80,25653
2022-02-07,555.00,662.00,547.65,573.50,618137
2022-02-14,522.00,727.00,522.00,718.85,576543
2022-02-21,748.70,837.00,642.35,701.40,1275348
2022-02-28,704.40,755.00,666.00,717.55,231548
2022-03-07,695.00,824.00,679.05,766.65,346127
2022-03-14,773.00,773.00,696.10,704.60,150418
2022-03-21,712.90,736.70,662.40,677.95,205229
2022-03-28,677.95,795.55,667.85,778.00,238795
2022-04-04,798.70,878.30,780.00,833.65,331430
2022-04-11,840.25,900.00,821.00,827.25,157117
2022-04-18,833.25,979.80,827.80,835.55,494310
2022-04-25,839.25,848.85,789.75,795.65,105198
2022-05-02,793.20,836.25,756.35,781.35,64606
2022-05-09,781.35,793.05,644.60,693.05,130689
2022-05-16,693.05,837.90,684.90,815.40,118494
2022-05-23,832.00,933.70,702.35,912.05,417157
2022-05-30,911.00,954.75,872.60,914.15,259291
2022-06-06,910.00,917.70,864.30,881.80,67777
2022-06-13,851.00,879.00,800.05,803.00,50087
2022-06-20,804.05,819.50,800.00,802.30,47408
2022-06-27,812.25,889.80,809.25,843.80,57434
2022-07-04,849.95,984.00,798.60,967.80,146045
2022-07-11,979.95,1067.25,942.35,1020.25,375061
2022-07-18,1020.25,1057.90,985.00,1044.35,104200
2022-07-25,1049.45,1104.00,1002.35,1036.05,115233
2022-08-01,1034.90,1037.85,971.85,1027.20,84215
2022-08-08,1045.00,1190.00,1020.85,1125.15,216959
2022-08-16,1124.15,1307.90,1086.60,1242.30,326331
2022-08-22,1259.90,1399.00,1217.60,1297.55,208518
2022-08-29,1270.80,1463.10,1270.80,1441.25,157500
2022-09-05,1458.00,1541.80,1326.00,1338.05,201258
2022-09-12,1365.00,1396.00,1170.60,1198.40,295619
2022-09-19,1200.00,1231.95,1093.90,1134.85,206520
2022-09-26,1120.00,1193.80,1056.00,1176.45,236259
2022-10-03,1192.00,1215.00,1111.15,1211.30,119925
2022-10-10,1200.00,1271.95,1175.50,1230.15,138370
2022-10-17,1207.00,1355.00,1205.15,1293.85,127613
2022-10-24,1314.45,1349.90,1235.00,1247.90,86055
2022-10-31,1266.65,1272.00,1117.40,1149.20,103245
2022-11-07,1160.60,1449.90,1160.60,1431.60,307293
2022-11-14,1434.00,1695.00,1368.05,1611.05,348700
2022-11-21,1670.00,1709.00,1545.20,1612.40,210641
2022-11-28,1620.00,1669.65,1552.00,1607.15,123322
2022-12-05,1607.10,1802.00,1590.10,1634.55,214545
2022-12-12,1666.45,1667.20,1532.80,1547.85,87382
2022-12-19,1566.90,1590.75,1322.70,1337.55,118604
2022-12-26,1310.00,1560.00,1310.00,1526.45,135368
2023-01-02,1532.75,1595.00,1431.40,1443.75,73785
2023-01-09,1469.90,1469.90,1353.00,1430.00,79092
2023-01-16,1450.00,1458.60,1355.00,1360.25,47016
2023-01-23,1387.80,1400.00,1296.00,1309.60,71528
2023-01-30,1308.95,1360.00,1272.55,1343.80,52676
2023-02-06,1343.50,1475.00,1340.20,1412.15,92766
2023-02-13,1449.00,1480.00,1366.00,1374.95,50243
2023-02-20,1372.00,1417.00,1312.10,1342.50,23977
2023-02-27,1336.00,1349.40,1260.05,1303.55,45324
2023-03-06,1303.55,1350.00,1275.00,1317.15,31148
2023-03-13,1307.00,1324.45,1257.00,1288.55,40437
2023-03-20,1248.95,1351.00,1248.95,1310.70,35385
2023-03-27,1320.00,1432.45,1265.00,1408.80,44985
2023-04-03,1423.75,1451.90,1402.00,1431.45,25480
2023-04-10,1435.45,1552.25,1432.35,1450.20,67621
2023-04-17,1450.00,1555.00,1425.00,1500.45,48010
2023-04-24,1500.45,1545.00,1468.00,1511.65,35055
2023-05-02,1519.90,1660.00,1481.10,1490.10,119411
2023-05-08,1495.00,1610.00,1493.00,1579.05,42049
2023-05-15,1610.00,1628.85,1530.00,1576.45,36548
2023-05-22,1571.00,1668.00,1571.00,1624.25,109161
2023-05-29,1688.95,1688.95,1411.40,1472.70,231916
2023-06-05,1494.70,1545.00,1461.20,1464.35,78937
2023-06-12,1484.90,1511.95,1444.40,1455.65,65123
2023-06-19,1469.95,1492.10,1344.70,1419.35,251378
2023-06-26,1420.00,1442.95,1403.00,1427.20,44200
2023-07-03,1446.80,1469.50,1395.05,1400.70,59163
2023-07-10,1418.50,1645.00,1407.90,1632.80,263584
2023-07-17,1635.00,1669.45,1535.45,1614.15,167741
2023-07-24,1631.05,1816.70,1605.00,1662.55,390340
2023-07-31,1662.55,1779.00,1635.20,1754.60,143158
2023-08-07,1676.65,1894.20,1581.55,1758.90,518961
2023-08-14,1768.00,1837.45,1702.40,1735.20,73176
2023-08-21,1745.00,1880.00,1708.10,1864.90,146702
2023-08-28,1889.65,1948.00,1800.05,1911.40,162367
2023-09-04,1911.35,1966.60,1850.20,1916.40,80141
2023-09-11,1958.95,2199.00,1713.10,2096.45,271430
2023-09-18,2096.45,2133.00,2038.55,2093.35,48684
2023-09-25,2093.00,2250.00,2087.15,2163.25,72459
2023-10-03,2177.70,2203.45,2098.00,2173.25,28763
2023-10-09,2108.00,2205.00,2108.00,2178.40,25541
2023-10-16,2199.95,2365.00,2195.00,2225.35,77444
2023-10-23,2238.65,2238.65,1926.05,2044.75,71882
2023-10-30,2049.95,2177.00,2017.70,2149.50,36921
2023-11-06,2155.90,2180.00,2075.00,2175.95,51548
2023-11-13,2177.00,2255.00,2168.00,2238.35,29421
2023-11-20,2240.00,2356.10,2190.05,2291.40,55415
2023-11-28,2306.00,2361.95,2256.00,2281.20,46691
2023-12-04,2327.00,2336.05,2190.00,2209.45,36932
2023-12-11,2209.45,2301.70,2141.00,2161.10,34981
2023-12-18,2175.75,2175.95,2036.05,2131.95,39255
2023-12-26,2134.95,2359.45,2044.75,2262.70,158077
2024-01-01,2250.25,2284.95,2150.00,2179.80,34190
2024-01-08,2200.00,2214.45,2124.90,2148.45,28808
2024-01-15,2176.90,2220.00,2095.00,2132.25,35831
2024-01-23,2125.05,2150.10,2092.15,2137.95,13766
2024-01-29,2150.00,2173.00,2110.50,2131.35,34257
2024-02-05,2131.35,2430.00,2071.15,2260.85,173375
2024-02-12,2260.85,2318.95,2156.10,2259.45,22813
2024-02-19,2277.50,2335.40,2174.00,2219.50,14687
2024-02-26,2220.05,2257.75,2158.90,2215.10,14278
2024-03-04,2229.95,2490.00,2172.05,2463.45,93034
2024-03-11,2498.95,2498.95,2215.05,2288.10,37284
2024-03-18,2300.00,2300.00,2170.45,2201.60,10702
2024-03-26,2170.10,2299.95,2135.00,2233.85,11168
2024-04-01,2237.35,2408.85,2170.00,2232.60,21517
2024-04-08,2233.00,2249.95,2168.05,2187.05,10487
2024-04-15,2187.05,2211.45,2059.30,2102.10,10638
2024-04-22,2102.95,2198.80,2062.00,2074.05,16497
2024-04-29,2098.75,2195.55,2045.00,2177.50,28786
2024-05-06,2224.40,2224.40,2050.55,2065.25,17382
2024-05-13,2083.65,2169.80,2032.00,2127.85,21426
2024-05-21,2130.00,2160.00,2072.05,2106.20,11436
2024-05-27,2086.00,2228.40,2056.00,2151.80,38717
2024-06-03,2151.00,2215.00,2015.00,2095.10,47164
2024-06-10,2100.00,2237.95,2080.00,2211.25,40179
2024-06-18,2211.95,2385.00,2200.00,2363.05,99948
2024-06-24,2424.00,2650.00,2383.75,2508.35,134938
2024-07-01,2515.80,2741.25,2435.55,2531.15,146488
2024-07-08,2545.00,2650.00,2500.00,2537.60,40754
2024-07-15,2543.95,2572.60,2416.80,2511.40,22751
2024-07-22,2501.60,2550.00,2411.00,2520.60,19825
2024-07-29,2575.00,3240.00,2505.00,3199.05,469612
2024-08-05,3070.00,3225.00,3002.35,3106.70,44880
2024-08-12,3080.10,3099.95,2924.90,3029.30,15122
2024-08-19,3048.00,3299.40,3047.95,3243.80,53052
2024-08-26,3288.00,3398.45,3134.75,3320.30,77277
2024-09-02,3360.00,3525.00,3250.00,3421.95,50573
2024-09-09,3470.85,3494.85,3282.70,3330.30,33316
2024-09-16,3360.00,3595.00,3206.55,3482.85,45956
2024-09-23,3535.40,3671.45,3382.35,3420.60,44179
2024-09-30,3398.20,3470.00,3206.70,3278.40,12390
2024-10-07,3300.00,3573.50,3155.70,3413.65,31267
2024-10-14,3434.00,3475.00,3290.45,3379.20,44192
2024-10-21,3371.15,3434.00,3022.35,3119.90,36337
2024-10-28,3119.90,3180.00,3000.30,3161.35,16540
2024-11-04,3161.35,3344.90,3104.55,3195.65,16740
2024-11-11,3195.00,3360.00,3040.05,3178.85,44337
2024-11-18,3178.80,3178.80,3032.05,3068.00,9840
2024-11-25,3111.15,3166.00,3004.40,3116.25,24404
2024-12-02,3127.00,3316.75,3117.80,3247.55,20156
2024-12-09,3255.65,3405.00,3156.80,3261.95,16041
2024-12-16,3308.40,3397.45,3110.70,3151.55,16920
2024-12-23,3159.55,3182.00,3057.85,3159.15,5948
2024-12-30,3158.10,3250.00,3113.00,3203.15,7392
2025-01-06,3174.05,3350.00,3122.35,3258.25,14570
2025-01-13,3260.00,3830.00,3108.95,3611.65,81197
2025-01-20,3580.00,3625.00,3099.95,3117.30,31579
2025-01-27,3133.70,3499.95,3015.05,3388.20,20652
2025-02-03,3364.90,3364.90,3140.00,3293.95,12026
2025-02-10,3293.95,3700.00,3000.00,3484.75,82769
2025-02-17,3410.40,4225.00,3388.55,4003.85,221927
2025-02-24,3997.25,4320.00,3780.35,3908.70,95281
2025-03-03,3852.00,4776.90,3723.80,4668.50,205162
2025-03-10,4668.50,4668.50,4213.35,4356.45,88346
2025-03-17,4418.05,4743.85,4303.85,4581.65,99463
2025-03-24,4585.00,4900.00,4373.35,4565.35,119793
2025-04-01,4565.35,4567.05,4116.05,4152.00,62482
2025-04-07,3665.00,4175.00,3660.00,3889.35,53046
2025-04-15,3910.10,4079.90,3910.10,3986.70,26855
2025-04-21,3976.00,4058.40,3632.30,3686.60,60618
2025-04-28,3705.90,3779.90,3524.60,3602.50,52205
2025-05-05,3602.00,3679.80,3501.00,3635.30,34461
2025-05-12,3662.50,4000.00,3662.50,3836.30,48769
2025-05-19,3856.50,4160.00,3770.20,4046.20,58647
2025-05-26,4006.00,4460.00,3986.00,4215.90,111110
2025-06-02,4078.50,4078.50,3765.50,3780.20,80821
2025-06-09,3774.60,3950.00,3599.90,3740.40,37692
2025-06-16,3707.00,3755.00,3600.00,3635.10,29278
2025-06-23,3605.00,3900.00,3605.00,3667.00,44383
2025-06-30,3686.30,3732.90,3652.00,3687.90,22126
2025-07-07,3707.00,3758.50,3630.00,3727.00,33386
2025-07-14,3754.90,3950.00,3697.50,3783.80,56294
2025-07-21,3803.00,3803.00,3625.00,3641.90,19878
2025-07-28,3607.00,3795.00,3400.00,3436.90,83726
2025-08-04,3412.20,3548.30,3378.10,3481.40,25014
2025-08-11,3481.40,3500.00,3312.00,3352.50,14801
2025-08-18,3340.80,3492.00,3310.10,3452.50,14714
2025-08-25,3400.00,3425.00,3323.50,3345.80,21575
2025-09-01,3379.30,3452.80,3340.00,3373.60,21230
2025-09-08,3387.00,3474.00,3350.00,3389.20,12333
2025-09-15,3389.10,3471.30,3365.00,3454.70,13505
2025-09-22,3454.70,3465.00,3276.20,3312.60,13926
2025-09-29,3312.60,3450.00,3251.00,3403.20,7019
2025-10-06,3450.00,3458.30,3345.10,3402.10,8466
2025-10-13,3390.00,3575.00,3355.50,3545.40,20800
2025-10-20,3563.80,3589.80,3370.00,3398.60,7826
2025-10-27,3395.00,3405.90,3310.00,3314.70,21310
2025-11-03,3314.00,3385.00,3250.00,3325.60,8360
2025-11-10,3333.00,3355.00,3151.10,3214.90,22929
2025-11-17,3200.00,3346.50,3066.40,3098.70,30516
2025-11-24,3119.80,3175.00,3060.00,3149.90,14494
2025-12-01,3149.90,3168.30,3030.30,3054.10,12969
2025-12-08,3096.00,3096.00,2975.00,2989.80,16952
2025-12-15,2989.80,3110.00,2900.00,2932.80,22648
2025-12-22,2962.20,3100.00,2895.90,3067.70,12875
2025-12-29,3037.00,3115.50,2967.70,3006.00,7834
2026-01-05,2950.00,3020.00,2850.00,2910.00,20428
2026-01-12,2852.70,2895.00,2751.10,2805.80,20578
2026-01-19,2791.60,2849.20,2550.00,2644.80,86502
2026-01-27,2655.10,2673.20,2570.00,2607.60,10172
2026-02-02,2605.80,2793.80,2570.00,2690.60,23182
2026-02-09,2705.00,3054.00,2556.10,2884.60,124332
2026-02-16,2799.90,3055.80,2799.90,2825.90,12747
2026-02-23,2825.90,2878.40,2623.80,2663.60,10147
2026-03-02,2552.70,2686.90,2545.00,2568.20,10958
2026-03-09,2568.20,2671.60,2401.40,2422.60,45344
2026-03-16,2459.50,2505.00,2298.30,2334.70,32156
2026-03-23,2300.00,2447.40,2200.00,2354.70,29985
2026-03-30,2370.00,2439.90,2251.30,2319.60,14259
2026-04-06,2319.60,2539.00,2310.10,2516.60,11157
2026-04-13,2500.00,2705.90,2410.00,2653.50,13469
2026-04-20,2689.90,2690.90,2568.10,2609.00,10223
2026-04-27,2609.00,2779.90,2600.00,2655.90,10392
2026-05-04,2650.00,2909.40,2636.40,2846.20,18847
2026-05-11,2826.00,2826.10,2522.50,2656.00,10895
2026-05-18,2640.00,2648.00,2510.00,2587.90,6370
2026-05-25,2615.00,2694.90,2536.00,2562.00,7209
2026-06-01,2562.00,2654.00,2480.00,2628.00,6676
2026-06-08,2611.90,2650.00,2428.90,2519.40,8196
2026-06-15,2520.10,3046.20,2486.50,3029.40,46367
2026-06-22,3034.40,3067.50,2863.50,2997.30,39635
2026-06-29,2999.80,3200.00,2915.00,2957.30,58635
2026-07-06,2977.80,3027.30,2839.10,3019.10,16559
2026-07-13,2971.20,3400.00,2940.10,3215.80,87872
2026-07-20,3173.20,3470.00,3045.00,3226.50,39883
2026-07-27,3278.40,3298.90,3106.20,3153.40,11883
2026-08-03,3165.00,3280.50,3115.00,3148.90,12855
2026-08-10,3148.90,4410.90,3130.10,4088.80,710283
2026-08-17,4099.60,4290.80,3966.40,4101.30,71378
2026-08-24,4106.00,4137.00,3790.00,3821.70,27747
2026-08-31,3825.50,4157.20,3792.40,4091.90,51865
2026-09-07,4140.00,4140.00,3800.00,3871.00,62877
2026-09-15,3879.30,3936.20,3655.00,3844.20,24351
