Date,Open,High,Low,Close,Volume
2004-09-06,5.95,6.13,5.47,5.64,555142
2004-09-13,5.79,6.03,5.32,5.98,3809852
2004-09-20,6.15,6.55,5.97,6.55,5041603
2004-09-27,6.83,7.20,6.56,6.59,8163312
2004-10-04,6.52,7.13,6.28,7.13,3667936
2004-10-11,7.98,8.25,7.18,7.43,1356526
2004-10-18,7.49,7.57,6.91,7.01,1460926
2004-10-25,6.96,7.09,6.66,6.92,698343
2004-11-01,7.02,7.69,7.02,7.38,3008962
2004-11-08,7.66,7.67,7.23,7.25,875330
2004-11-16,7.13,7.31,6.80,7.00,516860
2004-11-22,7.09,7.25,6.84,6.97,1167659
2004-11-29,6.93,7.15,6.89,7.08,1071410
2004-12-06,7.43,7.83,7.05,7.62,4628401
2004-12-13,7.68,8.66,7.65,7.94,3756800
2004-12-20,8.01,8.10,7.49,7.70,2750223
2004-12-27,7.85,8.01,7.21,7.85,2421366
2005-01-03,8.24,8.76,7.78,8.23,6138921
2005-01-10,8.62,8.62,7.61,7.74,1535045
2005-01-17,7.69,7.85,7.35,7.66,728820
2005-01-24,7.69,8.74,7.69,8.68,3533923
2005-01-31,8.91,11.30,8.79,10.51,10456593
2005-02-07,10.68,11.05,10.24,10.61,3361184
2005-02-14,10.89,13.29,10.43,13.29,11539834
2005-02-21,13.48,13.88,11.78,12.28,8756515
2005-02-28,12.51,12.90,12.15,12.31,5105670
2005-03-07,12.43,13.36,11.84,12.89,6834127
2005-03-14,13.16,13.36,12.03,12.25,2233339
2005-03-21,11.95,12.57,11.42,11.68,1816185
2005-03-28,11.94,12.71,11.54,12.39,3616761
2005-04-04,12.55,12.75,12.08,12.17,1300017
2005-04-11,12.15,12.75,11.71,11.89,1154223
2005-04-18,11.42,12.54,11.42,12.26,1471472
2005-04-25,12.07,13.96,11.91,12.69,6827533
2005-05-02,12.96,13.81,12.43,12.98,5108782
2005-05-09,13.07,14.17,12.79,13.32,4036977
2005-05-16,12.55,14.13,12.55,13.81,3527650
2005-05-23,13.89,14.01,12.96,13.05,1016827
2005-05-30,13.56,13.56,13.08,13.44,1533489
2005-06-06,13.87,15.02,13.63,14.39,2794137
2005-06-13,14.33,15.99,14.22,15.05,3259254
2005-06-20,14.82,15.04,13.97,14.39,1014431
2005-06-27,14.58,15.30,13.69,15.06,3142999
2005-07-04,15.18,16.15,14.13,14.88,611603
2005-07-11,15.75,19.22,14.86,18.53,4829865
2005-07-18,18.62,19.72,18.26,18.87,1715540
2005-07-25,18.71,19.07,16.81,17.21,1034535
2005-08-01,16.20,19.22,16.20,18.84,1391968
2005-08-08,19.43,19.43,17.21,19.10,1222538
2005-08-16,19.39,20.12,18.24,19.87,971629
2005-08-22,20.04,20.08,18.22,19.63,739218
2005-08-29,20.16,20.81,19.44,20.11,1307105
2005-09-05,20.12,20.24,19.11,19.96,1080153
2005-09-12,19.48,20.73,19.24,20.62,713433
2005-09-19,20.63,21.05,18.10,18.63,764188
2005-09-26,18.62,20.08,18.62,19.48,748900
2005-10-03,19.52,20.04,18.62,18.89,412337
2005-10-10,19.19,19.67,18.34,19.27,245081
2005-10-17,18.44,19.33,17.01,17.55,628570
2005-10-24,17.61,17.61,15.02,16.54,409447
2005-10-31,16.20,17.37,16.15,17.21,115267
2005-11-07,16.81,19.43,16.59,18.93,733439
2005-11-14,18.83,18.83,17.50,18.18,207119
2005-11-21,18.22,18.62,17.41,17.52,376920
2005-11-28,17.82,18.42,17.21,17.57,1367863
2005-12-05,17.77,18.16,16.71,16.96,471934
2005-12-12,17.13,17.80,16.04,16.44,263629
2005-12-19,16.32,18.02,16.00,17.13,904598
2005-12-26,17.01,22.27,16.73,20.03,1462531
2006-01-02,20.12,22.16,19.72,22.12,1210930
2006-01-09,21.86,23.07,21.86,22.68,360372
2006-01-16,22.47,23.40,21.86,22.72,591795
2006-01-23,24.21,24.25,23.12,23.52,613850
2006-01-30,23.48,23.48,21.46,21.72,460696
2006-02-06,20.45,23.24,20.45,23.08,652923
2006-02-13,23.00,24.50,22.15,23.09,957798
2006-02-20,23.28,26.32,22.68,24.34,1884525
2006-02-27,26.52,26.52,24.10,25.73,1752316
2006-03-06,25.91,27.23,25.58,27.04,2349568
2006-03-13,27.17,28.34,26.56,27.58,1772321
2006-03-20,27.94,31.74,27.53,30.74,2214815
2006-03-27,31.99,36.76,30.61,36.75,1175834
2006-04-03,37.78,38.46,33.48,34.47,865970
2006-04-10,34.62,35.14,32.61,33.76,358890
2006-04-17,32.92,36.03,32.81,33.98,519132
2006-04-24,33.91,37.75,33.20,36.68,866884
2006-05-02,39.88,41.22,36.89,37.96,534890
2006-05-08,37.65,39.19,36.04,37.40,2041952
2006-05-15,36.08,38.06,33.66,34.50,981212
2006-05-22,33.73,33.73,29.56,31.47,926011
2006-05-29,32.55,32.92,27.92,27.99,422809
2006-06-05,28.14,28.14,22.64,22.73,1146542
2006-06-12,23.84,23.84,19.46,22.29,538273
2006-06-19,22.47,25.10,21.84,24.60,301195
2006-06-26,25.67,25.71,21.52,22.67,973876
2006-07-03,23.12,23.81,21.86,22.54,363780
2006-07-10,22.47,25.35,21.29,25.31,1475646
2006-07-17,25.99,27.80,22.11,22.57,3127637
2006-07-24,22.47,26.52,20.90,25.95,703653
2006-07-31,26.72,28.70,26.01,26.65,493051
2006-08-07,26.64,27.73,25.91,27.29,280794
2006-08-14,26.76,28.10,26.52,27.45,557069
2006-08-21,27.53,29.97,27.13,28.70,656059
2006-08-28,29.27,31.14,28.34,29.95,412609
2006-09-04,30.57,31.99,30.37,31.85,451089
2006-09-11,32.39,35.43,31.86,33.05,817018
2006-09-18,34.01,37.57,32.59,36.87,941201
2006-09-25,38.25,38.25,34.46,36.46,503894
2006-10-03,36.10,37.25,35.44,35.78,210478
2006-10-09,35.47,36.44,30.81,32.20,597722
2006-10-16,33.00,34.37,31.54,32.64,293366
2006-10-23,32.39,34.42,31.58,32.96,250267
2006-10-30,32.48,34.01,31.59,32.64,375364
2006-11-06,33.48,33.57,31.66,32.31,316286
2006-11-13,32.35,35.14,31.84,32.20,820920
2006-11-20,33.20,33.60,31.59,32.37,423229
2006-11-27,32.59,33.00,31.62,32.61,318928
2006-12-04,33.00,38.02,33.00,35.57,2939190
2006-12-11,34.62,37.94,31.88,36.48,1034535
2006-12-18,36.70,46.38,36.70,44.04,3928576
2006-12-26,44.90,50.92,42.52,50.92,822254
2007-01-02,50.92,53.47,47.74,48.49,1257017
2007-01-08,47.78,50.00,47.01,48.59,784490
2007-01-15,48.22,58.62,46.20,54.74,4099612
2007-01-22,55.83,55.83,48.02,50.15,1020704
2007-01-29,51.38,51.38,46.36,46.95,795086
2007-02-05,45.55,48.14,44.54,46.49,672385
2007-02-12,44.30,46.36,40.41,41.61,668409
2007-02-19,44.74,44.74,37.25,38.02,412140
2007-02-26,38.46,41.10,32.80,35.83,2051510
2007-03-05,33.44,33.81,28.63,31.57,591622
2007-03-12,30.97,34.82,30.97,32.38,428070
2007-03-19,32.43,33.81,32.19,33.16,235572
2007-03-26,33.20,33.61,29.82,31.99,983360
2007-04-02,33.96,33.96,29.76,30.87,259159
2007-04-09,31.34,33.52,31.34,32.37,755741
2007-04-16,33.22,40.08,32.56,36.51,743047
2007-04-23,36.66,36.66,33.40,33.50,213813
2007-04-30,33.97,35.10,31.58,34.20,669890
2007-05-07,33.61,35.51,31.24,34.01,792764
2007-05-14,34.78,36.43,34.01,35.30,885111
2007-05-21,35.63,42.65,34.46,40.94,1932094
2007-05-28,42.11,45.14,38.06,38.22,1513533
2007-06-04,41.08,41.08,35.75,36.98,1284531
2007-06-11,39.07,39.07,34.69,36.95,528320
2007-06-18,38.46,44.13,37.25,43.51,2253418
2007-06-25,44.33,44.54,42.11,42.94,814746
2007-07-02,42.94,50.21,41.70,43.67,1612770
2007-07-09,46.46,46.48,41.30,41.49,889112
2007-07-16,43.32,50.53,41.58,48.90,2301901
2007-07-23,49.60,52.84,47.92,49.47,1080943
2007-07-30,46.68,49.80,46.61,47.37,496385
2007-08-06,47.37,48.51,44.94,47.02,512464
2007-08-13,48.10,48.10,40.25,45.47,445038
2007-08-20,47.29,47.29,39.27,41.45,378278
2007-08-27,40.50,47.33,40.50,46.36,274546
2007-09-03,46.60,48.71,45.76,47.46,764806
2007-09-10,47.57,48.18,44.94,45.51,320830
2007-09-17,45.75,47.78,42.93,45.90,289859
2007-09-24,45.35,47.37,43.73,46.71,419870
2007-10-01,45.95,46.97,43.53,45.96,542843
2007-10-08,46.00,47.33,42.52,44.56,291069
2007-10-15,46.48,46.97,40.53,45.24,808546
