Date,Open,High,Low,Close,Volume
2007-02-12,137.00,140.00,96.20,119.55,13503747
2007-02-19,120.00,125.00,99.00,101.75,8699186
2007-02-26,102.50,110.75,92.80,105.05,3775146
2007-03-05,102.00,102.00,77.25,89.35,2190002
2007-03-12,90.50,108.75,89.55,97.50,2286232
2007-03-19,98.40,103.00,94.55,95.90,853985
2007-03-26,97.15,98.50,93.10,94.05,462094
2007-04-02,93.00,93.00,85.10,87.40,111623
2007-04-09,87.80,95.40,87.80,92.05,418905
2007-04-16,93.70,101.45,84.35,84.85,1147009
2007-04-23,87.00,89.70,77.00,77.15,958424
2007-04-30,78.00,81.25,77.55,78.35,483810
2007-05-07,79.50,93.40,78.80,85.50,4319807
2007-05-14,86.90,94.80,86.20,90.20,1928491
2007-05-21,91.50,93.40,81.55,87.05,472700
2007-05-28,88.70,90.85,84.05,84.70,372347
2007-06-04,84.90,85.75,78.50,79.65,158885
2007-06-11,84.50,85.40,75.05,81.65,354967
2007-06-18,82.85,83.20,78.50,80.35,222482
2007-06-25,81.00,83.70,79.15,80.65,360466
2007-07-02,81.60,89.35,81.00,86.10,561613
2007-07-09,87.45,91.95,80.05,81.55,691607
2007-07-16,82.65,85.50,79.55,80.00,315234
2007-07-23,81.75,81.75,62.15,76.05,134153
2007-07-30,75.00,77.00,72.60,73.00,84546
2007-08-06,71.30,79.75,70.00,71.50,130405
2007-08-13,70.55,72.95,68.00,69.55,220830
2007-08-20,72.85,73.00,63.20,63.85,59864
2007-08-27,64.35,69.75,64.00,67.80,37642
2007-09-03,68.90,79.00,67.10,73.75,235436
2007-09-10,71.15,77.95,70.50,74.25,131200
2007-09-17,72.00,78.80,72.00,73.70,114379
2007-09-24,77.00,78.30,73.00,75.65,166180
2007-10-01,76.95,77.40,72.00,72.30,106132
2007-10-08,72.00,73.00,66.00,68.20,66463
2007-10-15,71.00,71.00,57.00,64.00,79122
2007-10-22,64.95,66.80,58.10,65.20,55141
2007-10-29,65.00,69.40,57.50,59.10,95074
2007-11-05,56.45,60.40,53.35,57.60,239286
2007-11-12,55.20,64.95,55.00,61.50,182489
2007-11-19,62.60,68.00,58.00,61.00,121567
2007-11-26,62.95,74.95,59.10,74.95,270802
2007-12-03,77.55,81.40,74.00,76.20,359773
2007-12-10,74.65,88.00,74.65,82.65,448938
2007-12-17,82.50,88.85,77.25,78.55,211160
2007-12-24,79.20,83.00,78.20,81.35,93436
2007-12-31,86.00,98.50,84.00,93.10,576634
2008-01-07,90.00,96.00,75.00,77.35,182654
2008-01-14,79.50,81.75,74.00,75.25,73346
2008-01-21,81.00,81.00,50.00,62.70,95319
2008-01-28,61.45,64.85,58.00,62.75,45321
2008-02-04,60.00,88.80,60.00,73.60,441436
2008-02-11,70.00,80.90,65.50,67.55,101939
2008-02-18,68.50,72.80,67.00,69.30,35251
2008-02-25,67.10,70.85,65.10,65.65,34152
2008-03-03,64.25,66.00,54.00,56.30,36250
2008-03-10,54.10,65.00,46.00,53.95,72214
2008-03-17,49.00,53.50,45.50,47.35,33379
2008-03-24,46.00,52.90,43.65,51.70,57849
2008-03-31,51.55,77.40,51.00,71.55,466503
2008-04-07,73.00,74.50,65.30,66.10,71328
2008-04-15,60.25,70.50,60.25,66.00,48601
2008-04-21,68.75,69.50,65.00,68.05,59708
2008-04-28,66.00,75.90,66.00,73.10,178399
2008-05-05,71.10,74.50,65.50,67.30,59525
2008-05-12,64.00,70.40,64.00,68.90,28945
2008-05-20,64.00,76.90,64.00,70.90,218294
2008-05-26,71.00,71.95,56.00,67.10,80034
2008-06-02,67.00,69.50,59.20,60.10,40866
2008-06-09,57.30,61.95,54.00,60.20,45958
2008-06-16,61.55,66.45,57.05,57.40,40216
2008-06-23,58.00,58.00,52.25,54.95,67221
2008-06-30,54.50,56.00,49.00,51.50,37006
2008-07-07,52.20,56.50,50.50,53.25,33651
2008-07-14,50.65,57.50,46.05,55.35,39892
2008-07-21,53.35,58.25,53.15,54.70,27157
2008-07-28,55.05,59.50,54.20,56.35,26116
2008-08-04,54.40,61.70,54.40,57.40,49871
2008-08-11,59.95,59.95,56.10,56.35,20803
2008-08-18,57.00,57.85,51.00,53.40,29842
2008-08-25,52.10,56.10,51.25,52.75,17532
2008-09-01,52.30,54.85,52.30,53.05,24656
2008-09-08,52.85,53.80,51.65,52.15,16187
2008-09-15,48.25,50.00,44.00,49.05,58532
2008-09-22,47.70,49.90,42.05,44.40,19846
2008-09-29,42.90,44.35,36.80,37.15,71263
2008-10-06,37.50,37.50,25.60,25.65,118039
2008-10-13,25.00,31.60,22.65,23.35,69589
2008-10-20,23.00,26.70,22.00,23.45,14713
2008-10-27,23.00,27.00,21.55,26.60,16568
2008-11-03,26.05,28.90,24.60,26.50,39931
2008-11-10,28.25,28.25,22.50,23.00,32539
2008-11-17,24.00,24.00,21.00,23.35,32230
2008-11-24,23.50,27.40,22.70,25.95,29236
2008-12-01,28.90,28.90,24.25,25.00,6270
2008-12-08,26.90,27.95,24.55,27.80,17859
2008-12-15,27.00,31.50,26.00,29.10,13507
2008-12-22,29.00,30.45,26.10,28.85,20431
2008-12-29,28.25,33.20,28.25,33.15,18971
2009-01-05,31.50,33.40,26.15,28.20,13481
2009-01-12,27.60,29.00,25.15,26.50,8038
2009-01-19,28.25,28.45,20.25,21.95,25035
2009-01-27,22.05,24.20,21.15,23.15,82041
2009-02-02,22.00,26.75,18.00,22.50,75543
2009-02-09,22.50,23.45,21.50,22.95,8870
2009-02-16,19.00,22.85,19.00,21.85,9682
2009-02-24,22.00,22.80,19.65,22.25,4742
2009-03-02,21.00,22.25,19.00,19.60,5167
2009-03-09,19.10,21.90,18.25,19.45,4475
2009-03-16,19.50,22.00,19.00,20.65,16378
2009-03-23,20.50,22.70,17.00,20.60,56100
2009-03-30,20.05,23.15,19.70,22.05,7899
2009-04-06,22.90,25.80,22.15,24.15,13512
