Date,Open,High,Low,Close,Volume
2003-12-22,124.00,133.40,121.00,123.10,225078
2003-12-29,125.40,126.40,108.00,114.30,807149
2004-01-05,104.00,120.00,101.00,107.40,504327
2004-01-12,111.85,113.00,91.15,94.30,335154
2004-01-19,95.20,95.20,72.00,77.65,303624
2004-01-27,79.70,84.00,70.25,70.80,281005
2004-02-03,69.80,70.50,58.00,66.90,192577
2004-02-09,68.85,70.00,64.00,64.65,202412
2004-02-16,66.00,72.70,64.30,65.85,314788
2004-02-23,67.00,68.45,59.30,61.80,125534
2004-03-01,59.35,62.60,57.65,58.15,95559
2004-03-08,58.15,59.00,49.50,53.15,168817
2004-03-15,54.10,60.00,47.00,51.90,166129
2004-03-22,52.00,52.00,43.25,48.45,172833
2004-03-29,49.05,58.85,49.00,57.05,201673
2004-04-05,58.10,59.80,54.70,56.05,83446
2004-04-12,55.00,59.80,55.00,58.55,88648
2004-04-19,60.00,65.40,56.50,62.65,249026
2004-04-26,62.00,62.80,55.55,57.80,425715
2004-05-03,57.10,59.95,55.00,56.70,96812
2004-05-10,65.00,65.00,47.60,49.85,124924
2004-05-17,47.80,51.90,40.00,48.75,151483
2004-05-24,50.40,54.80,48.00,48.65,153245
2004-05-31,47.50,49.90,45.00,46.65,85134
2004-06-07,47.80,50.00,45.50,47.20,64653
2004-06-14,46.00,47.70,45.05,45.65,46987
2004-06-21,50.00,50.00,41.50,43.10,42895
2004-06-28,42.50,46.35,42.50,45.15,64422
2004-07-05,43.25,46.90,35.25,43.25,93148
2004-07-12,43.20,51.00,42.55,49.00,118377
2004-07-19,50.00,54.00,47.50,51.70,197004
2004-07-26,51.00,56.55,49.15,53.00,280179
2004-08-02,53.90,73.40,51.30,70.80,2030238
2004-08-09,69.00,71.35,62.20,63.45,875793
2004-08-16,63.90,65.00,61.05,63.05,314771
2004-08-23,63.70,63.75,57.50,62.50,241582
2004-08-30,63.45,67.00,62.75,63.30,463769
2004-09-06,64.00,70.00,63.50,66.25,475670
2004-09-13,66.45,69.90,64.00,64.85,504294
2004-09-20,65.30,65.90,63.50,63.95,133994
2004-09-27,64.50,66.00,62.50,64.00,159436
2004-10-04,65.50,76.45,64.00,75.00,1172303
2004-10-11,75.50,75.50,68.75,69.45,463073
2004-10-18,70.25,70.95,66.85,69.00,162756
2004-10-25,69.50,70.00,62.80,63.40,213355
2004-11-01,63.95,66.10,62.00,63.50,145743
2004-11-08,63.00,66.70,63.00,64.45,173865
2004-11-16,65.40,73.50,63.50,68.95,452683
2004-11-22,71.90,73.95,67.40,72.85,349097
2004-11-29,74.00,76.75,66.75,68.55,687477
2004-12-06,72.50,72.50,67.20,67.45,167060
2004-12-13,68.95,75.25,67.50,70.25,597796
2004-12-20,71.95,73.50,68.50,69.20,261204
2004-12-27,71.20,74.00,69.15,70.35,399767
2005-01-03,71.90,80.80,69.65,72.05,1631406
2005-01-10,74.80,74.80,65.20,68.00,329395
2005-01-17,68.00,71.05,64.20,64.85,109738
2005-01-24,64.50,65.70,58.00,63.85,133914
2005-01-31,64.60,70.00,63.55,65.05,208383
2005-02-07,65.25,68.00,63.50,66.00,218379
2005-02-14,64.75,69.95,64.75,66.05,642906
2005-02-21,67.10,68.30,62.55,63.05,229741
2005-02-28,66.00,67.10,61.70,63.00,196759
2005-03-07,63.00,67.20,62.25,62.65,338663
2005-03-14,62.65,63.75,59.00,59.85,125514
2005-03-21,60.85,61.20,54.10,54.40,81415
2005-03-28,56.70,57.80,51.55,57.40,118563
2005-04-04,58.00,60.90,57.25,58.85,90759
2005-04-11,58.50,60.90,53.50,56.05,35801
2005-04-18,54.50,59.85,53.10,53.70,73867
2005-04-25,54.60,56.00,51.70,52.10,66232
2005-05-02,54.60,54.70,52.00,54.15,50533
2005-05-09,55.80,59.70,53.50,58.75,151542
2005-05-16,59.30,64.30,56.10,62.05,196638
2005-05-23,63.05,65.00,59.25,59.85,111237
2005-05-30,58.00,65.50,58.00,64.35,308924
2005-06-06,66.95,70.80,64.50,64.95,503193
2005-06-13,64.80,66.50,58.85,59.40,148129
2005-06-20,60.60,64.00,57.50,61.35,122922
2005-06-27,60.00,64.50,57.10,57.90,97885
2005-07-04,58.10,62.00,57.75,58.65,105850
2005-07-11,61.00,61.00,58.25,60.50,110763
2005-07-18,60.70,73.00,60.00,71.00,1310514
2005-07-25,71.70,72.90,65.00,65.65,547101
2005-08-01,65.00,68.50,63.65,66.10,228285
2005-08-08,66.10,68.40,63.20,65.45,145735
2005-08-16,66.00,72.40,64.20,69.35,567729
2005-08-22,70.50,71.45,62.55,69.05,242441
2005-08-29,69.00,75.50,66.20,70.60,548693
2005-09-05,71.55,83.80,70.05,78.90,2079421
2005-09-12,79.75,79.90,72.70,75.80,518192
2005-09-19,74.30,78.00,61.10,64.35,347799
2005-09-26,67.90,69.90,59.00,61.75,224577
2005-10-03,63.00,66.90,63.00,63.65,121895
2005-10-10,65.60,65.60,59.90,60.15,62432
