Date,Open,High,Low,Close,Volume
2008-07-21,11.70,14.25,7.00,7.45,1399822
2008-07-28,7.25,7.60,6.15,6.75,115277
2008-08-04,6.90,7.80,6.50,6.90,87821
2008-08-11,7.05,7.20,6.75,6.85,34876
2008-08-18,6.90,7.00,6.45,6.80,41959
2008-08-25,6.60,7.00,6.40,6.80,35760
2008-09-01,6.55,6.75,6.40,6.60,34231
2008-09-08,6.25,7.00,6.20,6.35,26990
2008-09-15,5.50,6.10,4.65,5.20,30099
2008-09-22,5.40,5.40,4.95,4.95,20106
2008-09-29,4.95,5.35,3.50,4.40,23917
2008-10-06,3.80,4.60,3.75,4.10,20947
2008-10-13,4.95,5.10,3.25,3.70,30931
2008-10-20,3.60,3.90,2.55,3.00,19409
2008-10-27,2.65,3.50,2.50,3.10,1676
2008-11-03,3.00,4.00,2.70,3.40,53152
2008-11-10,3.00,4.00,3.00,3.75,17688
2008-11-17,4.00,4.00,2.60,3.15,11394
2008-11-24,3.15,3.65,2.85,2.85,11361
2008-12-01,2.60,3.25,2.60,2.85,7473
2008-12-08,3.25,3.25,2.30,2.80,3823
2008-12-15,3.00,4.05,2.80,3.50,11729
2008-12-22,3.85,4.25,3.10,3.65,20042
2008-12-29,3.30,4.10,3.00,4.00,21274
2009-01-05,3.95,4.50,3.20,4.30,23065
2009-01-12,3.65,3.90,3.10,3.45,13090
2009-01-19,3.30,3.75,3.00,3.05,10215
2009-01-27,3.05,3.45,3.00,3.15,7953
2009-02-02,3.00,3.60,2.65,3.00,11959
2009-02-09,3.10,3.50,2.60,3.40,10698
2009-02-16,3.05,3.65,3.00,3.35,19516
2009-02-24,4.00,4.00,3.00,3.20,39974
2009-03-02,3.05,3.25,2.80,2.85,22107
2009-03-09,2.60,2.95,2.50,2.70,6528
2009-03-16,2.60,3.15,2.40,3.05,14522
2009-03-23,2.75,3.20,2.20,2.95,32406
2009-03-30,2.90,3.40,2.70,3.20,16319
2009-04-06,3.50,4.50,2.85,4.00,32117
