Date,Open,High,Low,Close,Volume
2001-12-31,6.00,6.20,5.25,6.15,23666
2002-01-07,6.05,6.45,5.25,5.85,23516
2002-01-14,5.60,7.00,5.50,5.65,18074
2002-01-21,5.70,5.95,5.50,5.60,10360
2002-01-28,5.80,5.85,5.10,5.35,21431
2002-02-04,5.50,5.95,4.75,5.75,21577
2002-02-11,5.55,6.90,4.50,6.90,48506
2002-02-18,7.95,9.00,7.00,7.30,114799
2002-02-25,6.80,7.30,5.65,6.10,42021
2002-03-04,6.20,7.45,6.15,7.15,80802
2002-03-11,6.65,7.15,6.15,6.70,40088
2002-03-18,6.50,6.75,5.75,6.15,84457
2002-03-25,6.20,6.20,5.65,5.70,18425
2002-04-01,6.00,6.00,5.55,5.75,37755
2002-04-08,6.00,6.40,5.55,6.30,43805
2002-04-15,6.25,6.65,5.85,6.40,79887
2002-04-22,6.40,6.40,5.80,5.85,34899
2002-04-29,6.15,6.15,5.50,5.80,61935
2002-05-06,5.80,6.60,5.55,6.15,166406
2002-05-13,6.20,6.75,5.65,5.75,92463
2002-05-20,5.30,5.85,5.05,5.75,33825
2002-05-27,5.60,5.85,5.35,5.60,67299
2002-06-03,5.40,7.35,5.40,6.40,181674
2002-06-10,6.20,7.05,6.15,6.55,108620
2002-06-17,6.50,8.25,6.10,7.10,403069
2002-06-24,7.25,7.40,6.50,6.95,89525
2004-03-01,4.50,5.35,4.50,5.00,2820
2004-03-08,5.35,5.65,4.80,5.05,28390
2004-03-15,5.45,5.45,3.80,4.05,19155
2004-03-22,4.00,4.45,3.50,4.00,28460
2004-03-29,3.60,4.50,3.60,4.40,18472
2004-04-05,4.10,4.95,4.00,4.20,13774
2004-04-12,4.05,4.55,4.00,4.45,24500
2004-04-19,4.85,4.85,4.25,4.60,23060
2004-04-26,4.60,4.65,4.25,4.35,8496
2004-05-03,4.55,4.70,4.05,4.70,20830
2004-05-10,4.90,5.10,4.15,4.15,28450
2004-05-17,3.70,4.40,3.40,4.00,30852
2004-05-24,4.00,4.25,3.55,3.65,23925
2004-05-31,3.50,3.95,3.50,3.65,10910
2004-06-07,3.75,4.15,3.55,3.85,16182
2004-06-14,4.10,4.10,3.50,3.50,11803
2004-06-21,3.60,3.60,3.20,3.35,13950
2004-06-28,3.25,3.75,3.25,3.50,15600
