Date,Open,High,Low,Close,Volume
2011-06-20,485.00,492.00,465.00,480.00,6495
2011-06-27,481.50,495.00,470.00,480.00,2336
2011-07-04,480.00,567.00,476.00,551.00,47288
2011-07-11,550.50,562.40,530.00,540.15,14484
2011-07-18,545.00,578.00,536.20,568.35,25259
2011-07-25,576.35,580.00,551.60,560.00,30373
2011-08-01,560.00,572.95,480.10,505.75,5255
2011-08-08,500.00,528.85,475.00,512.85,12659
2011-08-16,533.90,533.90,481.00,489.95,13988
2011-08-22,485.00,514.40,459.00,494.75,12529
2011-08-29,502.00,540.05,494.00,535.20,4079
2011-09-05,540.00,545.00,506.05,509.30,4830
2011-09-12,514.95,543.00,491.00,501.75,2631
2011-09-19,509.95,534.80,490.05,517.05,7106
2011-09-26,509.00,535.00,500.10,518.00,3534
2011-10-03,525.00,525.00,490.00,498.70,36065
2011-10-10,514.00,517.90,502.15,514.25,3500
2011-10-17,520.00,533.80,505.00,508.05,5771
2011-10-24,512.05,550.00,503.40,511.10,2166
2011-10-31,517.00,529.00,501.10,501.10,2713
2011-11-08,500.00,513.75,475.00,501.00,3745
2011-11-14,504.95,510.00,484.00,500.00,12566
2011-11-21,495.10,501.90,432.00,466.65,9123
2011-11-28,468.00,494.70,430.35,439.85,7172
2011-12-05,441.00,445.00,420.00,439.00,7237
2011-12-12,439.00,439.90,422.05,425.55,4349
2011-12-19,425.00,433.95,401.00,419.70,5492
2011-12-26,420.05,438.80,401.05,409.00,4904
2012-01-02,426.80,434.00,411.50,416.55,2927
2012-01-09,418.05,450.00,417.00,428.25,4383
2012-01-16,434.95,455.00,417.90,437.90,6978
2012-01-23,447.90,447.90,420.20,431.85,9873
2012-01-30,438.75,444.75,430.05,439.95,25747
2012-02-06,444.00,460.00,431.60,449.10,16724
2012-02-13,450.00,460.00,445.00,450.70,27698
2012-02-21,451.05,455.75,425.10,428.20,10868
2012-02-27,430.00,450.00,413.30,449.35,28411
2012-03-05,450.00,459.30,420.10,451.65,10035
2012-03-12,469.65,489.00,453.00,464.05,11790
2012-03-19,454.00,493.80,454.00,459.60,7101
2012-03-26,451.50,468.70,440.05,452.15,8893
2012-04-02,457.00,475.00,442.60,465.10,3806
2012-04-09,475.00,475.00,456.00,471.75,25468
2012-04-16,470.00,513.80,467.05,485.85,25281
2012-04-23,495.00,569.35,494.90,509.95,176327
2012-04-30,504.95,518.00,421.05,484.00,9286
2012-05-07,486.00,496.00,462.00,470.95,9731
2012-05-14,478.70,498.75,457.00,469.65,10197
2012-05-21,470.40,480.00,460.10,467.05,4352
2012-05-28,461.70,484.85,460.20,475.65,10171
2012-06-04,479.90,495.00,470.00,473.05,30465
2012-06-11,475.00,475.00,455.50,458.90,13987
2012-06-18,468.30,534.70,452.30,464.50,11267
2012-06-25,470.00,481.95,451.10,457.65,5808
2012-07-02,457.70,483.00,453.00,465.00,7237
2012-07-09,460.10,480.00,452.00,460.00,4612
2012-07-16,463.25,464.95,430.50,455.00,6686
2012-07-23,465.85,465.85,437.00,437.00,7207
2012-07-30,437.00,459.00,430.10,438.00,9826
2012-08-06,438.00,439.60,416.65,420.00,12207
2012-08-13,423.50,434.95,420.00,421.05,31507
2012-08-21,420.00,520.00,409.00,457.50,15805
2012-08-27,458.00,458.00,431.30,440.15,8377
2012-09-03,445.00,450.00,440.20,444.00,13338
2012-09-10,445.00,455.00,445.00,445.00,20782
2012-09-17,445.55,464.00,435.00,449.85,14255
2012-09-24,453.95,455.00,443.00,448.20,11860
2012-10-01,450.00,462.50,445.10,451.55,9077
2012-10-08,465.00,525.95,460.25,487.55,103501
2012-10-15,485.00,497.90,459.95,461.55,63504
