Date,Open,High,Low,Close,Volume
2001-01-01,90.22,97.97,27.00,54.35,13757830
2002-01-01,55.75,90.00,45.60,52.10,79248090
2003-01-01,53.05,99.20,46.00,90.70,81124012
2004-01-01,91.43,145.65,77.20,128.55,66740762
2005-01-03,126.00,277.88,117.55,249.27,68745986
2006-01-02,247.50,296.00,170.12,214.70,27673248
2007-01-02,217.50,279.67,206.05,262.88,18082764
2008-01-01,265.50,313.50,172.50,226.10,33395672
2009-01-01,223.10,348.00,173.55,328.40,24404280
2010-01-04,327.00,599.70,313.55,455.25,26542311
2011-01-03,459.00,718.00,447.80,565.20,30333192
2012-01-02,558.50,902.05,548.15,787.35,53831343
2013-01-01,788.90,1097.85,766.60,945.90,58986455
2014-01-01,940.25,1246.50,852.10,1129.70,40029011
2015-01-01,1131.00,1515.90,1079.75,1466.45,53339045
2016-01-01,1458.50,1544.90,1111.60,1179.90,49018689
2017-01-02,1180.00,1358.00,957.15,1204.80,111781709
2018-01-01,1216.00,1329.85,910.10,1258.30,145758862
2019-01-01,1253.00,1579.70,1083.10,1442.00,179100234
2020-01-01,1440.00,2520.00,1047.05,2412.80,306336225
2021-01-01,2405.50,5935.40,2385.80,5013.40,236631535
2022-01-03,5038.45,5141.50,3361.55,4477.60,167387454
2023-01-02,4488.00,5770.00,4123.00,5704.10,110222264
2024-01-01,5741.00,7545.00,5640.00,7296.35,104277464
2025-01-01,7320.00,8099.50,6001.00,7042.50,96854427
2026-01-01,7063.00,9050.00,6696.50,8944.50,70595972
