Date,Open,High,Low,Close,Volume
2006-01-02,86.80,111.50,81.00,94.15,6157056
2007-01-02,99.80,179.00,74.35,175.35,23405284
2008-01-01,175.00,184.00,38.50,48.75,3158213
2009-01-01,49.90,158.00,25.70,138.70,6602307
2010-01-04,139.00,373.70,137.00,218.15,30507306
2011-01-03,220.90,247.80,95.05,97.35,17058729
2012-01-02,98.95,162.40,93.65,150.05,22288967
2013-01-01,150.05,179.45,99.70,159.00,14476056
2014-01-01,155.00,950.40,130.15,894.45,33284369
2015-01-01,896.90,1742.00,847.95,1366.65,17025395
2016-01-01,1373.95,1678.00,930.50,1382.90,5446585
2017-01-02,1371.00,2775.00,1320.15,2674.30,3070690
2018-01-01,2714.35,2757.95,1525.80,1820.75,1423138
2019-01-01,1797.95,2174.90,1470.00,1918.25,1708553
2020-01-01,1926.65,3484.40,1811.05,2661.20,3719827
2021-01-01,2690.00,2940.00,1774.80,1975.40,5245827
2022-01-03,1985.30,2271.00,1062.80,1103.15,3645967
2023-01-02,1107.00,1393.00,938.00,1116.20,11067552
2024-01-01,1110.10,2620.10,951.35,1779.60,20644983
2025-01-01,1778.90,1977.00,1350.00,1428.70,8115894
2026-01-01,1439.50,1891.30,1021.30,1694.00,7087228
