Date,Open,High,Low,Close,Volume
2014-01-01,74.00,251.85,73.55,158.50,39745541
2015-01-01,160.10,160.90,102.40,139.35,20724779
2016-01-01,138.90,286.70,106.65,213.85,39581208
2017-01-02,214.00,628.00,210.85,557.30,37278579
2018-01-01,562.45,627.00,237.00,338.40,70373160
2019-01-01,341.65,638.50,275.00,394.90,39310520
2020-01-01,400.00,445.10,172.60,394.80,35696502
2021-01-01,394.80,1250.00,385.05,958.40,65720100
2022-01-03,967.00,1263.85,831.00,898.90,27231481
2023-01-02,898.90,1145.95,730.20,1028.40,25092684
2024-01-01,1028.40,1371.10,832.40,1151.95,29273090
2025-01-01,1144.00,1502.30,902.60,1252.10,52699584
2026-01-01,1261.00,1325.00,945.10,995.00,15354462
