Date,Open,High,Low,Close,Volume
2011-01-03,92.60,119.00,83.00,92.55,6167229
2012-01-02,90.25,140.70,78.15,127.90,5415005
2013-01-01,128.00,218.40,111.70,203.15,7987755
2014-01-01,206.00,599.00,179.00,547.00,13701278
2015-01-01,549.90,718.00,408.00,513.70,6678157
2016-01-01,514.90,777.00,467.55,734.60,6334857
2017-01-02,736.00,929.80,629.40,733.20,6479263
2018-01-01,735.00,803.50,356.55,464.75,4936966
2019-01-01,455.15,459.90,287.10,405.55,5040624
2020-01-01,402.75,935.70,275.00,769.10,24244394
2021-01-01,772.95,1053.90,658.00,834.40,31517633
2022-01-03,799.00,815.95,631.20,712.80,9632923
2023-01-02,714.00,1097.40,605.10,1057.00,12628876
2024-01-01,1050.00,1925.80,933.80,1477.60,14501172
2025-01-01,1459.90,1975.00,1092.05,1179.80,14883869
2026-01-01,1181.10,1248.00,889.60,973.30,11172736
