Date,Open,High,Low,Close,Volume
2003-01-01,7.75,80.90,7.75,77.97,1390791480
2004-01-01,78.75,102.40,51.60,68.05,271789120
2005-01-03,69.45,84.50,45.00,76.17,147762040
2006-01-02,76.75,159.00,55.50,152.79,308058040
2007-01-02,151.28,476.00,128.50,469.02,472929440
2008-01-01,450.50,482.49,223.51,333.81,111112448
2009-01-01,334.00,350.00,188.75,338.40,176737582
2010-01-04,338.00,398.55,275.50,323.42,95054536
2011-01-03,322.48,420.95,290.88,388.33,84731012
2012-01-02,378.60,617.20,347.00,552.20,116962948
2013-01-01,557.25,618.38,452.62,610.50,88073676
2014-01-01,614.00,944.02,605.00,861.62,86492600
2015-01-01,867.40,1242.35,786.00,1154.85,92013911
2016-01-01,1154.00,1381.60,743.65,783.70,142712644
2017-01-02,794.80,1142.00,532.65,1098.35,485924428
2018-01-01,1095.00,1578.00,978.35,1482.65,215611256
2019-01-01,1485.00,1869.95,1428.25,1845.80,144519836
2020-01-01,1845.00,3859.00,1626.00,3841.90,276343926
2021-01-01,3839.00,5425.10,3153.30,4678.20,158549809
2022-01-03,4689.00,4708.75,3195.15,3413.20,133879476
2023-01-02,3420.00,3952.00,2730.00,3903.90,119106963
2024-01-01,3910.00,6285.45,3350.00,6098.80,145890394
2025-01-01,6090.00,7071.50,4955.00,6392.50,104594199
2026-01-01,6398.00,9615.00,5647.50,9375.00,69664910
