Date,Open,High,Low,Close,Volume
2004-01-01,24.02,27.49,17.78,25.06,34235580
2005-01-03,24.80,39.60,22.52,22.95,79118200
2006-01-02,23.95,41.50,17.64,36.40,92719480
2007-01-02,36.20,64.40,22.20,40.79,132204520
2008-01-01,41.00,46.20,13.55,23.50,80126330
2009-01-01,24.29,67.00,18.41,65.52,93935040
2010-01-04,65.80,144.78,51.00,123.53,140232310
2011-01-03,124.90,176.20,97.00,148.80,54659920
2012-01-02,150.99,304.99,145.30,290.66,46764140
2013-01-01,290.66,534.00,250.10,497.50,58748980
2014-01-01,500.46,1578.50,440.11,1507.50,93414000
2015-01-01,1501.10,2162.00,1390.01,1685.56,190501990
2016-01-01,1687.90,2664.13,1480.00,2180.31,142673170
2017-01-02,2240.00,3348.00,2208.89,3034.09,98543800
2018-01-01,3039.99,3223.67,2000.12,2315.84,156508650
2019-01-01,2316.22,2345.00,1520.00,2251.53,346408480
2020-01-01,2251.53,2727.00,1245.01,2530.90,535029402
2021-01-01,2531.00,3037.00,2303.70,2591.90,243727607
2022-01-03,2620.10,3889.65,2159.55,3227.75,191229733
2023-01-02,3227.00,4200.00,2836.00,4143.50,163934676
2024-01-01,4145.00,5105.00,3562.45,4821.90,156098933
2025-01-01,4829.00,7374.50,4646.00,7312.50,124411757
2026-01-01,7317.00,8230.00,6442.00,7516.00,97195581
