Date,Open,High,Low,Close,Volume
2001-01-01,1.13,1.31,0.83,1.11,69448909
2002-01-01,1.14,3.28,1.06,2.24,1827479159
2003-01-01,2.26,7.07,2.04,6.85,4350423922
2004-01-01,6.89,12.59,5.12,12.44,2955350517
2005-01-03,12.52,15.86,9.16,13.93,1232917252
2006-01-02,14.05,17.80,10.23,16.73,933273713
2007-01-02,16.90,40.70,14.52,33.56,632484833
2008-01-01,33.80,36.90,11.02,16.20,807472870
2009-01-01,16.10,27.00,11.36,23.56,1204961340
2010-01-04,23.78,50.10,23.36,39.73,1632290170
2011-01-03,40.00,47.64,32.23,33.68,1104323920
2012-01-02,33.90,57.10,33.20,53.82,795978340
2013-01-01,53.85,55.10,22.31,42.10,1265884790
2014-01-01,42.22,76.47,36.17,75.85,1939650574
2015-01-01,75.75,79.80,52.15,56.00,1236606609
2016-01-01,56.25,85.95,41.35,66.85,1894697874
2017-01-02,67.10,127.65,65.50,108.50,2408532162
2018-01-01,109.50,116.45,67.05,93.25,3164396049
2019-01-01,93.75,110.40,78.20,87.95,3002970860
2020-01-01,88.25,96.95,35.70,66.70,7706916220
2021-01-01,67.00,107.65,66.80,83.00,5427942087
2022-01-03,83.20,142.20,82.50,139.05,3745819628
2023-01-02,139.75,159.30,121.00,156.15,3243183760
2024-01-01,156.20,217.00,139.40,200.02,3405481348
2025-01-01,200.40,271.10,172.66,267.10,2086261425
2026-01-01,267.65,371.70,242.30,332.75,1670450223
