Date,Open,High,Low,Close,Volume
2001-01-01,21.10,30.75,10.10,12.95,10878935
2002-01-01,13.10,37.50,12.15,18.00,33700766
2003-01-01,20.60,75.85,15.10,70.45,92498922
2004-01-01,71.80,83.05,32.00,73.50,71605459
2005-01-03,74.35,98.95,60.15,71.40,65376825
2006-01-02,71.35,82.75,44.25,64.55,51950700
2007-01-02,65.00,141.60,53.90,133.75,101946446
2008-01-01,133.70,185.90,37.40,45.55,39485678
2009-01-01,45.00,133.80,39.85,117.90,41776544
2010-01-04,118.10,131.00,96.60,104.25,18144654
2011-01-03,104.50,105.00,64.15,65.10,5969587
2012-01-02,66.65,79.80,55.55,69.40,6816066
2013-01-01,69.80,82.90,53.60,61.20,8013989
2014-01-01,61.55,106.50,53.00,86.75,23508149
2015-01-01,87.50,94.50,66.85,81.90,9551863
2016-01-01,81.15,109.40,74.70,95.70,19863758
2017-01-02,95.25,150.80,94.05,131.95,43100829
2018-01-01,133.50,140.50,67.10,78.00,20132629
2019-01-01,77.55,82.00,64.20,72.00,20560339
2020-01-01,73.90,94.70,44.25,83.85,75677551
2021-01-01,84.40,105.70,72.05,82.55,160215302
2022-01-03,82.85,105.40,68.40,82.45,95400218
2023-01-02,83.10,187.40,70.80,174.20,279161796
2024-01-01,174.90,269.90,151.40,227.78,218214417
2025-01-01,227.05,245.20,140.02,156.61,108078590
2026-01-01,157.74,211.71,119.90,188.35,81509928
