Date,Open,High,Low,Close,Volume
2011-01-03,171.98,171.98,143.50,147.73,51436
2012-01-02,148.95,184.00,139.32,150.43,3155818
2013-01-01,150.50,261.48,109.50,247.00,8367136
2014-01-01,252.45,368.30,236.00,320.85,12142586
2015-01-01,319.00,330.00,204.50,260.12,5952798
2016-01-01,266.95,312.50,181.55,263.80,9818088
2017-01-02,260.05,472.50,243.32,449.77,18819540
2018-01-01,450.48,518.90,295.60,320.10,10475804
2019-01-01,319.52,339.85,267.50,291.05,4699764
2020-01-01,298.92,634.00,206.00,564.08,9689424
2021-01-01,566.88,1777.50,526.50,1652.83,23683850
2022-01-03,1668.12,1960.00,846.00,1330.20,31093413
2023-01-02,1335.00,1367.40,924.00,989.60,8490404
2024-01-01,994.95,1012.40,592.95,694.80,18849855
2025-01-01,702.95,715.40,431.35,445.35,7324914
2026-01-01,445.65,477.60,342.05,379.40,8803995
