Date,Open,High,Low,Close,Volume
2017-01-02,50.00,55.33,49.67,53.67,164701740
2018-01-01,53.33,59.33,46.73,55.27,169391907
2019-01-01,55.43,56.65,37.35,47.60,257113968
2020-01-01,47.58,77.55,38.67,75.97,723573630
2021-01-01,76.32,318.67,68.10,252.80,4138824158
2022-01-03,253.50,272.00,129.25,140.00,1944187576
2023-01-02,140.45,172.30,116.00,168.00,2119527664
2024-01-01,169.10,244.40,130.20,181.78,3328953128
2025-01-01,182.50,215.40,130.26,134.22,2322914746
2026-01-01,134.50,160.27,110.35,115.46,1608854324
