Date,Open,High,Low,Close,Volume
2001-01-01,55.30,69.25,26.50,38.30,96749083
2002-01-01,38.00,43.65,16.10,19.70,34072937
2003-01-01,19.40,50.85,12.70,44.65,199242149
2004-01-01,45.05,65.00,26.05,59.15,270374704
2005-01-03,59.50,118.20,52.60,100.40,398920201
2006-01-02,101.15,249.00,92.50,234.95,1239833567
2007-01-02,236.00,332.60,140.30,310.15,707353468
2008-01-01,303.05,315.00,69.00,97.70,267901027
2009-01-01,99.00,180.00,90.65,123.30,472154075
2010-01-04,123.30,143.25,94.70,108.00,333974108
2011-01-03,109.00,112.75,62.05,65.95,215747046
2012-01-02,66.10,119.35,65.25,90.85,375214999
2013-01-01,90.90,95.10,43.05,60.10,315939555
2014-01-01,60.40,134.30,45.85,85.45,586623835
2015-01-01,84.65,115.65,63.70,96.85,757068352
2016-01-01,97.45,164.20,63.90,116.60,1084363670
2017-01-02,118.80,226.25,118.15,183.45,1109326179
2018-01-01,183.05,205.95,79.95,96.10,1166310897
2019-01-01,96.50,116.95,67.75,71.40,1065842738
2020-01-01,71.25,180.65,69.60,169.20,839985200
2021-01-01,168.90,232.00,153.70,192.25,832882001
2022-01-03,192.00,298.95,145.45,218.45,1174290405
2023-01-02,219.60,275.00,167.20,258.90,948153552
2024-01-01,259.90,385.00,172.55,376.35,1142101145
2025-01-01,376.35,451.35,238.85,435.25,236593541
2026-01-01,435.90,485.80,331.65,344.80,81611171
