Date,Open,High,Low,Close,Volume
2003-01-01,31.10,102.00,30.00,92.90,71698176
2004-01-01,93.85,109.70,46.20,76.30,54429319
2005-01-03,78.00,99.75,55.20,75.95,44713211
2006-01-02,75.10,76.80,42.25,49.85,20554000
2007-01-02,49.85,70.50,43.25,65.60,17861025
2008-01-01,67.60,84.40,11.35,14.50,8580821
2009-01-01,14.40,45.15,10.50,36.05,7238138
2010-01-04,36.60,81.00,30.55,64.25,20606173
2011-01-03,63.50,80.70,20.50,25.30,15796615
2012-01-02,26.00,36.00,19.00,26.00,12634691
2013-01-01,25.95,31.20,12.65,19.15,9886158
2014-01-01,18.85,29.80,13.40,22.25,18028593
2015-01-01,22.00,50.20,17.05,34.25,33957120
2016-01-01,34.45,42.20,24.40,29.85,30605786
2017-01-02,30.70,48.95,25.30,43.80,42632068
2018-01-01,44.25,56.90,16.80,31.10,31457700
2019-01-01,31.00,40.60,24.25,26.35,10975123
2020-01-01,26.30,42.05,8.25,42.05,17830417
2021-01-01,44.05,62.95,30.65,58.60,33602440
2022-01-03,60.00,90.80,52.40,59.55,86895343
2023-01-02,60.05,61.65,36.30,52.10,54876021
2024-01-01,52.30,67.10,36.40,40.49,106699117
2025-01-01,40.89,75.00,32.00,48.57,78843748
2026-01-01,48.03,96.50,29.00,91.05,77373158
