Date,Open,High,Low,Close,Volume
2001-01-01,7.72,10.22,5.88,7.27,98557380
2002-01-01,7.55,14.68,7.09,12.22,448262082
2003-01-01,13.25,38.83,12.50,38.06,1750008804
2004-01-01,38.33,49.62,24.58,42.77,2390921676
2005-01-03,43.17,47.83,32.07,46.42,827061444
2006-01-02,46.25,51.83,25.75,37.51,826709040
2007-01-02,37.82,67.50,30.08,66.25,1097720604
2008-01-01,66.67,66.99,25.00,35.50,1366669236
2009-01-01,33.80,57.98,29.50,50.98,1382708304
2010-01-04,51.17,76.15,45.51,57.07,1718584482
2011-01-03,57.33,59.95,41.42,42.29,889119810
2012-01-02,42.67,49.17,39.23,44.98,635324754
2013-01-01,45.16,62.33,31.00,35.68,992796474
2014-01-01,35.43,68.53,32.29,55.38,1616255760
2015-01-01,55.46,77.65,51.13,71.42,2342983920
2016-01-01,71.35,111.10,57.48,108.35,2748659115
2017-01-02,109.27,154.32,108.65,129.52,3555435192
2018-01-01,130.00,142.47,70.17,91.37,4339040858
2019-01-01,91.47,113.83,77.50,83.70,4661508903
2020-01-01,83.97,85.47,47.43,60.63,7777121154
2021-01-01,60.87,94.33,57.83,74.33,6741585272
2022-01-03,74.33,90.70,65.20,76.50,4211529423
2023-01-02,77.00,133.95,75.75,129.85,3855200757
2024-01-01,132.10,196.80,128.50,136.41,6384926703
2025-01-01,135.80,174.50,110.72,166.46,3231237604
2026-01-01,167.00,188.96,130.22,137.00,2611145426
