Date,Open,High,Low,Close,Volume
2001-01-01,31.75,32.50,5.77,6.65,7560200
2002-01-01,6.80,9.05,4.15,4.75,1289140
2003-01-01,4.71,10.00,3.15,8.71,9300440
2004-01-01,9.25,17.96,4.85,15.54,67979515
2005-01-03,16.40,26.96,10.40,16.04,51103042
2006-01-02,16.32,18.20,6.88,7.40,14867422
2007-01-02,7.96,13.18,5.62,12.54,12936895
2008-01-01,12.94,13.98,2.40,3.12,4729090
2009-01-01,3.20,9.46,2.58,7.94,15600548
2010-01-04,8.02,11.72,6.52,9.12,30621398
2011-01-03,9.18,9.98,3.88,4.30,3424468
2012-01-02,4.26,6.80,4.22,5.64,2913618
2013-01-01,5.64,6.18,3.06,3.62,1628372
2014-01-01,3.80,18.74,3.54,14.72,30615062
2015-01-01,14.74,22.00,8.12,19.54,45946720
2016-01-01,19.28,25.16,10.32,13.62,30626438
2017-01-02,13.64,20.34,11.20,15.24,26252648
2018-01-01,15.36,18.76,8.96,12.52,13755348
2019-01-01,12.40,13.08,8.08,10.28,8074400
2020-01-01,10.00,31.40,6.50,28.62,69449332
2021-01-01,28.80,81.56,28.40,71.56,167782515
2022-01-03,72.16,167.56,62.00,149.10,86755048
2023-01-02,150.36,205.94,114.00,155.56,21827185
2024-01-01,156.42,328.04,109.44,244.34,53189305
2025-01-01,244.34,301.65,190.10,192.61,58957367
2026-01-01,193.57,264.50,155.00,228.42,48953672
