Date,Open,High,Low,Close,Volume
2016-01-01,2.38,4.97,2.20,3.42,184813980
2017-01-02,3.50,11.95,3.40,10.54,391504140
2018-01-01,11.06,14.46,7.81,8.46,103402260
2019-01-01,8.70,10.80,3.80,4.72,90391200
2020-01-01,4.82,5.90,2.05,5.70,197159380
2021-01-01,5.76,13.41,5.67,10.81,673345520
2022-01-03,10.90,37.44,8.23,35.74,488562520
2023-01-02,36.15,44.20,26.00,36.59,462611500
2024-01-01,36.59,67.30,33.50,48.55,773285870
2025-01-01,48.78,52.65,21.70,24.95,480205250
2026-01-01,25.00,41.05,16.15,41.05,283027051
