Date,Open,High,Low,Close,Volume
2011-01-03,13.52,14.45,12.19,12.49,627966
2012-01-02,12.64,21.09,8.73,19.95,10701356
2013-01-01,20.18,21.68,4.05,6.60,13846588
2014-01-01,6.35,7.92,3.62,4.03,4509786
2015-01-01,4.00,5.75,2.88,4.92,2621318
2016-01-01,5.47,15.95,4.97,8.45,39169374
2017-01-02,8.85,9.15,4.20,5.15,17405572
2018-01-01,5.45,6.30,2.25,2.60,6503856
2019-01-01,2.70,3.75,1.25,2.40,2559320
2020-01-01,2.60,2.65,0.57,1.93,4293570
2021-01-01,2.00,9.30,1.88,9.30,15822500
2022-01-03,9.65,21.17,3.75,4.62,134664262
2023-01-02,4.70,5.05,2.75,3.73,173579844
2024-01-01,3.80,7.55,2.50,2.70,345468201
2025-01-01,2.72,2.84,1.42,1.66,80195465
2026-01-01,1.64,1.89,1.02,1.42,32366365
