Date,Open,High,Low,Close,Volume
2010-01-04,400.00,879.00,240.00,379.50,2519428
2011-01-03,375.15,399.90,221.30,246.40,540454
2012-01-02,258.95,422.95,231.00,395.00,272033
2013-01-01,390.00,430.00,201.00,264.00,217748
2014-01-01,275.90,664.95,227.15,580.00,398755
2015-01-01,574.35,767.00,492.00,648.30,153248
2016-01-01,650.00,1045.00,540.00,849.95,231003
2017-01-02,811.00,1700.00,775.00,1516.80,447818
2018-01-01,1524.05,1558.00,843.60,893.50,125926
2019-01-01,882.05,922.00,588.20,609.70,144694
2020-01-01,612.50,874.20,398.00,808.05,668722
2021-01-01,790.05,1973.85,780.45,1501.35,2940971
2022-01-03,1525.90,2169.00,1201.05,1927.95,1453394
2023-01-02,1942.20,3757.80,1890.00,3532.25,1859063
2024-01-01,3532.25,6698.90,3425.00,4422.30,1555332
2025-01-01,4431.00,4726.00,2810.80,3176.30,2445312
2026-01-01,3183.40,4574.80,2463.00,3699.80,3451639
