Date,Open,High,Low,Close,Volume
2001-01-01,93.81,97.75,28.34,38.92,2877910
2002-01-01,39.92,63.50,30.05,35.90,5839178
2003-01-01,37.10,93.45,18.00,83.45,65419139
2004-01-01,83.30,89.50,38.95,68.65,88892081
2005-01-03,68.95,93.80,57.00,76.00,118605192
2006-01-02,41.20,47.10,30.00,37.00,5525729
2007-01-02,37.55,41.30,20.50,33.00,21168947
2008-01-01,25.50,25.85,6.00,8.95,5332187
2009-01-01,9.20,16.55,6.20,13.40,5845645
2010-01-04,28.00,46.20,26.00,36.00,39489870
2011-01-03,35.95,37.85,13.00,13.10,14232118
2012-01-02,13.05,24.75,13.05,21.05,14255346
2013-01-01,21.20,23.80,11.55,19.75,12487359
2014-01-01,19.85,72.65,19.85,51.30,143997864
2015-01-01,51.90,83.00,40.30,75.15,145822318
2016-01-01,75.30,78.90,40.30,52.20,111492849
2017-01-02,52.00,102.45,51.10,67.70,142225538
2018-01-01,68.10,82.00,32.60,38.80,53918840
2019-01-01,39.00,46.10,24.00,31.10,16921351
2020-01-01,31.25,146.00,15.10,138.50,87683054
2021-01-01,138.50,370.45,99.50,323.75,113020905
2022-01-03,326.00,342.90,131.20,150.85,41126399
2023-01-02,151.70,285.60,96.00,241.25,111410239
2024-01-01,241.50,369.70,198.00,211.78,159651022
2025-01-01,212.83,218.90,123.11,150.43,67609289
2026-01-01,151.40,282.10,107.00,277.60,107979225
