Date,Open,High,Low,Close,Volume
2001-01-01,100.78,108.16,56.50,88.51,1163143
2002-01-01,89.81,119.75,82.09,102.27,822420
2016-01-01,98.02,99.47,73.40,76.29,6336
2017-01-02,74.94,133.32,70.98,133.32,399590
2018-01-01,135.20,204.25,84.02,110.05,629049
2019-01-01,110.05,130.38,61.95,77.85,518383
2020-01-01,76.00,148.80,60.65,139.05,5532142
2021-01-01,136.10,227.90,83.10,201.35,19679126
2022-01-03,200.00,221.65,97.70,109.65,7577342
2023-01-02,108.60,119.90,50.65,78.35,4890809
2024-01-01,77.30,129.07,60.35,92.99,11944245
2025-01-01,93.00,113.50,63.60,69.04,3229813
2026-01-01,71.80,73.01,38.33,57.31,2386823
